,real,predict,bestPastDays,bestMa,ratio
2014-01-02,1561.1,1577.7932935336282,1.0,4.0,0.009934610204459463
2014-01-03,1536.07,1558.838076296519,,,
2014-01-06,1512.93,1535.4978679629862,,,
2014-01-07,1510.65,1512.4205269009428,,,
2014-01-08,1515.33,1509.637970557363,,,
2014-01-09,1503.88,1516.0412804464106,,,
2014-01-10,1498.27,1505.3610299354877,,,
2014-01-13,1494.61,1497.352620625973,,,
2014-01-14,1499.29,1494.8604630784398,,,
2014-01-15,1488.51,1498.650483867881,,,
2014-01-16,1493.09,1486.7205931036851,,,
2014-01-17,1475.67,1493.7895311965228,,,
2014-01-20,1464.84,1474.7471221059184,,,
2014-01-21,1478.88,1463.3433696414486,,,
2014-01-22,1514.12,1479.7035532767322,,,
2014-01-23,1499.03,1516.9547361303892,,,
2014-01-24,1502.06,1498.968476947363,,,
2014-01-27,1478.87,1503.822436185614,,,
2014-01-28,1487.8,1477.6240642490432,,,
2014-01-29,1494.49,1486.445477945126,,,
2014-01-30,1477.35,1492.873798998095,,,
2014-02-07,1475.34,1475.551564636098,,,
2014-02-10,1505.83,1472.9800959816096,,,
2014-02-11,1528.32,1507.9099729875968,,,
2014-02-12,1527.0,1533.2331456800093,,,
2014-02-13,1528.02,1528.0940533653145,,,
2014-02-14,1534.24,1533.4309241250157,,,
2014-02-17,1538.1,1533.5733068017403,,,
2014-02-18,1508.54,1538.6247073746756,,,
2014-02-19,1533.4,1509.5520182085547,,,
2014-02-20,1520.14,1537.677457509606,,,
2014-02-21,1505.33,1526.7446380117192,,,
2014-02-24,1468.06,1505.5557344326028,,,
2014-02-25,1440.89,1468.724550465676,,,
2014-02-26,1444.2,1443.592500355089,,,
2014-02-27,1452.46,1444.049383125217,,,
2014-02-28,1464.32,1454.8997579259287,,,
2014-03-03,1462.69,1465.744769740853,,,
2014-03-04,1464.28,1463.775223744927,,,
2014-03-05,1448.33,1464.7305294897758,,,
2014-03-06,1459.51,1448.4046419553968,,,
2014-03-07,1455.58,1461.0976459520539,,,
2014-03-10,1408.87,1458.2596284924998,,,
2014-03-11,1412.73,1410.856971284265,,,
2014-03-12,1418.7,1413.2383749848123,,,
2014-03-13,1437.39,1421.0557958173679,,,
2014-03-14,1426.4,1441.6940190867806,,,
2014-03-17,1434.16,1427.0520791256242,,,
2014-03-18,1427.63,1432.3272314436442,,,
2014-03-19,1418.71,1427.017544999863,,,
2014-03-20,1406.92,1416.3096078409246,,,
2014-03-21,1464.08,1410.3356227687516,,,
2014-03-24,1477.53,1474.1539307138817,,,
2014-03-25,1470.12,1482.720827137305,,,
2014-03-26,1467.08,1472.152152376727,,,
2014-03-27,1464.53,1466.977765079795,,,
2014-03-28,1472.05,1468.434234552901,,,
2014-03-31,1465.78,1474.7929912856189,,,
2014-04-01,1473.14,1465.5357597535522,,,
2014-04-02,1491.3,1473.8223974129448,,,
2014-04-03,1477.49,1492.1515911197807,,,
2014-04-04,1490.33,1480.2338354319772,,,
2014-04-08,1534.75,1490.0857276561796,,,
2014-04-09,1530.88,1543.8222317941936,,,
2014-04-10,1570.4,1531.3076221681902,,,
2014-04-11,1565.31,1581.0008491778556,,,
2014-04-14,1557.7,1568.0268200923813,,,
2014-04-15,1523.22,1557.237061321432,,,
2014-04-16,1527.05,1523.722524250736,,,
2014-04-17,1520.56,1527.6901257343823,,,
2014-04-18,1521.28,1519.1981070460047,,,
2014-04-21,1493.76,1520.3012686384757,,,
2014-04-22,1509.55,1496.821518784776,,,
2014-04-23,1507.04,1509.547005943665,,,
2014-04-24,1510.29,1506.9493659628301,,,
2014-04-25,1501.05,1511.3530301235633,,,
2014-04-28,1483.78,1502.530621735189,,,
2014-04-29,1496.01,1484.37273275349,,,
2014-04-30,1494.81,1495.2990950256456,,,
2014-05-05,1487.53,1493.3642821806586,,,
2014-05-06,1485.25,1486.0992267434194,,,
2014-05-07,1476.18,1486.0097810154334,,,
2014-05-08,1478.72,1474.9950804829487,,,
2014-05-09,1480.74,1481.9819741408355,,,
2014-05-12,1508.39,1479.2919495962938,,,
2014-05-13,1503.52,1510.558639856311,,,
2014-05-14,1500.82,1502.9439400681672,,,
2014-05-15,1488.77,1500.0069213117213,,,
2014-05-16,1487.74,1488.0281560463334,,,
2014-05-19,1459.21,1485.5463705625361,,,
2014-05-20,1460.82,1458.4614042761852,,,
2014-05-21,1474.14,1458.748439872556,,,
2014-05-22,1471.55,1473.2216465816718,,,
2014-05-23,1484.38,1474.4628158158105,,,
2014-05-26,1486.05,1482.8799538205374,,,
2014-05-27,1479.73,1484.3400490373353,,,
2014-05-28,1491.76,1478.2298418381429,,,
2014-05-29,1484.31,1490.7970103789598,,,
2014-05-30,1482.1,1483.701988895405,,,
2014-06-03,1477.52,1480.6512903917037,,,
2014-06-04,1466.39,1477.1752921421598,,,
2014-06-05,1484.24,1464.4285822164206,,,
2014-06-06,1472.27,1483.4556302125343,,,
2014-06-09,1475.35,1470.1856123330476,,,
2014-06-10,1493.53,1477.123606794874,,,
2014-06-11,1488.76,1493.0477251967989,,,
2014-06-12,1483.86,1486.7956556557203,,,
2014-06-13,1502.96,1482.1231586505069,,,
2014-06-16,1518.7,1505.0680823866812,,,
2014-06-17,1501.94,1520.0063703771136,,,
2014-06-18,1495.43,1500.4908499658554,,,
2014-06-19,1478.04,1493.9909336421429,,,
2014-06-20,1484.48,1478.1006555348604,,,
2014-06-23,1475.76,1482.5329476301742,,,
2014-06-24,1480.13,1474.9618410216021,,,
2014-06-25,1469.95,1478.3320068462326,,,
2014-06-26,1478.01,1467.3764168167097,,,
2014-06-27,1473.76,1476.603676918745,,,
2014-06-30,1482.41,1472.6350785792056,,,
2014-07-01,1481.66,1482.1660778914593,,,
2014-07-02,1484.84,1479.9652628984575,,,
2014-07-03,1489.55,1483.2498281203698,,,
2014-07-04,1492.46,1488.787280985905,,,
2014-07-07,1492.84,1491.0908811605702,,,
2014-07-08,1491.96,1491.530493096431,,,
2014-07-09,1475.14,1489.4681511333943,,,
2014-07-10,1471.17,1474.7728106737743,,,
2014-07-11,1468.54,1469.87452315704,,,
2014-07-14,1482.78,1468.333238830225,,,
2014-07-15,1484.66,1482.5809814339468,,,
2014-07-16,1483.18,1484.0994468132676,,,
2014-07-17,1473.67,1483.7638580563414,,,
2014-07-18,1478.76,1471.6424856357532,,,
2014-07-21,1479.84,1480.1352117788138,,,
2014-07-22,1495.93,1478.5402796654917,,,
2014-07-23,1506.76,1498.1920335456982,,,
2014-07-24,1541.9,1508.8854261573626,,,
2014-07-25,1557.02,1548.2240411709997,,,
2014-07-28,1609.48,1557.9760348031482,,,
2014-07-29,1611.85,1620.7110167516282,,,
2014-07-30,1601.38,1615.4315795453733,,,
2014-07-31,1621.85,1605.5883920310935,,,
2014-08-01,1607.97,1623.2773094493296,,,
2014-08-04,1644.63,1614.9446783272244,,,
2014-08-05,1632.41,1648.4803413720624,,,
2014-08-06,1619.01,1632.8063164827008,,,
2014-08-07,1593.42,1618.343949514186,,,
2014-08-08,1595.66,1595.7275911332401,,,
2014-08-11,1619.25,1594.754206954242,,,
