pastDays,ma,ratio
1,1,0.009942474050162856
1,2,0.00995550220185634
1,3,0.009940699241532028
1,4,0.009934610204459463
1,5,0.009938940972451304
1,6,0.00994567333180476
1,7,0.009943544900241293
1,8,0.009942153886704906
1,9,0.009942930174568149
1,10,0.009945133775801439
1,11,0.009946595810887492
1,12,0.009945944972698007
1,13,0.009946527650535298
1,14,0.009947388408200884
1,15,0.009946116837906466
1,16,0.00994482497321903
1,17,0.009944688893280876
1,18,0.009944606872149975
1,19,0.009944540283430624
1,20,0.009944199318583037
1,21,0.009944293574303245
1,22,0.009944480142035455
1,23,0.009944415145538586
1,24,0.009944024918501415
1,25,0.009943605225164057
1,26,0.00994354153258221
1,27,0.00994362514399531
1,28,0.009943940093981878
1,29,0.009944378516403722
1,30,0.00994467901884905
1,31,0.009944878205120094
1,32,0.009945128409832556
1,33,0.009944966670110357
1,34,0.009944695239337121
1,35,0.009944678027067598
1,36,0.00994479876813638
1,37,0.009944803310816739
1,38,0.009945010710631058
1,39,0.009945361270876269
1,40,0.009945625258743637
1,41,0.00994589197979507
1,42,0.009946135134901174
1,43,0.00994661010682217
1,44,0.009947042868890709
1,45,0.009947390407162656
1,46,0.00994768514887942
1,47,0.009948133695755038
1,48,0.009948510479210726
1,49,0.00994878294071851
1,50,0.009949001338749508
1,51,0.009949233511425452
1,52,0.00994943671381436
1,53,0.009949748823588062
1,54,0.009950014517903474
1,55,0.009950292937939975
1,56,0.009950642235686404
1,57,0.009950934350632677
1,58,0.009951220812225854
1,59,0.009951457964066155
1,60,0.009951790054403682
2,1,0.009961738549201142
2,2,0.009992135750500784
2,3,0.010009392184567752
2,4,0.010020071981826749
2,5,0.009989091457580418
2,6,0.009948094407368577
2,7,0.009968378135339847
2,8,0.009986948946059712
2,9,0.009999497125872153
2,10,0.009980798567711061
2,11,0.009972206413453737
2,12,0.009962890782715813
2,13,0.009957354776315232
2,14,0.009979979487798942
2,15,0.009979851716329756
2,16,0.009958657688763676
2,17,0.009952928724898748
2,18,0.009957085078527236
2,19,0.009960968265485846
2,20,0.009957905800599052
2,21,0.009966965626726396
2,22,0.009960303990454623
2,23,0.009965559389242252
2,24,0.009961149453461412
2,25,0.009956906066161035
2,26,0.009969096529809799
2,27,0.009980119302197239
2,28,0.009971795466174611
2,29,0.009968963889077108
2,30,0.009971638791781989
2,31,0.0099779992824259
2,32,0.009974787272506173
2,33,0.009971420208977384
2,34,0.009970741836841733
2,35,0.009972681286936761
2,36,0.009970094453322387
2,37,0.009971186475716213
2,38,0.009971570956538441
2,39,0.009979366825041117
2,40,0.009980221242758488
2,41,0.009978295869959953
2,42,0.009980416820385833
2,43,0.00997880499171476
2,44,0.009977774190124777
2,45,0.009980997707309324
2,46,0.009984046301064826
2,47,0.009983037595666816
2,48,0.009983764549297329
2,49,0.009983002425336982
2,50,0.009985491513004895
2,51,0.009986970754877098
2,52,0.009991881222602094
2,53,0.00999064841192152
2,54,0.010001121411123148
2,55,0.010000442943254714
2,56,0.010008372838905561
2,57,0.010011730978543359
2,58,0.009998089459388047
2,59,0.009996440691665096
2,60,0.00999819705000015
3,1,0.010029036431987257
3,2,0.010104985444604257
3,3,0.010111833173609145
3,4,0.010113825411989607
3,5,0.010048456762084487
3,6,0.010042294143088428
3,7,0.010077519720364476
3,8,0.010062455148544185
3,9,0.010070925016665233
3,10,0.010084733199599119
3,11,0.010049868033401627
3,12,0.010030475511947313
3,13,0.010068396333785585
3,14,0.01005818090385773
3,15,0.010056490162392158
3,16,0.010023365459418685
3,17,0.010025236018451138
3,18,0.01002533937430385
3,19,0.010051239693195073
3,20,0.010039293110516672
3,21,0.0100276034956351
3,22,0.01005307041031718
3,23,0.010022510407274442
3,24,0.010008785757963906
3,25,0.010010805997564093
3,26,0.010046062166029168
3,27,0.010010373475469781
3,28,0.010030082665035838
3,29,0.010019001935998223
3,30,0.010034763205630386
3,31,0.01004071572124845
3,32,0.010025415579662845
3,33,0.010026955275327498
3,34,0.010042670037663423
3,35,0.010023798607875325
3,36,0.010028231118726283
3,37,0.010026219153973098
3,38,0.0100512479771895
3,39,0.010033459472540777
3,40,0.010047289947782359
3,41,0.010050380253464095
3,42,0.010043476815744804
3,43,0.010044494961012606
3,44,0.01004217573315378
3,45,0.01005805470353436
3,46,0.010032687358756166
3,47,0.010037864037102372
3,48,0.010028050586800997
3,49,0.010036910270418148
3,50,0.010045587742004732
3,51,0.010054338843499794
3,52,0.010049898677433344
3,53,0.010053775956190183
3,54,0.010057630021648839
3,55,0.01007598188503099
3,56,0.010062434750191787
3,57,0.010088451284952244
3,58,0.010065660209933611
3,59,0.010054495347633603
3,60,0.010072443655243861
4,1,0.010126355881372659
4,2,0.010135210621494119
4,3,0.010135897586389876
4,4,0.010104014849451932
4,5,0.01010127227688891
4,6,0.010126321210271098
4,7,0.010166298293580601
4,8,0.010155489751318672
4,9,0.01018633196885288
4,10,0.010145658230052056
4,11,0.010104527779680038
4,12,0.010127486380525309
4,13,0.01013426972480075
4,14,0.01013122175608444
4,15,0.010119927569087458
4,16,0.010113565226107235
4,17,0.010112048548301814
4,18,0.0101440013819649
4,19,0.01016621277532824
4,20,0.01013367078154233
4,21,0.01014891300811328
4,22,0.01015210651791146
4,23,0.010104826386356933
4,24,0.010102904281133453
4,25,0.010132401096696872
4,26,0.010115293079273053
