,real,predict,ratio
2014-01-02,1561.1,1570.2961310549028,0.01016852647711679
2014-01-03,1536.07,1556.1958293907935,
2014-01-06,1512.93,1531.7725609768966,
2014-01-07,1510.65,1508.9138455152975,
2014-01-08,1515.33,1498.0061775988602,
2014-01-09,1503.88,1512.5726302939067,
2014-01-10,1498.27,1502.803953843933,
2014-01-13,1494.61,1500.1754504926255,
2014-01-14,1499.29,1493.8560055990401,
2014-01-15,1488.51,1497.9584933694834,
2014-01-16,1493.09,1482.257035585899,
2014-01-17,1475.67,1489.1999455476503,
2014-01-20,1464.84,1471.8866863390074,
2014-01-21,1478.88,1458.5431952125866,
2014-01-22,1514.12,1476.790555051743,
2014-01-23,1499.03,1518.0125881040033,
2014-01-24,1502.06,1494.580024215302,
2014-01-27,1478.87,1505.399288949763,
2014-01-28,1487.8,1480.469482005402,
2014-01-29,1494.49,1482.576466871941,
2014-01-30,1477.35,1489.99164905347,
2014-02-07,1475.34,1475.0308965771058,
2014-02-10,1505.83,1472.3578528024366,
2014-02-11,1528.32,1502.8506759998056,
2014-02-12,1527.0,1530.2692962890656,
2014-02-13,1528.02,1526.3311996315952,
2014-02-14,1534.24,1535.639902248731,
2014-02-17,1538.1,1534.2898110247074,
2014-02-18,1508.54,1543.0591828090041,
2014-02-19,1533.4,1506.6137765235567,
2014-02-20,1520.14,1540.1050199867816,
2014-02-21,1505.33,1525.99384103229,
2014-02-24,1468.06,1509.2110729145961,
2014-02-25,1440.89,1472.8122872136569,
2014-02-26,1444.2,1442.5474202011706,
2014-02-27,1452.46,1443.5836523442545,
2014-02-28,1464.32,1453.2113181808706,
2014-03-03,1462.69,1459.4288874541867,
2014-03-04,1464.28,1460.5581883507127,
2014-03-05,1448.33,1457.8257881675008,
2014-03-06,1459.51,1442.7824976704628,
2014-03-07,1455.58,1456.9628401985378,
2014-03-10,1408.87,1455.0001503058936,
2014-03-11,1412.73,1415.2494516580102,
2014-03-12,1418.7,1414.0015522774158,
2014-03-13,1437.39,1418.9665855640578,
2014-03-14,1426.4,1439.863772478891,
2014-03-17,1434.16,1426.878784148904,
2014-03-18,1427.63,1434.6060867941967,
2014-03-19,1418.71,1425.4941346109256,
2014-03-20,1406.92,1417.4753592008792,
2014-03-21,1464.08,1406.997602437731,
2014-03-24,1477.53,1476.8349708272424,
2014-03-25,1470.12,1479.9276068535817,
2014-03-26,1467.08,1464.5624378225368,
2014-03-27,1464.53,1468.032624449886,
2014-03-28,1472.05,1466.675589152769,
2014-03-31,1465.78,1479.713933641406,
2014-04-01,1473.14,1467.9356741938482,
2014-04-02,1491.3,1471.745022193722,
2014-04-03,1477.49,1496.2680307310548,
2014-04-04,1490.33,1480.5406000989465,
2014-04-08,1534.75,1489.0832608701,
2014-04-09,1530.88,1547.8398730916447,
2014-04-10,1570.4,1528.1868043129032,
2014-04-11,1565.31,1587.6436035684596,
2014-04-14,1557.7,1565.8705975133303,
2014-04-15,1523.22,1555.9030887890924,
2014-04-16,1527.05,1523.1083368222896,
2014-04-17,1520.56,1525.7325490646706,
2014-04-18,1521.28,1523.0507340932702,
2014-04-21,1493.76,1520.2506371935858,
2014-04-22,1509.55,1496.174622867197,
2014-04-23,1507.04,1513.9403935718392,
2014-04-24,1510.29,1506.1723525581394,
2014-04-25,1501.05,1514.6823207476975,
2014-04-28,1483.78,1510.5875332438964,
2014-04-29,1496.01,1486.5830799643409,
2014-04-30,1494.81,1501.461934478847,
2014-05-05,1487.53,1493.5678335794087,
2014-05-06,1485.25,1486.3457716102394,
2014-05-07,1476.18,1483.8539056715538,
2014-05-08,1478.72,1477.564365843683,
2014-05-09,1480.74,1480.6826141403203,
2014-05-12,1508.39,1482.4761505356903,
2014-05-13,1503.52,1514.611062009619,
2014-05-14,1500.82,1501.7274898069732,
2014-05-15,1488.77,1503.742029458473,
2014-05-16,1487.74,1490.284814581031,
2014-05-19,1459.21,1487.59296965619,
2014-05-20,1460.82,1458.7704156867742,
2014-05-21,1474.14,1456.9736561289815,
2014-05-22,1471.55,1470.3811214297832,
2014-05-23,1484.38,1473.4808447375601,
2014-05-26,1486.05,1484.0495911366665,
2014-05-27,1479.73,1484.8858733148481,
2014-05-28,1491.76,1475.2712337956061,
2014-05-29,1484.31,1493.3461519542816,
2014-05-30,1482.1,1481.8334637465207,
2014-06-03,1477.52,1483.7150050585117,
2014-06-04,1466.39,1479.7983064230925,
2014-06-05,1484.24,1468.2216295035148,
2014-06-06,1472.27,1481.3521661119378,
2014-06-09,1475.35,1470.219939731857,
2014-06-10,1493.53,1474.41156522814,
2014-06-11,1488.76,1497.717192692511,
2014-06-12,1483.86,1481.638307784483,
2014-06-13,1502.96,1482.649710072621,
2014-06-16,1518.7,1506.6494218285425,
2014-06-17,1501.94,1519.1483424130236,
2014-06-18,1495.43,1497.0836515056712,
2014-06-19,1478.04,1494.8041976562843,
2014-06-20,1484.48,1478.7783648411423,
2014-06-23,1475.76,1482.8308841990151,
2014-06-24,1480.13,1475.6659176183925,
2014-06-25,1469.95,1479.97670039023,
2014-06-26,1478.01,1465.3214511085287,
2014-06-27,1473.76,1473.3264254646847,
2014-06-30,1482.41,1472.6128391632105,
2014-07-01,1481.66,1482.5902401911571,
2014-07-02,1484.84,1481.1467623569088,
2014-07-03,1489.55,1484.3325002445856,
2014-07-04,1492.46,1489.2792210854186,
2014-07-07,1492.84,1489.3897951285555,
2014-07-08,1491.96,1490.3530235783994,
2014-07-09,1475.14,1487.9893732734356,
2014-07-10,1471.17,1472.9696043838023,
2014-07-11,1468.54,1470.0667087694226,
2014-07-14,1482.78,1467.269595753038,
2014-07-15,1484.66,1481.7071887637712,
2014-07-16,1483.18,1480.5236555121126,
2014-07-17,1473.67,1482.4759934488413,
2014-07-18,1478.76,1471.6940726667465,
2014-07-21,1479.84,1475.45439583344,
2014-07-22,1495.93,1476.4427688572628,
2014-07-23,1506.76,1497.0709044634284,
2014-07-24,1541.9,1506.8171134564698,
2014-07-25,1557.02,1548.2947891886486,
2014-07-28,1609.48,1554.1801619371704,
2014-07-29,1611.85,1620.587469000564,
2014-07-30,1601.38,1609.11165443559,
2014-07-31,1621.85,1606.5094884274722,
2014-08-01,1607.97,1623.0609386452034,
2014-08-04,1644.63,1615.2387557459342,
2014-08-05,1632.41,1654.9740253373855,
2014-08-06,1619.01,1629.670127793038,
2014-08-07,1593.42,1614.5499674602177,
2014-08-08,1595.66,1594.6475957346097,
2014-08-11,1619.25,1591.9453414305303,
2014-08-12,1607.91,1617.596511542679,
2014-08-13,1610.14,1605.0707458590473,
2014-08-14,1596.84,1611.5615948990155,
2014-08-15,1612.0,1595.2488702662522,
2014-08-18,1613.13,1612.425662382173,
2014-08-19,1609.09,1612.6559039303768,
2014-08-20,1600.34,1610.2068400313096,
2014-08-21,1587.03,1596.3081881283022,
2014-08-22,1594.18,1586.239057954886,
2014-08-25,1577.43,1588.8613239777696,
2014-08-26,1573.39,1576.9867113633697,
2014-08-27,1572.79,1572.1544352972114,
2014-08-28,1563.89,1571.3931175735106,
2014-08-29,1581.28,1567.2900156662965,
2014-09-01,1586.02,1586.245141208255,
2014-09-02,1607.5,1585.5644111437746,
2014-09-03,1624.03,1610.4655419428725,
2014-09-04,1637.29,1623.4722807067524,
2014-09-05,1656.24,1634.5855589536268,
2014-09-09,1645.11,1654.393037429471,
2014-09-10,1629.99,1639.4419139908846,
2014-09-11,1622.81,1625.473623785179,
2014-09-12,1630.2,1623.3610038792326,
2014-09-15,1624.07,1631.3558973946265,
2014-09-16,1600.92,1618.7805557216236,
2014-09-17,1604.92,1601.512309971726,
2014-09-18,1609.87,1596.6323702605148,
2014-09-19,1619.58,1604.0593071004084,
2014-09-22,1583.89,1617.6296428466735,
2014-09-23,1595.64,1586.1190089945692,
2014-09-24,1625.73,1593.063740910516,
2014-09-25,1618.52,1628.7397823995504,
2014-09-26,1616.09,1615.3719567971057,
