real,pre,实际值与预测值差距比
1561.1,1570.2873320012266,0.010139531840833174
1536.07,1556.1856480789552,
1512.93,1531.7664330329242,
1510.65,1508.9110031032128,
1515.33,1497.9919451703063,
1503.88,1512.569602514344,
1498.27,1502.7964052133023,
1494.61,1500.1712769820685,
1499.29,1493.8404100368564,
1488.51,1497.948865873045,
1493.09,1482.2391676885559,
1475.67,1489.1897978141312,
1464.84,1471.8767777893636,
1478.88,1458.5278736101125,
1514.12,1476.7785391608788,
1499.03,1518.008050931681,
1502.06,1494.5638195452523,
1478.87,1505.3908087904838,
1487.8,1480.4589487914682,
1494.49,1482.5607551673895,
1477.35,1489.982704487322,
1475.34,1475.0697124786311,
1505.83,1472.3549398482717,
1528.32,1502.800612638039,
1527.0,1530.1695418267143,
1528.02,1526.4176151069607,
1534.24,1535.431142058676,
1538.1,1534.4412463697286,
1508.54,1542.9404351367934,
1533.4,1506.6366843101946,
1520.14,1540.0218878247488,
1505.33,1525.9529360499478,
1468.06,1509.248084885498,
1440.89,1472.7039767320305,
1444.2,1442.6343352139172,
1452.46,1443.5648866530028,
1464.32,1453.1133260674515,
1462.69,1459.4590902016841,
1464.28,1460.2060046771342,
1448.33,1458.0122540541429,
1459.51,1442.7132629789157,
1455.58,1456.9108794157862,
1408.87,1455.1363121028485,
1412.73,1414.98826872535,
1418.7,1414.027163196564,
1437.39,1418.794437091088,
1426.4,1439.8361256221456,
1434.16,1426.6709037088858,
1427.63,1434.5465362340894,
1418.71,1425.4766187272803,
1406.92,1417.588220751831,
1464.08,1406.9226531439185,
1477.53,1476.6390090230743,
1470.12,1479.786855913642,
1467.08,1464.2479301918027,
1464.53,1467.8470889691562,
1472.05,1466.7646011240308,
1465.78,1479.625059636313,
1473.14,1467.8119341565516,
1491.3,1471.7566437223238,
1477.49,1496.1321037742343,
1490.33,1480.5330718720486,
1534.75,1489.1087832327523,
1530.88,1547.6282234688645,
1570.4,1528.275972856659,
1565.31,1587.183770622642,
1557.7,1565.88986303426,
1523.22,1555.7501696899183,
1527.05,1523.0265219763928,
1520.56,1525.8555735966722,
1521.28,1522.9750254409912,
1493.76,1520.2476275959684,
1509.55,1496.3350829298377,
1507.04,1513.9072994960434,
1510.29,1506.2572050072965,
1501.05,1514.791717926287,
1483.78,1510.480256435561,
1496.01,1486.702023863188,
1494.81,1501.3701836643372,
1487.53,1493.6471252437943,
1485.25,1486.3892381248693,
1476.18,1484.1368756225452,
1478.72,1477.4942348403838,
1480.74,1480.8903029351482,
1508.39,1482.4742979315163,
1503.52,1514.2118988445757,
1500.82,1502.24032590958,
