,real,predict,ratio
2014-01-02,1561.1,1517.3811180222035,0.09349579512608018
2014-01-03,1536.07,1517.264577292204,
2014-01-06,1512.93,1518.5247790622711,
2014-01-07,1510.65,1520.711059128046,
2014-01-08,1515.33,1517.7349452900887,
2014-01-09,1503.88,1512.4168433594702,
2014-01-10,1498.27,1505.6244411218165,
2014-01-13,1494.61,1498.8684428441525,
2014-01-14,1499.29,1493.170382090211,
2014-01-15,1488.51,1487.2717991936206,
2014-01-16,1493.09,1483.394777454734,
2014-01-17,1475.67,1478.7479861724375,
2014-01-20,1464.84,1476.1371133852006,
2014-01-21,1478.88,1473.4779422748088,
2014-01-22,1514.12,1469.2515987086297,
2014-01-23,1499.03,1467.9531908023357,
2014-01-24,1502.06,1468.9342955458164,
2014-01-27,1478.87,1471.6823139446974,
2014-01-28,1487.8,1474.2457894968986,
2014-01-29,1494.49,1475.6252953338624,
2014-01-30,1477.35,1475.5044293808937,
2014-02-07,1475.34,1474.5879626917838,
2014-02-10,1505.83,1472.1756897258758,
2014-02-11,1528.32,1471.0453047174215,
2014-02-12,1527.0,1474.829454307556,
2014-02-13,1528.02,1483.2797385382653,
2014-02-14,1534.24,1492.7934869664907,
2014-02-17,1538.1,1501.7192453610896,
2014-02-18,1508.54,1509.4352028477192,
2014-02-19,1533.4,1513.8567821729182,
2014-02-20,1520.14,1516.115029143095,
2014-02-21,1505.33,1518.2551734972,
2014-02-24,1468.06,1517.9628605115413,
2014-02-25,1440.89,1515.255871658325,
2014-02-26,1444.2,1509.5352837014198,
2014-02-27,1452.46,1497.568352906704,
2014-02-28,1464.32,1487.4847563523053,
2014-03-03,1462.69,1475.9063146817684,
2014-03-04,1464.28,1467.6348063337803,
2014-03-05,1448.33,1461.6092300850153,
2014-03-06,1459.51,1458.0898201841117,
2014-03-07,1455.58,1455.6196973609924,
2014-03-10,1408.87,1452.9046587872506,
2014-03-11,1412.73,1450.7992363619803,
2014-03-12,1418.7,1446.1337625193596,
2014-03-13,1437.39,1440.2458725351096,
2014-03-14,1426.4,1436.852314608097,
2014-03-17,1434.16,1433.4113594460487,
2014-03-18,1427.63,1430.3791979271173,
2014-03-19,1418.71,1427.8962195801735,
2014-03-20,1406.92,1424.412372623682,
2014-03-21,1464.08,1422.814683316946,
2014-03-24,1477.53,1425.1885098564624,
2014-03-25,1470.12,1434.0281242269277,
2014-03-26,1467.08,1443.588188584447,
2014-03-27,1464.53,1451.7396119225025,
2014-03-28,1472.05,1458.0263235080242,
2014-03-31,1465.78,1461.5830985295772,
2014-04-01,1473.14,1462.0072106707096,
2014-04-02,1491.3,1460.6988307225704,
2014-04-03,1477.49,1460.028721525073,
2014-04-04,1490.33,1462.0507031905652,
2014-04-08,1534.75,1467.9534310925008,
2014-04-09,1530.88,1476.7645710784197,
2014-04-10,1570.4,1485.4514810490607,
2014-04-11,1565.31,1498.2905449974537,
2014-04-14,1557.7,1514.3615116643905,
2014-04-15,1523.22,1526.641540544033,
2014-04-16,1527.05,1532.4189571249485,
2014-04-17,1520.56,1531.8278433191776,
2014-04-18,1521.28,1527.5680994200707,
2014-04-21,1493.76,1521.0462639081477,
2014-04-22,1509.55,1512.6859683442115,
2014-04-23,1507.04,1509.0498975682258,
2014-04-24,1510.29,1502.5747984933853,
2014-04-25,1501.05,1502.1046707856656,
2014-04-28,1483.78,1501.264856659174,
2014-04-29,1496.01,1498.5626736092568,
2014-04-30,1494.81,1496.0530831265448,
2014-05-05,1487.53,1493.1339180576801,
2014-05-06,1485.25,1489.2348496961592,
2014-05-07,1476.18,1486.0278170096874,
2014-05-08,1478.72,1482.2565830159187,
2014-05-09,1480.74,1479.1615255463123,
2014-05-12,1508.39,1475.5291792678834,
2014-05-13,1503.52,1474.7401865112781,
2014-05-14,1500.82,1477.0976733195782,
2014-05-15,1488.77,1479.4585241901875,
2014-05-16,1487.74,1481.2315051722526,
2014-05-19,1459.21,1480.8853071171045,
2014-05-20,1460.82,1479.0393379974364,
2014-05-21,1474.14,1474.7258892464638,
2014-05-22,1471.55,1468.8088640797139,
2014-05-23,1484.38,1464.5515230822564,
2014-05-26,1486.05,1461.0772877323627,
2014-05-27,1479.73,1461.4927494275569,
2014-05-28,1491.76,1461.7335201728345,
2014-05-29,1484.31,1462.7200314450263,
2014-05-30,1482.1,1464.9983426439762,
2014-06-03,1477.52,1467.055226455927,
2014-06-04,1466.39,1469.1014173555375,
2014-06-05,1484.24,1469.4431099700928,
2014-06-06,1472.27,1468.9523773807286,
2014-06-09,1475.35,1467.851788352728,
2014-06-10,1493.53,1466.281011544466,
2014-06-11,1488.76,1465.9134276646375,
2014-06-12,1483.86,1466.5391432541608,
2014-06-13,1502.96,1468.209640480876,
2014-06-16,1518.7,1470.8977064836024,
2014-06-17,1501.94,1475.8958620595931,
2014-06-18,1495.43,1480.8353267627954,
2014-06-19,1478.04,1484.5198760795593,
2014-06-20,1484.48,1486.175355170965,
2014-06-23,1475.76,1484.5523152518272,
2014-06-24,1480.13,1481.5783640253544,
2014-06-25,1469.95,1478.0083730447293,
2014-06-26,1478.01,1472.725533695817,
2014-06-27,1473.76,1468.2063965636492,
2014-06-30,1482.41,1466.562751762867,
2014-07-01,1481.66,1435.0501383709907,
2014-07-02,1484.84,1436.4766209352017,
2014-07-03,1489.55,1438.91562618196,
2014-07-04,1492.46,1442.6845173466206,
2014-07-07,1492.84,1445.1575837242603,
2014-07-08,1491.96,1447.6682555127143,
2014-07-09,1475.14,1448.7489605295657,
2014-07-10,1471.17,1449.2613793063163,
2014-07-11,1468.54,1448.7966581273079,
2014-07-14,1482.78,1447.9825550484657,
2014-07-15,1484.66,1447.0302851247786,
2014-07-16,1483.18,1446.7999670016766,
2014-07-17,1473.67,1448.453043191433,
2014-07-18,1478.76,1449.704834805727,
2014-07-21,1479.84,1450.1273850607872,
2014-07-22,1495.93,1449.61706882298,
2014-07-23,1506.76,1449.3369505631924,
2014-07-24,1541.9,1453.0806713330746,
2014-07-25,1557.02,1462.1668834853172,
2014-07-28,1609.48,1475.1087916243075,
2014-07-29,1611.85,1498.1559224325417,
2014-07-30,1601.38,1525.9562930661439,
2014-07-31,1621.85,1552.69127718091,
2014-08-01,1607.97,1569.3114270198346,
2014-08-04,1644.63,1579.8020751136542,
2014-08-05,1632.41,1583.2215843784809,
2014-08-06,1619.01,1582.6889812278748,
2014-08-07,1593.42,1577.8474347668887,
2014-08-08,1595.66,1574.4054583716393,
2014-08-11,1619.25,1564.0129087376595,
2014-08-12,1607.91,1563.728525327444,
2014-08-13,1610.14,1558.3078194963932,
2014-08-14,1596.84,1554.1911683905125,
2014-08-15,1612.0,1549.1146782207488,
2014-08-18,1613.13,1549.6240332978964,
2014-08-19,1609.09,1551.7840616631509,
2014-08-20,1600.34,1553.150051178336,
2014-08-21,1587.03,1553.9030604827403,
2014-08-22,1594.18,1555.2772799360753,
2014-08-25,1577.43,1552.4290004658699,
2014-08-26,1573.39,1549.162135528326,
2014-08-27,1572.79,1544.3584948408604,
2014-08-28,1563.89,1539.0804012227059,
2014-08-29,1581.28,1532.900198252797,
2014-09-01,1586.02,1527.3491950798034,
2014-09-02,1607.5,1524.254137610197,
2014-09-03,1624.03,1527.2003353226185,
2014-09-04,1637.29,1535.5587686377764,
2014-09-05,1656.24,1548.9446729290485,
2014-09-09,1645.11,1565.0754117745162,
2014-09-10,1629.99,1581.4123796540498,
2014-09-11,1622.81,1591.7010638642312,
2014-09-12,1630.2,1595.0677693653106,
2014-09-15,1624.07,1593.7335582244395,
2014-09-16,1600.92,1588.831278424263,
2014-09-17,1604.92,1585.3844962257147,
2014-09-18,1609.87,1583.4726275283099,
2014-09-19,1619.58,1581.3139808315038,
2014-09-22,1583.89,1576.48516974926,
2014-09-23,1595.64,1573.7139032769203,
2014-09-24,1625.73,1565.9664677786827,
2014-09-25,1618.52,1560.941459776759,
2014-09-26,1616.09,1562.7574526983499,
2014-09-29,1621.82,1562.08722335577,
2014-09-30,1619.7,1565.5136409628392,
2014-10-08,1633.57,1574.7043192642927,
2014-10-09,1634.04,1577.9639154243469,
2014-10-10,1621.71,1583.102160166502,
2014-10-13,1605.99,1586.531100820303,
2014-10-14,1600.3,1587.0894150185584,
2014-10-15,1612.77,1581.4970819371938,
2014-10-16,1608.74,1580.4273701953887,
2014-10-17,1608.52,1580.3689796853066,
2014-10-20,1612.4,1578.0127544003724,
2014-10-21,1600.84,1577.9816368240117,
2014-10-22,1597.13,1574.3161905753611,
2014-10-23,1586.56,1570.4251719343663,
2014-10-24,1583.42,1566.9011965203285,
2014-10-27,1559.91,1560.9921009290217,
2014-10-28,1585.74,1551.8626966196298,
2014-10-29,1608.4,1542.4737188595534,
2014-10-30,1619.1,1538.5880466747283,
2014-10-31,1657.29,1548.1780271577834,
2014-11-03,1651.05,1570.608513330221,
2014-11-04,1645.62,1595.540059684515,
2014-11-05,1637.63,1620.2200222361087,
2014-11-06,1635.96,1637.113021557331,
2014-11-07,1640.32,1643.0938437628745,
