,real,predict,ratio
2014-01-02,1561.1,1537.2779846954345,0.024788799783334314
2014-01-03,1536.07,1532.7395042049884,
2014-01-06,1512.93,1530.7186639177798,
2014-01-07,1510.65,1533.526574640274,
2014-01-08,1515.33,1533.277513884306,
2014-01-09,1503.88,1530.293650688529,
2014-01-10,1498.27,1524.8039815801383,
2014-01-13,1494.61,1519.4265880513192,
2014-01-14,1499.29,1512.7092764902116,
2014-01-15,1488.51,1504.7893126535416,
2014-01-16,1493.09,1497.0437994766235,
2014-01-17,1475.67,1488.517583553791,
2014-01-20,1464.84,1483.4837448883056,
2014-01-21,1478.88,1480.1989783334732,
2014-01-22,1514.12,1475.7581757950782,
2014-01-23,1499.03,1472.6998827207087,
2014-01-24,1502.06,1471.6926464217902,
2014-01-27,1478.87,1473.0314831483363,
2014-01-28,1487.8,1474.9392068403959,
2014-01-29,1494.49,1476.3963264006377,
2014-01-30,1477.35,1477.1078255790471,
2014-02-07,1475.34,1477.0904646146298,
2014-02-10,1505.83,1476.9458099353312,
2014-02-11,1528.32,1477.906369869709,
2014-02-12,1527.0,1481.5616037863492,
2014-02-13,1528.02,1487.433694692254,
2014-02-14,1534.24,1494.9452853935957,
2014-02-17,1538.1,1503.333274399042,
2014-02-18,1508.54,1512.8751968491076,
2014-02-19,1533.4,1520.0061679291725,
2014-02-20,1520.14,1525.343853508234,
2014-02-21,1505.33,1531.0505647081136,
2014-02-24,1468.06,1535.2088460850716,
2014-02-25,1440.89,1535.7473964172602,
2014-02-26,1444.2,1532.2994728404283,
2014-02-27,1452.46,1522.5360629308223,
2014-02-28,1464.32,1513.2135854738951,
2014-03-03,1462.69,1500.5607464033365,
2014-03-04,1464.28,1488.6651217150688,
2014-03-05,1448.33,1479.1620661991835,
2014-03-06,1459.51,1470.5587772059441,
2014-03-07,1455.58,1463.1669711518286,
2014-03-10,1408.87,1456.60356544137,
2014-03-11,1412.73,1453.4980553495884,
2014-03-12,1418.7,1450.0769241261482,
2014-03-13,1437.39,1445.727612068057,
2014-03-14,1426.4,1442.1078209507466,
2014-03-17,1434.16,1436.9875979709625,
2014-03-18,1427.63,1431.9372994291782,
2014-03-19,1418.71,1426.820320366621,
2014-03-20,1406.92,1421.3847165453433,
2014-03-21,1464.08,1417.5021080601216,
2014-03-24,1477.53,1417.5756368505954,
2014-03-25,1470.12,1426.014627443552,
2014-03-26,1467.08,1435.9502653288841,
2014-03-27,1464.53,1444.804237036705,
2014-03-28,1472.05,1451.537888329029,
2014-03-31,1465.78,1456.8724501359463,
2014-04-01,1473.14,1472.9640817570687,
2014-04-02,1491.3,1472.3912300038337,
2014-04-03,1477.49,1471.9301732498407,
2014-04-04,1490.33,1473.8526747870444,
2014-04-08,1534.75,1479.801778690815,
2014-04-09,1530.88,1489.369652478695,
2014-04-10,1570.4,1498.4725647974014,
2014-04-11,1565.31,1511.9220258373023,
2014-04-14,1557.7,1529.2567986267804,
2014-04-15,1523.22,1543.7702044445275,
2014-04-16,1527.05,1552.0703073221446,
2014-04-17,1520.56,1553.877349435091,
2014-04-18,1521.28,1551.6379652428627,
2014-04-21,1493.76,1546.3419099348782,
2014-04-22,1509.55,1537.8927670824528,
2014-04-23,1507.04,1533.5817212331294,
2014-04-24,1510.29,1525.6044481921197,
2014-04-25,1501.05,1523.4952411967515,
2014-04-28,1483.78,1521.82540476799,
2014-04-29,1496.01,1518.2544526267052,
2014-04-30,1494.81,1515.5429583328962,
2014-05-05,1487.53,1512.4432152050733,
2014-05-06,1485.25,1508.242222251296,
2014-05-07,1476.18,1504.8025286126137,
2014-05-08,1478.72,1500.4962885665893,
2014-05-09,1480.74,1496.8555922049284,
2014-05-12,1508.39,1492.5182345825433,
2014-05-13,1503.52,1490.6081079888343,
2014-05-14,1500.82,1492.514089577198,
