shortMA,mediumMA,netAsset
1,20,5883366.468015119
1,21,4867809.299810104
1,22,5093864.424310099
1,23,4983863.330915106
1,24,4792498.64930509
1,25,4851075.029665093
1,26,4563562.547100092
1,27,4864822.67989008
1,28,4778433.472600094
1,29,4800621.74503508
1,30,5120875.060645078
1,31,4328834.314205083
1,32,5489882.623835074
1,33,6100211.617080095
1,34,7150633.856630084
1,35,8142846.3854000885
1,36,7902046.378725104
1,37,9789027.279810121
1,38,8418948.122325106
1,39,8274875.456925119
1,40,10602051.509450132
1,41,10965406.428885123
1,42,11794369.26827012
1,43,10252023.665150119
1,44,10563997.68452013
1,45,9877879.727565117
1,46,8630202.468010094
1,47,7797420.929710084
1,48,7231412.463910082
1,49,6719569.626060072
1,50,7036863.2510950845
1,51,7709969.803230086
1,52,7605318.203770078
1,53,7596563.3515850715
1,54,8793606.861765089
1,55,8576010.548285052
1,56,8918461.745340096
1,57,8420820.840600073
1,58,8067988.797640073
1,59,8335943.894710084
1,60,8202538.484220066
1,61,7976869.826170094
1,62,7788720.702885077
1,63,7291581.745315096
1,64,8455638.676875072
1,65,7492521.737910076
1,66,7669800.003905084
1,67,7412123.531460067
1,68,6831662.929275068
1,69,7085053.513095068
1,70,8088751.456790071
1,71,7338892.407900058
1,72,7328878.633685069
1,73,7243042.01388507
1,74,7546539.553085087
1,75,7496947.294530071
1,76,7600015.81877506
1,77,6984762.052395062
1,78,6858983.686280073
1,79,7155175.902835062
1,80,6789486.081905054
1,81,6610993.2663600575
1,82,6967128.72709007
1,83,6602604.2261650665
1,84,6848098.76441007
1,85,7350077.362725059
1,86,7211175.814025064
1,87,7336982.727015075
1,88,7322155.462080063
1,89,7915758.9203300765
1,90,7674487.396780061
1,91,7951083.514545065
1,92,7811882.426980069
1,93,9389161.511240073
1,94,9087118.412675077
1,95,8425690.898155069
1,96,8573798.113010067
1,97,8292254.331395062
1,98,8445388.58449007
1,99,8475736.16967007
1,100,8515552.110040069
2,20,7348772.503355096
2,21,7414180.428380093
2,22,6216851.125340093
2,23,5801067.776550092
2,24,5273340.843900082
2,25,5097992.3397750845
2,26,4524785.02002007
2,27,4128180.491175059
2,28,4490128.565510071
2,29,4572651.597000056
2,30,5093446.97514006
2,31,5806327.858700059
2,32,6860094.698805069
2,33,7198111.966795082
2,34,7380902.59052507
2,35,7784705.882995075
2,36,8124792.514100076
2,37,9343559.885455089
2,38,10227147.583770094
2,39,10361299.6021451
2,40,10756701.958660096
2,41,11770725.434780106
2,42,10327584.602510095
2,43,9702231.644785086
2,44,10525116.157035068
2,45,10809245.79586508
2,46,9591059.482325064
2,47,8888752.531655073
2,48,8609219.57046006
2,49,8963280.467325062
2,50,9607696.473440066
2,51,8978780.14029005
2,52,8993929.610400064
2,53,8794431.577265056
2,54,9662623.793910064
2,55,10594863.376790069
2,56,8846358.787565058
2,57,8309387.968315069
2,58,8514036.970905079
2,59,8353198.228880082
2,60,9020198.27051007
2,61,9321595.288180076
2,62,8619548.19829507
2,63,8638410.089250065
2,64,8354445.462880061
2,65,9489114.687875062
2,66,10678401.790475067
2,67,10836470.25645506
2,68,10137266.746610057
2,69,9709732.761800054
2,70,9814236.738850063
2,71,9498122.493085073
2,72,9692660.186155055
2,73,9644753.878605062
2,74,9228571.849325048
2,75,9603625.488380056
2,76,9819918.930005062
2,77,9651342.746430056
2,78,9136459.477770051
2,79,9159955.112895055
2,80,8731991.311200049
2,81,8740779.245150045
2,82,9163166.648080055
2,83,8598555.95460504
2,84,8624394.76775505
2,85,8551292.818995062
2,86,8020392.407830062
2,87,7831520.7400350515
2,88,7753942.744135051
2,89,8088218.414305041
2,90,8144603.191215045
2,91,8425040.76108504
2,92,8203058.195920046
2,93,8481519.63090504
2,94,8822089.980740039
2,95,8625800.399345046
2,96,9014265.308295047
2,97,7828744.272510031
2,98,7988089.233530036
2,99,7408005.628515037
2,100,7030721.06775003
3,20,6276383.617025104
3,21,5798883.275330071
3,22,5549084.471460074
3,23,5279640.428535078
3,24,5007789.732195079
3,25,6317278.744410075
3,26,6325973.243420075
3,27,5844244.165545075
3,28,6701739.8927850835
3,29,6056851.545710062
3,30,5893075.971240058
3,31,6606333.082295061
3,32,6094898.074895057
3,33,6723783.715940059
3,34,6264467.998270058
3,35,5745154.8946900545
3,36,5328558.837065053
