shortMA,mediumMA,longMA,netAsset
1,5,120,1925764.4397250314
2,5,120,3693586.7539750445
3,5,120,4007003.145245038
4,5,120,4883351.61177006
5,5,120,1000000.0
6,5,120,1011453.7142600161
7,5,120,1205117.5770000159
8,5,120,1162877.589420011
1,6,120,2761354.8375500315
2,6,120,4128384.4827500475
3,6,120,4552142.689180041
4,6,120,3788021.919120037
5,6,120,4043600.7708350485
6,6,120,1000000.0
7,6,120,1461627.706190023
8,6,120,1022531.1836850123
1,7,120,2541421.678580034
2,7,120,3388438.642555039
3,7,120,3987626.8553050365
4,7,120,3507524.7730950266
5,7,120,3584871.2662800285
6,7,120,2834144.86202003
7,7,120,1000000.0
8,7,120,1087754.6350700143
1,8,120,2726796.0166950305
2,8,120,3820255.352315034
3,8,120,4710290.039270044
4,8,120,4400389.021240022
5,8,120,3851007.876855022
6,8,120,4309016.279645023
7,8,120,3889537.278945036
8,8,120,1000000.0
1,9,120,2677677.3179100305
2,9,120,4221189.711045044
3,9,120,4462645.74729503
4,9,120,5100917.690670031
5,9,120,3913479.27289002
6,9,120,3527469.7634350215
7,9,120,3095309.756695022
8,9,120,2760145.6733650253
1,10,120,3182580.823785032
2,10,120,4773482.071125031
3,10,120,4672520.909945033
4,10,120,4536179.032125022
5,10,120,4442124.777955023
6,10,120,3544096.037300021
7,10,120,3146183.2388900197
8,10,120,3304022.920015024
1,11,120,3207400.6263600346
2,11,120,4573445.913425039
3,11,120,5224928.251640025
4,11,120,5171945.47146003
5,11,120,4677547.216850024
6,11,120,4225697.483300014
7,11,120,4889480.691145019
8,11,120,3777587.626810019
1,12,120,5054795.8655800335
2,12,120,5197498.660850036
3,12,120,5504128.53892503
4,12,120,4699875.582645019
5,12,120,4587690.612540024
6,12,120,4914625.290345017
7,12,120,4547885.969055025
8,12,120,4042553.1456100233
1,13,120,5399823.140200027
2,13,120,5774252.801940032
3,13,120,5870817.480045028
4,13,120,4725736.793820022
5,13,120,4588112.638045021
6,13,120,4687027.297920022
7,13,120,4968931.916470026
8,13,120,4098082.6978650256
1,14,120,5442534.3845700305
2,14,120,5852527.538210029
3,14,120,5083163.686615025
4,14,120,4223471.909500022
5,14,120,4158286.3188050115
6,14,120,5027047.694680017
7,14,120,4711591.003460029
8,14,120,4334214.295875017
1,15,120,6109808.08804503
2,15,120,5843089.293045023
3,15,120,4294984.003935014
4,15,120,4640345.433115023
5,15,120,4696800.323580017
6,15,120,5076906.426350022
7,15,120,5200809.048335025
8,15,120,4350471.269740022
1,16,120,5827013.09119004
2,16,120,5161940.834555028
3,16,120,5169772.573835028
4,16,120,5184106.522525023
5,16,120,4807845.421875018
6,16,120,4487158.030515022
7,16,120,4519600.428605019
8,16,120,4077140.7601450216
1,17,120,5760939.411020036
2,17,120,5302236.176685029
3,17,120,5445927.027120021
4,17,120,4672288.434020021
5,17,120,4712435.608900018
6,17,120,4422591.958840023
7,17,120,4135851.4369400204
8,17,120,4294177.234130014
1,18,120,5220310.467135022
2,18,120,5591910.095720025
3,18,120,5903602.636820023
4,18,120,4363506.103265021
5,18,120,5075477.6994700115
6,18,120,4819065.6131000165
7,18,120,4412707.653395015
8,18,120,3842546.5870650215
1,19,120,5806415.00019503
2,19,120,5852372.211670023
3,19,120,5643654.977135024
4,19,120,4541319.912665019
5,19,120,5353081.38606502
6,19,120,4802829.589560016
7,19,120,4664255.443215022
8,19,120,4638542.330020019
1,20,120,5582045.113405024
2,20,120,5725143.507345024
3,20,120,5623728.999980027
4,20,120,4548327.643155016
5,20,120,5472095.873380019
