,shortEMA,mediumEMA,longEMA,netAsset
5185,6,8,120,1036420.706
4331,5,9,120,1036420.706
3477,4,11,120,1036420.706
5186,6,8,121,1036420.706
4332,5,9,121,1036420.706
3478,4,11,121,1036420.706
5187,6,8,122,1036420.706
4333,5,9,122,1036420.706
3479,4,11,122,1036420.706
5188,6,8,123,1036420.706
4334,5,9,123,1036420.706
3480,4,11,123,1036420.706
5189,6,8,124,1036420.706
4335,5,9,124,1036420.706
3481,4,11,124,1036420.706
5190,6,8,125,1036420.706
4336,5,9,125,1036420.706
3482,4,11,125,1036420.706
5191,6,8,126,1036420.706
4337,5,9,126,1036420.706
3483,4,11,126,1036420.706
5192,6,8,127,1036420.706
4338,5,9,127,1036420.706
3484,4,11,127,1036420.706
5193,6,8,128,1036420.706
4339,5,9,128,1036420.706
3485,4,11,128,1036420.706
5194,6,8,129,1036420.706
4340,5,9,129,1036420.706
3486,4,11,129,1036420.706
5195,6,8,130,1036420.706
4341,5,9,130,1036420.706
3487,4,11,130,1036420.706
5196,6,8,131,1036420.706
4342,5,9,131,1036420.706
3488,4,11,131,1036420.706
5197,6,8,132,1036420.706
4343,5,9,132,1036420.706
3489,4,11,132,1036420.706
5198,6,8,133,1036420.706
4344,5,9,133,1036420.706
3490,4,11,133,1036420.706
5199,6,8,134,1036420.706
4345,5,9,134,1036420.706
3491,4,11,134,1036420.706
5200,6,8,135,1036420.706
4346,5,9,135,1036420.706
3492,4,11,135,1036420.706
5201,6,8,136,1036420.706
4347,5,9,136,1036420.706
3493,4,11,136,1036420.706
5202,6,8,137,1036420.706
4348,5,9,137,1036420.706
3494,4,11,137,1036420.706
5203,6,8,138,1036420.706
4349,5,9,138,1036420.706
3495,4,11,138,1036420.706
5204,6,8,139,1036420.706
4350,5,9,139,1036420.706
3496,4,11,139,1036420.706
5205,6,8,140,1036420.706
4351,5,9,140,1036420.706
3497,4,11,140,1036420.706
5206,6,8,141,1036420.706
4352,5,9,141,1036420.706
3498,4,11,141,1036420.706
5207,6,8,142,1036420.706
4353,5,9,142,1036420.706
3499,4,11,142,1036420.706
5208,6,8,143,1036420.706
4354,5,9,143,1036420.706
3500,4,11,143,1036420.706
5209,6,8,144,1036420.706
4355,5,9,144,1036420.706
3501,4,11,144,1036420.706
5210,6,8,145,1036420.706
4356,5,9,145,1036420.706
3502,4,11,145,1036420.706
5211,6,8,146,1036420.706
4357,5,9,146,1036420.706
3503,4,11,146,1036420.706
5212,6,8,147,1036420.706
4358,5,9,147,1036420.706
3504,4,11,147,1036420.706
5213,6,8,148,1036420.706
4359,5,9,148,1036420.706
3505,4,11,148,1036420.706
5214,6,8,149,1036420.706
4360,5,9,149,1036420.706
3506,4,11,149,1036420.706
5215,6,8,150,1036420.706
4361,5,9,150,1036420.706
3507,4,11,150,1036420.706
5216,6,8,151,1036420.706
4362,5,9,151,1036420.706
3508,4,11,151,1036420.706
5217,6,8,152,1036420.706
4363,5,9,152,1036420.706
3509,4,11,152,1036420.706
5218,6,8,153,1036420.706
4364,5,9,153,1036420.706
3510,4,11,153,1036420.706
5219,6,8,154,1036420.706
4365,5,9,154,1036420.706
3511,4,11,154,1036420.706
5220,6,8,155,1036420.706
4366,5,9,155,1036420.706
3512,4,11,155,1036420.706
5221,6,8,156,1036420.706
4367,5,9,156,1036420.706
3513,4,11,156,1036420.706
5222,6,8,157,1036420.706
4368,5,9,157,1036420.706
3514,4,11,157,1036420.706
5223,6,8,158,1036420.706
4369,5,9,158,1036420.706
3515,4,11,158,1036420.706
5224,6,8,159,1036420.706
4370,5,9,159,1036420.706
3516,4,11,159,1036420.706
5225,6,8,160,1036420.706
4371,5,9,160,1036420.706
3517,4,11,160,1036420.706
5226,6,8,161,1036420.706
4372,5,9,161,1036420.706
3518,4,11,161,1036420.706
5227,6,8,162,1036420.706
4373,5,9,162,1036420.706
3519,4,11,162,1036420.706
5228,6,8,163,1036420.706
4374,5,9,163,1036420.706
3520,4,11,163,1036420.706
5229,6,8,164,1036420.706
4375,5,9,164,1036420.706
3521,4,11,164,1036420.706
5230,6,8,165,1036420.706
4376,5,9,165,1036420.706
3522,4,11,165,1036420.706
5231,6,8,166,1036420.706
4377,5,9,166,1036420.706
3523,4,11,166,1036420.706
5232,6,8,167,1036420.706
4378,5,9,167,1036420.706
3524,4,11,167,1036420.706
5233,6,8,168,1036420.706
4379,5,9,168,1036420.706
3525,4,11,168,1036420.706
5234,6,8,169,1036420.706
4380,5,9,169,1036420.706
3526,4,11,169,1036420.706
5235,6,8,170,1036420.706
4381,5,9,170,1036420.706
3527,4,11,170,1036420.706
5236,6,8,171,1036420.706
4382,5,9,171,1036420.706
3528,4,11,171,1036420.706
5237,6,8,172,1036420.706
4383,5,9,172,1036420.706
3529,4,11,172,1036420.706
2074,3,5,120,1031983.177
2075,3,5,121,1031983.177
2076,3,5,122,1031983.177
2077,3,5,123,1031983.177
2078,3,5,124,1031983.177
2079,3,5,125,1031983.177
2080,3,5,126,1031983.177
2081,3,5,127,1031983.177
2082,3,5,128,1031983.177
2083,3,5,129,1031983.177
2084,3,5,130,1031983.177
2085,3,5,131,1031983.177
2086,3,5,132,1031983.177
2087,3,5,133,1031983.177
2088,3,5,134,1031983.177
2089,3,5,135,1031983.177
2090,3,5,136,1031983.177
2091,3,5,137,1031983.177
2092,3,5,138,1031983.177
2093,3,5,139,1031983.177
2094,3,5,140,1031983.177
2095,3,5,141,1031983.177
2096,3,5,142,1031983.177
2097,3,5,143,1031983.177
2098,3,5,144,1031983.177
2099,3,5,145,1031983.177
2100,3,5,146,1031983.177
2101,3,5,147,1031983.177
2102,3,5,148,1031983.177
2103,3,5,149,1031983.177
2104,3,5,150,1031983.177
2105,3,5,151,1031983.177
2106,3,5,152,1031983.177
2107,3,5,153,1031983.177
2108,3,5,154,1031983.177
2109,3,5,155,1031983.177
2110,3,5,156,1031983.177
2111,3,5,157,1031983.177
2112,3,5,158,1031983.177
2113,3,5,159,1031983.177
2114,3,5,160,1031983.177
2115,3,5,161,1031983.177
2116,3,5,162,1031983.177
2117,3,5,163,1031983.177
2118,3,5,164,1031983.177
2119,3,5,165,1031983.177
2120,3,5,166,1031983.177
2121,3,5,167,1031983.177
2122,3,5,168,1031983.177
2123,3,5,169,1031983.177
2124,3,5,170,1031983.177
2125,3,5,171,1031983.177
2126,3,5,172,1031983.177
5238,6,8,173,1031607.285
4384,5,9,173,1031607.285
3530,4,11,173,1031607.285
5239,6,8,174,1031607.285
4385,5,9,174,1031607.285
3531,4,11,174,1031607.285
5240,6,8,175,1031607.285
4386,5,9,175,1031607.285
3532,4,11,175,1031607.285
2127,3,5,173,1027187.989
2128,3,5,174,1027187.989
2129,3,5,175,1027187.989
1159,2,7,120,1025803.603
1160,2,7,121,1025803.603
1161,2,7,122,1025803.603
1162,2,7,123,1025803.603
1163,2,7,124,1025803.603
1164,2,7,125,1025803.603
1165,2,7,126,1025803.603
1166,2,7,127,1025803.603
1167,2,7,128,1025803.603
1168,2,7,129,1025803.603
1169,2,7,130,1025803.603
1170,2,7,131,1025803.603
1171,2,7,132,1025803.603
1172,2,7,133,1025803.603
1173,2,7,134,1025803.603
1174,2,7,135,1025803.603
1175,2,7,136,1025803.603
1176,2,7,137,1025803.603
1177,2,7,138,1025803.603
1178,2,7,139,1025803.603
1179,2,7,140,1025803.603
1180,2,7,141,1025803.603
1181,2,7,142,1025803.603
1182,2,7,143,1025803.603
1183,2,7,144,1025803.603
1184,2,7,145,1025803.603
1185,2,7,146,1025803.603
1186,2,7,147,1025803.603
1187,2,7,148,1025803.603
1188,2,7,149,1025803.603
1189,2,7,150,1025803.603
1190,2,7,151,1025803.603
1191,2,7,152,1025803.603
1192,2,7,153,1025803.603
1193,2,7,154,1025803.603
1194,2,7,155,1025803.603
1195,2,7,156,1025803.603
1196,2,7,157,1025803.603
1197,2,7,158,1025803.603
1198,2,7,159,1025803.603
1199,2,7,160,1025803.603
1200,2,7,161,1025803.603
1201,2,7,162,1025803.603
1202,2,7,163,1025803.603
1203,2,7,164,1025803.603
1204,2,7,165,1025803.603
1205,2,7,166,1025803.603
1206,2,7,167,1025803.603
1207,2,7,168,1025803.603
1208,2,7,169,1025803.603
1209,2,7,170,1025803.603
1210,2,7,171,1025803.603
1211,2,7,172,1025803.603
5241,6,8,176,1025174.687
4387,5,9,176,1025174.687
3533,4,11,176,1025174.687
5242,6,8,177,1025174.687
4388,5,9,177,1025174.687
3534,4,11,177,1025174.687
5243,6,8,178,1025174.687
4389,5,9,178,1025174.687
3535,4,11,178,1025174.687
5244,6,8,179,1025174.687
4390,5,9,179,1025174.687
3536,4,11,179,1025174.687
5245,6,8,180,1025174.687
4391,5,9,180,1025174.687
3537,4,11,180,1025174.687
6039,7,8,120,1021323.019
5246,6,9,120,1021323.019
6100,7,9,120,1021323.019
4392,5,10,120,1021323.019
5307,6,10,120,1021323.019
4453,5,11,120,1021323.019
3538,4,12,120,1021323.019
4514,5,12,120,1021323.019
3599,4,13,120,1021323.019
6040,7,8,121,1021323.019
5247,6,9,121,1021323.019
6101,7,9,121,1021323.019
4393,5,10,121,1021323.019
5308,6,10,121,1021323.019
4454,5,11,121,1021323.019
3539,4,12,121,1021323.019
4515,5,12,121,1021323.019
3600,4,13,121,1021323.019
6041,7,8,122,1021323.019
