,Open,Close,sign,hold,balance,netAsset,profit,preClose,preShortEMA,preMediumEMA,preLongEMA
2014-01-02,2323.43,2321.98,0.0,0.0,1000000.0,1000000.0,0.0,2330.03,2309.696390450826,2344.228573484316,2383.085950705328
2014-04-11,2269.56,2270.67,1.0,440.0,894.296800000011,999500.6968,0.0,2273.76,2238.4695743866378,2185.552087652303,2262.746938227022
2014-04-16,2223.47,2232.53,-1.0,0.0,978731.9334,978731.9334,-21268.06660000002,2229.46,2246.736308067514,2202.803041061084,2262.4369681276403
2014-07-24,2199.83,2237.01,1.0,444.0,1519.051139999996,978243.57114,0.0,2197.83,2184.726808556126,2167.7453740883507,2195.5151004694867
2014-08-29,2317.3,2338.29,-1.0,0.0,1029885.8105400001,1029885.8105400001,51153.87714000011,2311.28,2326.4879101555853,2329.1220497877757,2244.522667016912
2014-09-01,2340.92,2355.32,1.0,439.0,1708.098600000143,1029371.9786000001,0.0,2338.29,2331.2087460933512,2329.955499807069,2245.9877815947725
2014-10-23,2415.44,2395.94,-1.0,0.0,1061556.0695200001,1061556.0695200001,31670.258980000042,2418.64,2433.848597008836,2435.880302916669,2320.2452576408236
2014-10-31,2473.5,2508.33,1.0,428.0,2368.740520000225,1061026.7405200002,0.0,2468.93,2440.579076302044,2429.0821141053952,2328.896112931162
2014-12-31,3462.39,3533.71,0.0,428.0,2368.740520000225,1514796.6205200003,0.0,3457.55,3424.4284309835875,3227.031989408037,2651.008864951705
2015-01-05,3566.09,3641.54,0.0,428.0,2368.740520000225,1560947.86052,0.0,3533.71,3533.71,3254.911808552761,2681.8971647011263
2015-01-20,3336.79,3396.22,-1.0,0.0,1429800.7874600003,1429800.7874600003,1427432.04694,3355.16,3355.16,3443.3860023329453,2828.506633860569
2015-01-22,3551.05,3567.61,1.0,402.0,1564.9264100003056,1429087.0264100004,0.0,3548.88,3548.88,3449.078349035491,2849.6422213031565
2015-01-30,3496.88,3434.39,-1.0,0.0,1406607.8135300004,1406607.8135300004,-23192.973929999862,3481.8,3481.8,3492.969130069747,2916.6770521776098
2015-02-12,3435.36,3442.87,1.0,409.0,843.0424100004602,1405905.2824100005,0.0,3434.12,3434.12,3432.3386320569834,2982.3329806505217
2015-03-09,3449.7,3537.75,-1.0,0.0,1411064.8787600005,1411064.8787600005,4457.065230000066,3478.52,3478.52,3489.898851229481,3078.8338904828565
2015-03-10,3523.64,3520.61,1.0,400.0,904.1507600005716,1410360.1507600006,0.0,3537.75,3537.75,3494.2489556631645,3086.4192807228096
2015-05-08,4515.55,4558.4,-1.0,0.0,1806221.0407600007,1806221.0407600007,395156.16200000024,4470.09,4470.09,4528.319451060531,3694.825589890082
2015-05-11,4582.09,4690.53,1.0,393.0,4559.290075000608,1805320.6600750007,0.0,4558.4,4558.4,4531.054046418664,3709.0995470819817
2015-05-19,4577.64,4731.22,-1.0,0.0,1802672.3038150007,1802672.3038150007,-3548.7369450000115,4575.14,4575.14,4590.190774835675,3800.884517454163
2015-05-20,4751.57,4754.92,1.0,379.0,926.8513000009116,1801771.8813000007,0.0,4731.22,4731.22,4603.011613486978,3816.2619634466564
2015-06-17,5072.31,5138.83,-1.0,0.0,1922371.1385550012,1922371.1385550012,119698.83474000054,5064.82,5064.82,5093.172837712901,4189.26251345146
2015-06-18,5107.69,4930.55,1.0,376.0,919.4528350012843,1921410.8928350012,0.0,5138.83,5138.83,5097.32348882991,4204.957843807635
2015-06-19,4847.06,4637.05,-1.0,0.0,1822502.7655550013,1822502.7655550013,-99868.3729999999,4930.55,4930.55,5082.162262572646,4216.9511025876745
2015-07-24,4255.2,4176.28,1.0,428.0,366.5527550014667,1821592.1527550013,0.0,4250.81,4250.81,4235.393313105642,4208.461247171664
2015-07-27,4097.8,3818.73,-1.0,0.0,1753348.0235550017,1753348.0235550017,-69154.74199999962,4176.28,4176.28,4230.019375550583,4207.92932573081
2015-11-09,3796.38,3840.35,1.0,461.0,2341.777965001762,1752472.9579650017,0.0,3793.37,3793.37,3537.1089989300553,3731.8128431012897
2015-11-19,3725.62,3774.97,-1.0,0.0,1718993.8425550018,1718993.8425550018,-34354.180999999866,3715.58,3715.58,3665.076131313102,3738.3641136349756
2015-11-20,3778.88,3774.38,1.0,454.0,2524.516795001924,1718136.036795002,0.0,3774.97,3774.97,3675.066483011911,3738.9691696079517
2015-11-30,3554.89,3566.41,-1.0,0.0,1615637.616765002,1615637.616765002,-103356.22578999982,3556.99,3556.99,3695.159131862752,3737.9708706480087
2015-12-04,3719.73,3677.59,1.0,434.0,467.61535500199534,1614830.435355002,0.0,3749.3,3749.3,3685.72837365122,3732.8618470970155
2015-12-07,3681.58,3687.61,-1.0,0.0,1597474.4324950022,1597474.4324950022,-18163.184269999852,3677.59,3677.59,3684.988521501109,3731.948262847478
2015-12-18,3754.96,3767.91,1.0,425.0,818.5034950021654,1596676.5034950022,0.0,3755.89,3755.89,3680.408348872739,3723.4124490142244
2015-12-29,3723.05,3761.87,-1.0,0.0,1582323.6053700023,1582323.6053700023,-15150.827124999836,3727.63,3727.63,3748.7920910201574,3734.4943921075132
2015-12-30,3762.91,3765.18,1.0,420.0,1111.1942700024229,1581533.3942700024,0.0,3761.87,3761.87,3749.9809918365063,3734.946881494166
2015-12-31,3760.9,3731.0,0.0,420.0,1111.1942700024229,1568131.1942700024,0.0,3765.18,3765.18,3751.3627198513695,3735.4466024612047
2016-01-04,3725.86,3469.07,-1.0,0.0,1565189.9636700025,1565189.9636700025,1564078.7694,3731.0,3757.059712418304,3749.511563501245,3735.373104899863
2016-07-07,3206.55,3209.95,1.0,487.0,2819.318745002616,1564409.1687450027,0.0,3216.8,3197.5813664466505,3147.053016625999,3209.2705592300044
2016-07-11,3199.04,3203.33,-1.0,0.0,1559972.8325050026,1559972.8325050026,-5217.131164999912,3192.28,3198.429291920794,3156.3626583685937,3209.000768339328
2016-07-13,3274.02,3282.87,1.0,476.0,760.0957450026181,1559193.6157450026,0.0,3273.18,3229.5057450914856,3170.8640151806558,3209.9693996621286
2016-08-01,3196.43,3176.81,-1.0,0.0,1521500.0254050025,1521500.0254050025,-38472.80710000009,3203.93,3220.050554343483,3219.532483727486,3216.8455566866805
2016-08-09,3232.6,3256.98,1.0,470.0,1418.3644050026778,1520740.3644050027,0.0,3234.18,3214.1699529034495,3212.2198846144647,3215.287086115988
2016-09-13,3265.34,3260.33,-1.0,0.0,1535360.8095050028,1535360.8095050028,13860.78410000028,3262.6,3302.020796838187,3309.571502996553,3251.2390478277025
2016-10-12,3299.14,3300.01,1.0,465.0,493.65945500298403,1534593.7594550028,0.0,3306.56,3282.0114607252453,3275.289848800241,3253.190943511147
2016-12-13,3394.21,3405.04,-1.0,0.0,1578012.155630003,1578012.155630003,42651.34612500016,3409.18,3454.527964979101,3464.200551826583,3340.855233566702
2016-12-30,3302.6,3310.08,0.0,0.0,1578012.155630003,1578012.155630003,0.0,3297.76,3307.0631741513644,3365.141676313061,3339.021509890868
2017-01-03,3313.95,3342.23,0.0,0.0,1578012.155630003,1578012.155630003,0.0,3310.08,3312.454163527509,3322.0488774557507,3331.8104501335474
