,Open,Close,sign,hold,balance,netAsset,profit
2014-01-02,2323.43,2321.98,0.0,0.0,1000000.0,1000000.0,0.0
2014-04-11,2269.56,2270.67,1.0,440.0,894.296800000011,999500.6968,0.0
2014-04-16,2223.47,2232.53,-1.0,0.0,978731.9334,978731.9334,-21268.06660000002
2014-07-23,2191.39,2197.83,1.0,446.0,883.3134300000966,978243.25343,0.0
2014-08-26,2339.6,2324.09,-1.0,0.0,1043823.1826300002,1043823.1826300002,65091.24923000019
2014-09-02,2359.86,2386.46,1.0,442.0,243.5335700000869,1043301.6535700002,0.0
2014-09-17,2395.36,2401.33,-1.0,0.0,1058463.2790100002,1058463.2790100002,14640.096380000003
2014-09-22,2419.33,2378.92,1.0,437.0,687.4454050003551,1057934.6554050003,0.0
2014-09-23,2379.52,2399.46,-1.0,0.0,1040017.7602850004,1040017.7602850004,-18445.51872499974
2014-09-25,2453.42,2436.97,1.0,423.0,1702.2019550004043,1039498.8619550004,0.0
2014-10-17,2443.22,2441.73,-1.0,0.0,1034667.5209250004,1034667.5209250004,-5350.239360000007
2014-10-21,2453.41,2433.39,1.0,421.0,1265.4681200004416,1034151.0781200004,0.0
2014-10-22,2434.89,2418.64,-1.0,0.0,1025841.6137750004,1025841.6137750004,-8825.907149999985
2014-10-30,2450.36,2468.93,1.0,418.0,1079.0085350003792,1025329.4885350005,0.0
2014-11-20,2528.78,2537.1,-1.0,0.0,1057580.5335150003,1057580.5335150003,31738.91973999981
2014-11-24,2614.16,2649.26,1.0,404.0,931.8331950004213,1057052.4731950003,0.0
2014-12-31,3462.39,3533.71,0.0,404.0,931.8331950004213,1428550.6731950005,0.0
2015-01-05,3566.09,3641.54,0.0,404.0,931.8331950004213,1472113.9931950003,0.0
2015-01-15,3501.72,3604.12,-1.0,0.0,1414919.3657550004,1414919.3657550004,1413987.53256
2015-01-16,3616.25,3635.15,1.0,391.0,258.6388800004497,1414212.3888800004,0.0
2015-01-20,3336.79,3396.22,-1.0,0.0,1304291.1864350005,1304291.1864350005,-110628.17931999988
2015-01-22,3551.05,3567.61,1.0,367.0,404.2187600005418,1303639.5687600006,0.0
2015-01-30,3496.88,3434.39,-1.0,0.0,1283117.5012800007,1283117.5012800007,-21173.68515499984
2015-02-12,3435.36,3442.87,1.0,373.0,1087.526640000753,1282476.8066400008,0.0
2015-03-06,3501.18,3478.52,-1.0,0.0,1306374.6965700006,1306374.6965700006,23257.195289999945
2015-03-10,3523.64,3520.61,1.0,370.0,1976.0231700006407,1305722.8231700007,0.0
2015-05-06,4626.23,4553.33,-1.0,0.0,1712825.2706200005,1712825.2706200005,406450.57404999994
2015-05-12,4692.12,4747.42,1.0,364.0,4039.624780000653,1711971.3047800006,0.0
2015-05-18,4582.06,4575.14,-1.0,0.0,1671075.5298600008,1671075.5298600008,-41749.740759999724
2015-05-20,4751.57,4754.92,1.0,351.0,2440.5593250009697,1670241.6293250008,0.0
2015-06-01,4862.76,5076.18,-1.0,0.0,1708415.904945001,1708415.904945001,37340.37508500018
2015-06-02,5091.27,5161.87,1.0,335.0,1987.6672200008761,1707563.117220001,0.0
2015-06-17,5072.31,5138.83,-1.0,0.0,1700361.905295001,1700361.905295001,-8053.999649999896
2015-07-24,4255.2,4176.28,1.0,399.0,1688.192895001499,1699512.9928950013,0.0
2015-07-27,4097.8,3818.73,-1.0,0.0,1635892.8817950017,1635892.8817950017,-64469.02349999943
2015-11-09,3796.38,3840.35,1.0,430.0,2633.260095001664,1635076.6600950018,0.0
2015-11-19,3725.62,3774.97,-1.0,0.0,1603848.8517950017,1603848.8517950017,-32044.030000000028
2015-11-20,3778.88,3774.38,1.0,424.0,802.6092350017279,1603047.7292350018,0.0
2015-11-30,3554.89,3566.41,-1.0,0.0,1507322.3325550016,1507322.3325550016,-96526.51924000005
2015-12-04,3719.73,3677.59,1.0,405.0,78.43723000166938,1506569.0872300016,0.0
2015-12-07,3681.58,3687.61,-1.0,0.0,1490372.8172800017,1490372.8172800017,-16949.515274999896
2015-12-18,3754.96,3767.91,1.0,396.0,2665.1752000018023,1489629.3352000017,0.0
2015-12-29,3723.05,3761.87,-1.0,0.0,1476255.811300002,1476255.811300002,-14117.005979999667
2015-12-31,3760.9,3731.0,0.0,0.0,1476255.811300002,1476255.811300002,0.0
2016-01-04,3725.86,3469.07,0.0,0.0,1476255.811300002,1476255.811300002,0.0
2016-07-07,3206.55,3209.95,1.0,460.0,505.3048000021372,1475518.3048000021,0.0
2016-07-11,3199.04,3203.33,-1.0,0.0,1471327.925600002,1471327.925600002,-4927.885699999984
2016-07-13,3274.02,3282.87,1.0,449.0,557.9281100020744,1470592.908110002,0.0
2016-08-01,3196.43,3176.81,-1.0,0.0,1435037.399575002,1435037.399575002,-36290.52602500003
2016-08-09,3232.6,3256.98,1.0,443.0,2279.5786750020925,1434321.3786750021,0.0
2016-09-13,3265.34,3260.33,-1.0,0.0,1448101.9258650022,1448101.9258650022,13064.526290000184
2016-10-12,3299.14,3300.01,1.0,438.0,2356.0942050025333,1447379.4142050024,0.0
2016-12-13,3394.21,3405.04,-1.0,0.0,1488276.7422150027,1488276.7422150027,40174.816350000445
2016-12-30,3302.6,3310.08,0.0,0.0,1488276.7422150027,1488276.7422150027,0.0
2017-01-03,3313.95,3342.23,0.0,0.0,1488276.7422150027,1488276.7422150027,0.0
2017-01-24,3363.14,3364.45,1.0,442.0,1025.6082750028,1487533.4882750027,0.0
2017-04-19,3452.99,3445.88,-1.0,0.0,1526484.0774850028,1526484.0774850028,38207.335270000156
2017-05-24,3409.72,3424.17,1.0,447.0,1577.1650650030933,1525722.005065003,0.0
2017-08-14,3651.38,3694.68,-1.0,0.0,1632927.9416350033,1632927.9416350033,106443.8641500005
2017-08-18,3707.19,3724.67,1.0,440.0,948.7598350034095,1632112.3598350035,0.0
2017-11-30,4034.01,4006.1,-1.0,0.0,1775025.6776350036,1775025.6776350036,142097.73600000027
2017-12-22,4064.91,4054.6,1.0,436.0,1838.767255003564,1774139.5272550036,0.0
