longEMA,netAsset
120,5390874.1146850465
121,5070725.818095043
122,4858274.692155043
123,4930437.999035048
124,4908858.128560041
125,5006833.488265041
126,5001553.650750037
127,4997953.896550038
128,4287120.390340037
129,4255306.138710037
130,4770685.889110044
131,4895048.655075048
132,4902869.1172600435
133,4877322.044335034
134,4927019.666165035
135,4834031.534865039
136,4907900.371090043
137,5017936.788460044
138,4769303.577525042
139,4652483.335260041
140,4581398.648590042
141,4622953.526850043
142,4553328.667700041
143,4573535.122850041
144,5041847.5773450425
145,5192038.638460044
146,5126345.395450046
147,4981592.173645046
148,4996939.188855044
149,4974402.4103050465
150,4965658.040885043
151,4975759.569950045
152,5130742.750300033
153,5179584.696915037
154,5333737.453050037
155,4942037.149060046
156,5078904.813995035
157,5101321.438290041
158,5081736.502665037
159,5052430.178250042
160,5024466.209060042
161,5150594.28624004
162,5248063.637550037
163,5281253.855190034
164,5329722.370595038
165,5349690.104020044
166,5329644.684510035
167,5689121.651990042
168,5817939.817105039
169,5720586.294260038
170,5632824.442945046
171,5135830.57320003
172,5545713.999175031
173,5572988.741990037
174,5739172.754390032
175,5800221.918465025
176,5822578.081965025
177,5708333.081230024
178,5740636.034370029
179,5213999.678155032
180,5108063.387565031
181,5305763.67904003
182,5269377.436470037
183,5323328.443345037
184,5129184.974925039
185,5226387.363525035
186,5392089.708650037
187,5708660.918040037
188,5873061.316410035
189,5391375.35987504
190,5597251.62484504
191,5861976.098565036
192,5942373.71735503
193,5735639.116625042
194,5720767.527945041
195,5693450.06161504
196,5618950.874845026
197,5740744.393675031
198,5674077.704170029
199,5390972.948255029
200,5529100.378085036
201,5546722.545530032
202,5399059.036650031
203,5397108.522750034
204,5377445.015225029
205,5416672.499860031
206,5537315.883600036
207,5318198.23816003
208,5081775.478145028
209,5081775.478145028
210,5065471.245075028
211,5239846.784495025
212,5325824.235455031
213,5438620.386700032
214,5269640.391480036
215,5413437.071925035
216,5246930.819470032
217,5356146.745920036
218,5514352.511005033
219,5353250.177025039
220,5121870.888285036
221,5208302.222980034
222,5167575.450830033
223,5167575.450830033
224,5152906.697510032
225,5214107.100875034
226,5070773.190370035
227,5125842.695860034
228,5249456.212110036
229,5249456.212110036
230,5330576.727500032
231,5401982.911575036
232,5398979.71734503
233,5074340.589870028
234,5060188.695335039
235,5036843.505270039
236,5203667.43168004
237,5203667.43168004
238,5235505.2464850405
239,4875869.519775034
240,5026744.33587003
