shortEMA,mediumEMA,netAsset
1,20,4333198.260015034
1,21,4792180.212235036
1,22,4447217.942155032
1,23,4815620.093705037
1,24,4691919.633395033
1,25,4384339.846605026
1,26,4523932.851360036
1,27,4298079.038665029
1,28,4647088.501680036
1,29,4916417.114020051
1,30,4687663.500610038
1,31,4238531.979285037
1,32,4210273.062415034
1,33,4136497.487585034
1,34,3832768.155090035
1,35,3668858.906620025
1,36,3891197.7225050316
1,37,3752322.9409400295
1,38,3966232.205850028
1,39,4175557.249825029
1,40,4006072.7063450236
1,41,4058273.710775025
1,42,4235371.539905034
1,43,4702341.483075036
1,44,4524661.858900029
1,45,4193033.2431050297
1,46,4668021.697165031
1,47,4856782.396225026
1,48,5153538.916845031
1,49,4476480.02665502
1,50,4394935.846030021
1,51,4673503.245320021
1,52,5098580.907815035
1,53,4964938.311870034
1,54,5027375.830555025
1,55,5019818.131570029
1,56,5074894.706100034
1,57,5303600.456975031
1,58,4930419.866500034
1,59,4870370.62101503
1,60,4549039.866175027
1,61,4216137.2962350305
1,62,4281324.97525503
1,63,4295628.682245028
1,64,4219342.038120032
1,65,4552232.029330032
1,66,4512236.063585031
1,67,4573722.407650033
1,68,4705485.070235029
1,69,4910751.519570026
1,70,4665353.378850031
1,71,4483447.703975037
1,72,4767527.080215026
1,73,4723656.244040033
1,74,4997984.37677503
1,75,5005797.69186003
1,76,5154665.489070027
1,77,5299761.218200035
1,78,5638305.752045037
1,79,5308472.483400027
1,80,4891067.707690033
1,81,5031832.019025033
1,82,5042594.738305028
1,83,4726073.890870023
1,84,4755932.181700032
1,85,4809865.852690025
1,86,4599123.5285800295
1,87,4370292.808730025
1,88,4022909.641985029
1,89,4054699.2763400185
1,90,4038337.0757400207
1,91,3856749.0208200174
1,92,3716720.7297200216
1,93,3829419.5982050267
1,94,3647591.1349400226
1,95,3786326.048595017
1,96,3911659.958770023
1,97,3911659.958770023
1,98,4037916.7768450193
1,99,4137600.465240031
1,100,4067659.0457350286
2,20,4639728.837850034
2,21,3883265.6611750284
2,22,4326455.556465037
2,23,4274072.939940033
2,24,4808840.399455032
2,25,4490517.89372003
2,26,5069434.1926050205
2,27,5203400.611090026
2,28,4906813.073630024
2,29,5141076.576610027
2,30,4561777.75231002
2,31,4565749.51745003
2,32,4603830.978720026
2,33,4883315.821305026
2,34,4895161.784690026
2,35,4569021.833855025
2,36,4579391.1626150245
2,37,5070320.856980028
2,38,4900733.889650018
2,39,4697032.20751002
2,40,4272933.76148503
2,41,4466350.934355026
2,42,4768196.169285026
2,43,5335342.582175016
2,44,5569724.371995027
2,45,5412769.553445018
