Date,Open,Close,sign,hold,balance,netAsset,profit
2006-01-04,926.56,941.43,1.0,1078.0,668.904160000151,999500.5841600001,0.0
2006-02-17,1020.06,1020.37,-1.0,0.0,1099743.7718200001,1099743.7718200001,99743.77182000014
2006-03-23,1047.35,1048.54,1.0,1049.0,524.2867450003978,1099194.4367450003,0.0
2006-05-26,1312.24,1331.02,-1.0,0.0,1376375.7768650004,1376375.7768650004,276632.00504500023
2006-06-29,1365.25,1395.12,1.0,1007.0,881.6234900003765,1375688.3734900004,0.0
2006-07-14,1333.74,1357.13,-1.0,0.0,1343286.2654000004,1343286.2654000004,-33089.51146499999
2006-08-17,1280.28,1271.63,1.0,1048.0,881.9586800006218,1342615.3986800006,0.0
2006-10-24,1408.58,1440.05,-1.0,0.0,1476335.7027600005,1476335.7027600005,133049.4373600001
2006-11-02,1480.55,1479.66,1.0,996.0,970.5888600004837,1475598.3888600005,0.0
2006-11-14,1475.44,1493.78,-1.0,0.0,1469774.0597400006,1469774.0597400006,-6561.643019999843
2006-11-16,1540.26,1533.29,1.0,953.0,1172.3458500006236,1469040.1258500007,0.0
2007-02-01,2350.6,2395.17,-1.0,0.0,2240174.0849500005,2240174.0849500005,770400.0252099999
2007-02-16,2692.67,2676.74,1.0,831.0,1446.5105650005862,2239055.2805650006,0.0
2007-03-01,2550.26,2473.54,-1.0,0.0,2119652.937535001,2119652.937535001,-120521.14741499955
2007-03-22,2720.46,2711.32,1.0,778.0,2076.7985950009897,2118594.678595001,0.0
2007-05-17,3716.44,3778.6,-1.0,0.0,2892021.423435001,2892021.423435001,772368.4859000002
2007-05-24,3953.89,3919.75,1.0,731.0,282.6866400013678,2890576.276640001,0.0
2007-05-31,3828.92,3927.95,-1.0,0.0,2797823.7363800015,2797823.7363800015,-94197.68705499964
2007-06-15,4043.11,4099.38,1.0,691.0,2637.831875001546,2796426.841875002,0.0
2007-06-26,3804.41,3928.21,-1.0,0.0,2630170.7182200016,2630170.7182200016,-167653.01815999998
2007-07-23,4009.06,4156.72,1.0,655.0,2923.4510700018145,2628857.7510700016,0.0
2007-08-20,4749.2,4885.43,-1.0,0.0,3112094.088070002,3112094.088070002,481923.36985000037
2007-08-22,4899.93,5051.69,1.0,634.0,3985.190260001924,3110540.810260002,0.0
2007-09-10,5226.74,5377.22,-1.0,0.0,3316081.4736800017,3316081.4736800017,203987.38560999976
2007-10-12,5777.9,5737.22,1.0,573.0,3689.405330002308,3314426.105330002,0.0
2007-10-19,5651.03,5614.06,-1.0,0.0,3240110.575235002,3240110.575235002,-75970.89844499948
2007-12-05,4829.95,4965.95,1.0,670.0,2426.0419850023463,3238492.5419850023,0.0
2008-01-18,5358.18,5414.47,-1.0,0.0,3590611.6516850027,3590611.6516850027,350501.0764500005
2008-02-19,4926.84,5020.75,1.0,728.0,2078.7619250030257,3588818.281925003,0.0
2008-02-26,4637.6,4515.53,-1.0,0.0,3376563.4755250034,3376563.4755250034,-214048.17615999933
2008-03-04,4813.4,4671.15,1.0,701.0,682.97882500384,3374876.3788250037,0.0
2008-03-11,4393.28,4441.18,-1.0,0.0,3078832.414185004,3078832.414185004,-297731.06133999955
