DEA2,DEA1,netAsset
-100,-100,612001.0993900003
-100,-99,612001.0993900003
-100,-98,595241.9297400005
-100,-97,595241.9297400005
-100,-96,595241.9297400005
-100,-95,595241.9297400005
-100,-94,595241.9297400005
-100,-93,635426.1679900003
-100,-92,635426.1679900003
-100,-91,635426.1679900003
-100,-90,635426.1679900003
-100,-89,635426.1679900003
-100,-88,635426.1679900003
-100,-87,635426.1679900003
-100,-86,635426.1679900003
-100,-85,635426.1679900003
-100,-84,635426.1679900003
-100,-83,635426.1679900003
-100,-82,661687.0175000008
-100,-81,661687.0175000008
-100,-80,661687.0175000008
-100,-79,661687.0175000008
-100,-78,661687.0175000008
-100,-77,661687.0175000008
-100,-76,661687.0175000008
-100,-75,651210.8476200005
-100,-74,651210.8476200005
-100,-73,651210.8476200005
-100,-72,651210.8476200005
-100,-71,651210.8476200005
-100,-70,719012.2664650006
-100,-69,719012.2664650006
-100,-68,764951.3202950008
-100,-67,764951.3202950008
-100,-66,764951.3202950008
-100,-65,764951.3202950008
-100,-64,764951.3202950008
-100,-63,797362.8630950007
-100,-62,776363.5904300008
-100,-61,776363.5904300008
-100,-60,776363.5904300008
-100,-59,735309.4984450012
-100,-58,688238.3684750017
-100,-57,688238.3684750017
-100,-56,688238.3684750017
-100,-55,688238.3684750017
-100,-54,688238.3684750017
-100,-53,679669.8571800014
-100,-52,679669.8571800014
-100,-51,684010.0289500012
-100,-50,690893.8687200017
-100,-49,690893.8687200017
-100,-48,680524.5221550018
-100,-47,661543.5579100023
-100,-46,793331.9888650026
-100,-45,793331.9888650026
-100,-44,793331.9888650026
-100,-43,764291.4327300028
-100,-42,689225.7882500025
-100,-41,730466.5565850033
-100,-40,697058.4767700032
-100,-39,680055.8217600031
-100,-38,680055.8217600031
-100,-37,640162.6329300031
-100,-36,640162.6329300031
-100,-35,613641.2007350033
-100,-34,613641.2007350033
-100,-33,613641.2007350033
-100,-32,613641.2007350033
-100,-31,729952.5036750034
-100,-30,693521.554905003
-100,-29,693521.554905003
-100,-28,704668.2202850037
-100,-27,731303.8397600041
-100,-26,734329.7168150039
-100,-25,716454.373830004
-100,-24,733620.6597300044
-100,-23,733620.6597300044
-100,-22,733620.6597300044
-100,-21,763684.7397750046
-100,-20,763684.7397750046
-100,-19,902623.8912950048
-100,-18,861927.0969600049
-100,-17,823231.2338500051
-100,-16,833103.210870004
-100,-15,813455.5634650047
-100,-14,788803.3819400051
-100,-13,723050.9967700054
-100,-12,716705.6884300052
-100,-11,763472.6586350051
-100,-10,759012.7683950054
-100,-9,733592.2804900054
-100,-8,768108.1378250053
-100,-7,921210.7793250066
-100,-6,905728.7164050069
-100,-5,905728.7164050069
-100,-4,865281.0973550073
-100,-3,850933.3020550072
-100,-2,807677.5032050067
-100,-1,834575.297645008
-100,0,834575.297645008
-100,1,834575.297645008
-100,2,816444.3173150072
-100,3,866692.2130950071
-100,4,843275.4698100073
-100,5,843275.4698100073
-100,6,843275.4698100073
-100,7,1056147.472520011
-100,8,1063880.5739550116
-100,9,1284602.3374450149
-100,10,1285128.3684000147
-100,11,1257282.380860014
-100,12,1241511.6940850152
-100,13,1266442.2143400146
-100,14,1424358.3195900149
-100,15,1383931.8270750146
-100,16,1392350.1915400159
-100,17,1359125.8054150129
-100,18,1359125.8054150129
-100,19,1423108.3378150135
-100,20,1423108.3378150135
-100,21,1423108.3378150135
-100,22,1423108.3378150135
-100,23,1423108.3378150135
-100,24,1394722.4903450157
-100,25,1394722.4903450157
-100,26,1932032.8350500178
-100,27,1932032.8350500178
-100,28,2089969.9067600186
-100,29,3131869.5069550294
-100,30,3131869.5069550294
-100,31,3068713.2626850335
-100,32,3190383.0862000324
-100,33,3190383.0862000324
-100,34,3868854.9739850406
-100,35,3868854.9739850406
-100,36,3868854.9739850406
-100,37,3868854.9739850406
-100,38,3868854.9739850406
-100,39,3868854.9739850406
-100,40,3827001.9310550406
-100,41,3827001.9310550406
-100,42,3827001.9310550406
-100,43,3754463.951125033
-100,44,3754463.951125033
-100,45,3754463.951125033
-100,46,3754463.951125033
-100,47,3754463.951125033
-100,48,3754463.951125033
-100,49,3754463.951125033
-100,50,3754463.951125033
-100,51,3645935.150845036
-100,52,3568087.6522550364
-100,53,3568087.6522550364
-100,54,3568087.6522550364
-100,55,3568087.6522550364
-100,56,3605018.9836200387
-100,57,3536392.0756200384
-100,58,3536392.0756200384
-100,59,3536392.0756200384
-100,60,3536392.0756200384
-100,61,3536392.0756200384
-100,62,3536392.0756200384
-100,63,3536392.0756200384
-100,64,3536392.0756200384
-100,65,3536392.0756200384
-100,66,3536392.0756200384
-100,67,4824894.088040054
-100,68,4824894.088040054
-100,69,4809984.32664506
-100,70,4809984.32664506
-100,71,5718098.809665063
-100,72,5718098.809665063
-100,73,5718098.809665063
-100,74,5718098.809665063
-100,75,5718098.809665063
-100,76,5718098.809665063
-100,77,5718098.809665063
-100,78,5718098.809665063
-100,79,5718098.809665063
-100,80,5393616.691935068
