,DEA2,DEA1,netAsset
0,-100,-100,865171.9088400002
1,-100,-99,865171.9088400002
2,-100,-98,865171.9088400002
3,-100,-97,865171.9088400002
4,-100,-96,865171.9088400002
5,-100,-95,865171.9088400002
6,-100,-94,865171.9088400002
7,-100,-93,865171.9088400002
8,-100,-92,865171.9088400002
9,-100,-91,865171.9088400002
10,-100,-90,865171.9088400002
11,-100,-89,865171.9088400002
12,-100,-88,865171.9088400002
13,-100,-87,865171.9088400002
14,-100,-86,865171.9088400002
15,-100,-85,865171.9088400002
16,-100,-84,865171.9088400002
17,-100,-83,865171.9088400002
18,-100,-82,900723.7204850003
19,-100,-81,900723.7204850003
20,-100,-80,900723.7204850003
21,-100,-79,900723.7204850003
22,-100,-78,900723.7204850003
23,-100,-77,900723.7204850003
24,-100,-76,900723.7204850003
25,-100,-75,885772.9369650006
26,-100,-74,885772.9369650006
27,-100,-73,885772.9369650006
28,-100,-72,885772.9369650006
29,-100,-71,885772.9369650006
30,-100,-70,978851.8519850007
31,-100,-69,978851.8519850007
32,-100,-68,1041228.614410001
33,-100,-67,1041228.614410001
34,-100,-66,1041228.614410001
35,-100,-65,1041228.614410001
36,-100,-64,1041228.614410001
37,-100,-63,1041228.614410001
38,-100,-62,1041228.614410001
39,-100,-61,1041228.614410001
40,-100,-60,1041228.614410001
41,-100,-59,985933.9850500007
42,-100,-58,947633.296005001
43,-100,-57,947633.296005001
44,-100,-56,947633.296005001
45,-100,-55,947633.296005001
46,-100,-54,947633.296005001
47,-100,-53,947633.296005001
48,-100,-52,947633.296005001
49,-100,-51,984851.115335001
50,-100,-50,995131.0431500013
51,-100,-49,995131.0431500013
52,-100,-48,995131.0431500013
53,-100,-47,966744.171085002
54,-100,-46,966744.171085002
55,-100,-45,966744.171085002
56,-100,-44,966744.171085002
57,-100,-43,966744.171085002
58,-100,-42,872293.526405002
59,-100,-41,872293.526405002
60,-100,-40,872293.526405002
61,-100,-39,850578.0960450023
62,-100,-38,850578.0960450023
63,-100,-37,850578.0960450023
64,-100,-36,850578.0960450023
65,-100,-35,816074.9320850023
66,-100,-34,816074.9320850023
67,-100,-33,816074.9320850023
68,-100,-32,816074.9320850023
69,-100,-31,970295.6854750029
70,-100,-30,923596.056785002
71,-100,-29,923596.056785002
72,-100,-28,938097.0957850021
73,-100,-27,938097.0957850021
74,-100,-26,938097.0957850021
75,-100,-25,914525.3190350023
76,-100,-24,851793.8727850021
77,-100,-23,851793.8727850021
78,-100,-22,851793.8727850021
79,-100,-21,886398.3560550022
80,-100,-20,886398.3560550022
81,-100,-19,886398.3560550022
82,-100,-18,871480.5794600022
83,-100,-17,871480.5794600022
84,-100,-16,881330.5413900029
85,-100,-15,853618.6260850021
86,-100,-14,853618.6260850021
87,-100,-13,811920.0707850024
88,-100,-12,805088.8308350026
89,-100,-11,768378.574580003
90,-100,-10,768378.574580003
91,-100,-9,768378.574580003
92,-100,-8,804624.9731050028
93,-100,-7,804624.9731050028
94,-100,-6,804624.9731050028
95,-100,-5,804624.9731050028
96,-100,-4,777531.0156200023
97,-100,-3,764073.4769150026
98,-100,-2,752115.6827600031
99,-100,-1,752115.6827600031
100,-100,0,752115.6827600031
101,-100,1,752115.6827600031
102,-100,2,735908.7943150033
103,-100,3,780412.3599750033
104,-100,4,759251.5925550031
105,-100,5,759251.5925550031
106,-100,6,759251.5925550031
107,-100,7,759251.5925550031
108,-100,8,765220.9905000032
109,-100,9,853107.8697150032
110,-100,10,853529.0092250033
111,-100,11,834896.129835003
112,-100,12,824687.7928550033
113,-100,13,840958.7247700033
114,-100,14,840958.7247700033
115,-100,15,835711.7552050034
116,-100,16,840711.5304000035
117,-100,17,840711.5304000035
118,-100,18,840711.5304000035
119,-100,19,880184.1068000047
120,-100,20,880184.1068000047
121,-100,21,880184.1068000047
122,-100,22,880184.1068000047
123,-100,23,880184.1068000047
124,-100,24,866527.4976400053
125,-100,25,866527.4976400053
126,-100,26,1122382.2129450059
127,-100,27,1122382.2129450059
128,-100,28,1122382.2129450059
129,-100,29,1105155.2027650054
130,-100,30,1105155.2027650054
131,-100,31,1082908.4402000052
132,-100,32,1125579.3196300047
133,-100,33,1125579.3196300047
134,-100,34,1364226.898225006
135,-100,35,1364226.898225006
136,-100,36,1364226.898225006
137,-100,37,1364226.898225006
138,-100,38,1364226.898225006
139,-100,39,1364226.898225006
140,-100,40,1349177.6161900058
141,-100,41,1349177.6161900058
142,-100,42,1349177.6161900058
143,-100,43,1324093.084400007
144,-100,44,1324093.084400007
145,-100,45,1324093.084400007
146,-100,46,1324093.084400007
147,-100,47,1324093.084400007
148,-100,48,1324093.084400007
149,-100,49,1324093.084400007
150,-100,50,1324093.084400007
151,-100,51,1324093.084400007
152,-100,52,1324093.084400007
153,-100,53,1324093.084400007
154,-100,54,1324093.084400007
155,-100,55,1324093.084400007
156,-100,56,1324093.084400007
157,-100,57,1324093.084400007
158,-100,58,1324093.084400007
159,-100,59,1324093.084400007
160,-100,60,1324093.084400007
161,-100,61,1324093.084400007
162,-100,62,1324093.084400007
163,-100,63,1324093.084400007
164,-100,64,1324093.084400007
165,-100,65,1324093.084400007
166,-100,66,1324093.084400007
167,-100,67,1324093.084400007
168,-100,68,1324093.084400007
169,-100,69,1321287.5178700073
170,-100,70,1321287.5178700073
171,-100,71,1321287.5178700073
172,-100,72,1321287.5178700073
173,-100,73,1321287.5178700073
174,-100,74,1321287.5178700073
175,-100,75,1321287.5178700073
176,-100,76,1321287.5178700073
177,-100,77,1321287.5178700073
178,-100,78,1321287.5178700073
179,-100,79,1321287.5178700073
180,-100,80,1321287.5178700073
181,-100,81,1321287.5178700073
182,-100,82,1321287.5178700073
183,-100,83,1321287.5178700073
184,-100,84,1321287.5178700073
185,-100,85,1321287.5178700073
186,-100,86,1321287.5178700073
187,-100,87,1321287.5178700073
188,-100,88,1321287.5178700073
189,-100,89,1321287.5178700073
190,-100,90,1321287.5178700073
191,-100,91,1321287.5178700073
192,-100,92,1321287.5178700073
193,-100,93,1321287.5178700073
194,-100,94,1321287.5178700073
195,-100,95,1321287.5178700073
196,-100,96,1321287.5178700073
197,-100,97,1321287.5178700073
198,-100,98,1321287.5178700073
199,-100,99,1321287.5178700073
200,-100,100,1321287.5178700073
201,-99,-100,865171.9088400002
202,-99,-99,865171.9088400002
203,-99,-98,865171.9088400002
204,-99,-97,865171.9088400002
205,-99,-96,865171.9088400002
206,-99,-95,865171.9088400002
207,-99,-94,865171.9088400002
208,-99,-93,865171.9088400002
209,-99,-92,865171.9088400002
210,-99,-91,865171.9088400002
211,-99,-90,865171.9088400002
212,-99,-89,865171.9088400002
213,-99,-88,865171.9088400002
214,-99,-87,865171.9088400002
215,-99,-86,865171.9088400002
216,-99,-85,865171.9088400002
217,-99,-84,865171.9088400002
218,-99,-83,865171.9088400002
219,-99,-82,900723.7204850003
220,-99,-81,900723.7204850003
221,-99,-80,900723.7204850003
222,-99,-79,900723.7204850003
223,-99,-78,900723.7204850003
224,-99,-77,900723.7204850003
225,-99,-76,900723.7204850003
226,-99,-75,885772.9369650006
227,-99,-74,885772.9369650006
228,-99,-73,885772.9369650006
229,-99,-72,885772.9369650006
230,-99,-71,885772.9369650006
231,-99,-70,978851.8519850007
232,-99,-69,978851.8519850007
233,-99,-68,1041228.614410001
234,-99,-67,1041228.614410001
235,-99,-66,1041228.614410001
236,-99,-65,1041228.614410001
237,-99,-64,1041228.614410001
238,-99,-63,1041228.614410001
239,-99,-62,1041228.614410001
240,-99,-61,1041228.614410001
241,-99,-60,1041228.614410001
242,-99,-59,985933.9850500007
243,-99,-58,947633.296005001
244,-99,-57,947633.296005001
245,-99,-56,947633.296005001
246,-99,-55,947633.296005001
247,-99,-54,947633.296005001
248,-99,-53,947633.296005001
