Date,Open,Close
2005-01-04,994.76,982.79
2005-01-05,981.57,992.56
2005-01-06,993.33,983.17
2005-01-07,983.04,983.95
2005-01-10,983.76,993.87
2005-01-11,994.18,997.13
2005-01-12,996.65,996.74
2005-01-13,996.07,996.87
2005-01-14,996.61,988.3
2005-01-17,979.11,967.45
2005-01-18,967.37,974.68
2005-01-19,974.33,967.21
2005-01-20,963.21,956.24
2005-01-21,954.46,982.6
2005-01-24,1001.85,998.13
2005-01-25,995.63,997.77
2005-01-26,995.78,989.92
2005-01-27,987.34,974.63
2005-01-28,974.63,969.2
2005-01-31,965.78,954.87
2005-02-01,953.33,955.95
2005-02-02,956.7,1006.91
2005-02-03,1005.56,993.21
2005-02-04,992.25,1016.85
2005-02-16,1023.32,1023.58
2005-02-17,1024.43,1020.6
2005-02-18,1020.12,1006.05
2005-02-21,1006.69,1025.63
2005-02-22,1026.83,1046.74
2005-02-23,1046.81,1043.93
2005-02-24,1042.25,1045.46
2005-02-25,1046.27,1046.76
2005-02-28,1046.2,1039.98
2005-03-01,1039.35,1035.93
2005-03-02,1036.36,1021.32
2005-03-03,1019.87,1027.71
2005-03-04,1027.92,1023.66
2005-03-07,1024.48,1029.87
2005-03-08,1033.78,1048.98
2005-03-09,1051.26,1046.54
2005-03-10,1046.68,1022.41
2005-03-11,1021.08,1027.42
2005-03-14,1027.17,1031.02
2005-03-15,1030.85,1013.52
2005-03-16,1011.85,1003.06
2005-03-17,1001.96,992.86
2005-03-18,991.88,978.66
2005-03-21,977.29,981.89
2005-03-22,981.7,964.02
2005-03-23,962.81,959.01
2005-03-24,957.43,964.8
2005-03-25,964.24,962.95
2005-03-28,961.65,960.69
2005-03-29,960.41,955.19
2005-03-30,952.71,937.03
2005-03-31,934.84,942.2
2005-04-01,941.43,978.14
2005-04-04,968.49,962.16
2005-04-05,960.54,955.59
2005-04-06,955.59,973.66
2005-04-07,975.97,984.73
2005-04-08,984.66,1003.45
2005-04-11,1003.88,995.42
2005-04-12,993.71,978.7
2005-04-13,987.95,1000.9
2005-04-14,1004.64,986.97
2005-04-15,982.61,974.08
2005-04-18,970.91,963.77
2005-04-19,962.92,965.89
2005-04-20,964.15,950.87
2005-04-21,948.86,943.98
2005-04-22,942.91,939.1
2005-04-25,935.99,930.07
2005-04-26,928.43,937.08
2005-04-27,938.57,926.6
2005-04-28,923.53,942.07
2005-04-29,940.81,932.4
2005-05-09,934.65,909.17
2005-05-10,905.54,913.08
2005-05-11,911.84,901.85
2005-05-12,899.97,885.82
2005-05-13,883.51,887.54
2005-05-16,885.39,875.27
2005-05-17,873.08,881.46
2005-05-18,881.14,883.2
2005-05-19,882.84,884.17
2005-05-20,883.51,882.76
2005-05-23,880.28,863.34
2005-05-24,861.2,868.46
2005-05-25,867.66,868.45
2005-05-26,867.76,857.33
2005-05-27,855.59,849.51
2005-05-30,847.63,855.61
2005-05-31,856.56,855.95
2005-06-01,855.21,837.53
2005-06-02,835.47,818.38
2005-06-03,816.55,818.03
2005-06-06,816.73,839.0
2005-06-07,841.58,837.28
2005-06-08,848.54,905.77
2005-06-09,907.57,912.6
2005-06-10,911.94,894.56
2005-06-13,895.0,892.96
2005-06-14,895.39,883.54
2005-06-15,881.21,866.83
2005-06-16,866.66,879.24
2005-06-17,883.6,880.34
2005-06-20,881.62,906.26
2005-06-21,906.31,896.17
2005-06-22,894.77,900.65
2005-06-23,900.06,893.57
2005-06-24,892.06,898.3
2005-06-27,904.21,916.04
2005-06-28,913.48,903.72
2005-06-29,906.75,898.9
2005-06-30,897.1,878.69
2005-07-01,875.93,859.49
2005-07-04,855.32,855.93
2005-07-05,853.68,849.68
2005-07-06,850.25,842.56
2005-07-07,841.75,844.73
2005-07-08,842.62,829.49
2005-07-11,837.86,824.1
2005-07-12,821.91,851.82
2005-07-13,850.47,846.23
2005-07-14,844.94,849.59
2005-07-15,849.87,841.0
2005-07-18,839.22,832.99
2005-07-19,831.5,835.61
2005-07-20,835.3,842.64
2005-07-21,842.75,843.99
2005-07-22,847.54,859.69
2005-07-25,858.33,856.86
2005-07-26,856.19,876.48
2005-07-27,876.94,894.01
2005-07-28,893.88,890.89
2005-07-29,889.41,888.16
2005-08-01,887.72,891.61
2005-08-02,892.13,903.6
2005-08-03,905.18,909.57
2005-08-04,907.42,904.15
2005-08-05,904.04,923.8
2005-08-08,926.57,927.47
2005-08-09,926.97,933.09
2005-08-10,933.26,940.37
2005-08-11,940.78,953.99
2005-08-12,954.72,938.32
2005-08-15,937.71,954.5
2005-08-16,955.27,945.06
2005-08-17,943.41,953.01
2005-08-18,954.16,920.67
2005-08-19,918.09,923.04
2005-08-22,923.11,931.67
2005-08-23,931.81,923.41
2005-08-24,923.56,930.65
2005-08-25,930.97,930.12
2005-08-26,930.25,928.26
2005-08-29,928.34,917.37
2005-08-30,916.09,914.88
2005-08-31,915.12,927.92
2005-09-01,928.52,944.56
2005-09-02,945.98,947.87
2005-09-05,949.08,952.72
2005-09-06,953.41,936.61
2005-09-07,934.99,952.76
2005-09-08,954.27,955.28
2005-09-09,955.11,949.07
2005-09-12,949.78,949.51
2005-09-13,949.58,963.77
2005-09-14,964.97,970.19
2005-09-15,970.58,969.6
2005-09-16,969.62,967.49
2005-09-19,967.44,971.14
2005-09-20,971.38,961.92
2005-09-21,961.37,944.41
2005-09-22,942.73,923.27
2005-09-23,921.51,916.15
2005-09-26,915.84,918.48
2005-09-27,918.87,904.21
2005-09-28,903.33,903.72
2005-09-29,904.28,915.97
2005-09-30,916.59,917.39
2005-10-10,917.21,907.32
2005-10-11,906.63,919.72
2005-10-12,920.45,923.48
2005-10-13,923.43,916.5
2005-10-14,916.34,904.83
2005-10-17,903.27,897.62
2005-10-18,897.37,902.37
2005-10-19,902.04,898.74
2005-10-20,898.89,899.91
2005-10-21,899.65,904.41
2005-10-24,905.13,906.65
2005-10-25,905.97,894.27
2005-10-26,892.62,875.82
2005-10-27,873.47,875.85
2005-10-28,875.86,867.73
2005-10-31,866.62,876.28
