sellD,buyD,netAsset
20,10,996009.12556
20,11,877079.7743700001
20,12,877079.7743700001
20,13,874169.6594800001
20,14,826030.4526600007
20,15,779468.9610450014
20,16,722718.2805800012
20,17,786215.1332050016
20,18,735897.4433650023
20,19,582553.9795100018
20,20,564005.9595450019
20,21,532266.8427050019
20,22,597130.8725550023
20,23,531344.429335004
20,24,547432.0975350033
20,25,467124.54861500335
20,26,454964.17456000415
20,27,461657.351815004
20,28,437488.2774200054
20,29,550387.3468500066
20,30,600969.6506000067
20,31,474890.807350007
20,32,451339.13246000663
20,33,433934.6899800076
20,34,429178.1669200078
20,35,407010.3723850071
20,36,381932.86974000745
20,37,381232.9138250072
20,38,458607.22302000935
20,39,451181.06008500897
20,40,434202.6043000082
20,41,456065.2557000091
20,42,495153.94316500996
20,43,507345.3578400105
20,44,486549.6173850109
20,45,540547.8335050112
20,46,529455.7726250102
20,47,467037.1034500091
20,48,457352.2694450103
20,49,425702.8551050112
20,50,444941.049835011
20,51,478927.9459500133
20,52,487422.48710001295
20,53,501290.3944950129
20,54,499019.1964350129
20,55,504824.7263750139
20,56,516839.4410400147
20,57,483271.910395014
20,58,571439.1710650155
20,59,532309.1380900145
20,60,529726.9742050134
20,61,645634.1016000174
20,62,629992.648195018
20,63,606317.0003700166
20,64,613916.3806700172
20,65,582615.2625400168
20,66,608839.3138900164
20,67,605280.3621250185
20,68,598263.4427850185
20,69,591640.6286900177
20,70,694572.4694300182
20,71,716992.1994250199
20,72,725873.0891550201
20,73,839876.7677650228
20,74,834354.0847450217
20,75,864128.3921500235
20,76,856798.433490025
20,77,936466.837630025
20,78,942437.2736700267
20,79,865778.0847050238
20,80,887166.2102350241
20,81,889594.0482500284
20,82,856166.7304150269
20,83,868935.079850031
20,84,866395.3445100309
20,85,990424.6868850329
20,86,1011492.4330850347
20,87,968830.6599850353
20,88,975470.8575000351
20,89,913117.7333350342
20,90,906074.2579900338
21,10,996009.12556
21,11,868863.2446900001
21,12,868863.2446900001
21,13,865985.474975
21,14,818285.3192400006
21,15,769121.3487300011
21,16,713074.3576150007
21,17,776153.6994350015
21,18,726484.949200002
21,19,574831.6900250018
21,20,556664.7415000017
21,21,524933.8059150017
21,22,595565.5881900024
21,23,529892.6856900039
21,24,546411.7523800031
21,25,466012.73579000286
21,26,453810.84443500405
21,27,460669.3553150044
21,28,436342.2247800052
21,29,549751.150075006
21,30,599674.7902600064
21,31,474041.5877200065
21,32,450439.89038000605
21,33,433450.35451500776
21,34,427887.75207000755
21,35,405733.6292800064
21,36,381511.60222000733
21,37,380640.7573650071
21,38,457919.8354850091
21,39,450429.4363400091
21,40,433561.3637850085
21,41,455262.7216900097
21,42,493884.93622000935
21,43,506306.4568950099
21,44,485998.4761650107
21,45,540058.9746050107
21,46,528215.6675050112
21,47,466291.8346700094
21,48,455452.64238501
21,49,425324.281755011
21,50,443938.17231501074
21,51,477697.20882501296
21,52,486360.48275001283
21,53,500513.4445350129
21,54,498143.2787400131
21,55,503163.45458501315
21,56,515237.24405501416
21,57,482862.2449950142
21,58,569362.1446200153
21,59,530544.9605800139
21,60,528570.2356850144
21,61,644366.9436000156
21,62,629203.6069650167
21,63,605385.3097750159
21,64,612482.5752850174
21,65,581193.7883150165
21,66,607594.8659050161
21,67,603206.8944900174
21,68,597274.1849600186
21,69,590168.7564650173
21,70,692900.3384550182
21,71,714810.4744700191
21,72,724677.0637900189
21,73,838814.5850150224
21,74,833310.0523000219
21,75,862234.3887550236
21,76,855935.0689600246
21,77,934857.0718900247
21,78,939568.9150350236
21,79,864981.6060850224
21,80,884961.672295024
21,81,887899.8866600291
21,82,853769.5995950267
21,83,866875.1495700306
21,84,865742.9722150299
21,85,989502.8296550316
21,86,1008903.9251650353
21,87,966568.280230036
21,88,973533.903570035
21,89,910787.8546500341
21,90,903517.658065033
22,10,996009.12556
22,11,868863.2446900001
22,12,868863.2446900001
22,13,865985.474975
22,14,818285.3192400006
22,15,769121.3487300011
22,16,713074.3576150007
22,17,776153.6994350015
22,18,726484.949200002
22,19,574831.6900250018
22,20,556664.7415000017
22,21,524933.8059150017
22,22,610373.477925003
22,23,535983.9083250036
22,24,556227.9940950031
22,25,474812.2941200025
22,26,462244.27064500266
22,27,469114.06945000356
22,28,444380.109795004
22,29,559825.5684300058
22,30,610682.1872250068
22,31,482853.738690007
22,32,458470.15944500745
22,33,440783.99739000836
22,34,435464.37382500694
22,35,413143.91530500614
22,36,387790.42454500706
22,37,387019.32843500806
22,38,465872.5580550099
22,39,458584.64396001
22,40,440429.4477050083
22,41,463044.15756500856
22,42,502219.4986850095
22,43,515095.0065250103
22,44,494328.1115150105
22,45,548860.5156650103
22,46,536557.3467600107
22,47,474707.190965009
22,48,463956.92461001046
22,49,432400.64202501095
22,50,452554.27196001075
22,51,486342.59005001286
22,52,495631.37092001276
22,53,509605.11211001244
22,54,507317.57846501225
22,55,512617.45886001195
22,56,525180.4005300126
22,57,491535.1909700119
22,58,580167.4620850144
22,59,540983.5299200154
22,60,537670.6645800127
22,61,656225.756170016
22,62,640731.7013650168
22,63,616205.8465200159
22,64,623940.8729500193
22,65,591688.534030017
22,66,618266.4493500169
22,67,614006.2078700163
22,68,607963.3220250178
22,69,600863.348905017
22,70,706123.9369150182
22,71,728137.1250500183
22,72,736490.2168300177
22,73,853077.928770024
22,74,847727.564830023
22,75,877115.9508750226
22,76,870555.9643000239
22,77,952848.2737550258
22,78,956302.9618350249
22,79,879176.9432900242
22,80,901296.059180024
22,81,903789.2538550264
22,82,869628.2700900268
22,83,883183.4949250302
22,84,881123.25600503
22,85,1005598.7360300315
22,86,1027860.6281050339
22,87,984605.6494950341
22,88,990319.8020800347
22,89,927532.0766550311
22,90,920875.401000032
23,10,996009.12556
23,11,868863.2446900001
23,12,868863.2446900001
23,13,865985.474975
23,14,818285.3192400006
23,15,769121.3487300011
23,16,713074.3576150007
23,17,776153.6994350015
23,18,726484.949200002
23,19,574831.6900250018
23,20,556664.7415000017
23,21,524933.8059150017
23,22,610373.477925003
23,23,535983.9083250036
23,24,554229.044155003
23,25,472667.3048500025
23,26,460580.36469500244
23,27,480033.4789900042
23,28,455235.3701700038
23,29,572951.5068150064
23,30,625107.1257000065
23,31,493966.30012500763
23,32,469081.6519400069
23,33,451161.7450250076
23,34,445879.66223000706
23,35,423161.34262000635
23,36,397220.06465500634
23,37,396461.3207400079
23,38,476978.4131300097
23,39,469247.7251750099
23,40,450943.804490008
23,41,474289.2709900081
23,42,514634.7905500095
23,43,527192.0588600098
23,44,505829.43645501026
23,45,562028.0146000102
23,46,549229.6194950102
23,47,485755.8730400092
23,48,474975.42119001044
23,49,443034.2518650103
23,50,463298.7159000104
23,51,497889.2654000126
23,52,506407.01005501277
23,53,520796.40462501295
23,54,519266.6266150133
23,55,525164.7850400123
23,56,537200.9899700119
23,57,503243.75089001225
23,58,594235.7988650134
23,59,552549.0988600147
23,60,550304.0918350132
23,61,671172.6513100168
23,62,655591.8411800165
23,63,630074.2745850164
23,64,638678.3871750191
23,65,606055.6865500176
23,66,633545.7866400185
23,67,628747.6664650172
23,68,622584.5195500173
23,69,614430.520080016
23,70,722965.1587000174
23,71,744937.1064950196
23,72,754139.3202600197
23,73,873700.4595200235
23,74,867395.5532100227
23,75,898000.5019600224
23,76,890599.5171750236
23,77,975112.0421100261
23,78,979326.3793500252
23,79,900848.9067900234
23,80,921468.0441900238
23,81,925424.1483400265
23,82,890656.1206250271
23,83,903782.4733600315
23,84,902458.9741150299
23,85,1030272.6822900301
23,86,1052314.8223300357
23,87,1006939.4804750339
23,88,1014712.8097800341
23,89,950420.3347750315
23,90,942504.55304003
24,10,996009.12556
24,11,868863.2446900001
24,12,868863.2446900001
24,13,865985.474975
24,14,818285.3192400006
24,15,769121.3487300011
24,16,713074.3576150007
24,17,776153.6994350015
24,18,726484.949200002
24,19,574831.6900250018
24,20,556664.7415000017
24,21,524933.8059150017
24,22,610373.477925003
24,23,451052.11307500233
24,24,466859.564105003
24,25,398074.3689150022
24,26,387797.026760003
24,27,404663.5324000032
24,28,383294.69258500374
24,29,482199.2360950062
24,30,526986.1971750064
24,31,415701.6702550049
24,32,395601.5605950053
24,33,380466.32764500583
24,34,376037.607360006
24,35,356701.96190500585
24,36,334449.83682500524
24,37,333466.1099750062
24,38,401149.1425050067
24,39,395119.9749700069
24,40,380380.02552500746
24,41,400014.5959050075
24,42,432793.76504000777
24,43,443985.1409350073
24,44,426306.77637000784
24,45,473545.2109600081
24,46,463419.9959600084
24,47,409390.687200008
24,48,400197.622865009
24,49,372772.4305800084
24,50,389487.9996850086
24,51,419407.8875650117
24,52,425870.3705350113
24,53,438519.17329501157
24,54,436572.0120900117
24,55,442073.25095501076
24,56,452782.4094600104
24,57,424250.86441001156
24,58,499559.09702001256
24,59,465521.7970600117
24,60,463382.3543400117
24,61,565613.9704150129
24,62,552594.3033900128
24,63,530868.8033800155
24,64,536903.4727750144
24,65,510545.45063001645
24,66,533380.409520016
24,67,530846.7440500176
24,68,524655.6834450171
24,69,518162.7457650168
24,70,607971.3805000167
24,71,627343.3105250167
24,72,635125.0224950176
24,73,735934.7761500196
24,74,731066.1231800208
24,75,756152.2038700228
24,76,750612.0075700231
24,77,819899.6338800216
24,78,824304.4779750203
24,79,758976.3472750218
24,80,776863.9683000211
24,81,778226.9953350243
24,82,749709.2167000229
24,83,760656.3649700269
24,84,759497.8482700269
24,85,866827.6033500285
24,86,885431.1056100286
24,87,847209.8335250289
24,88,853763.2142200295
24,89,798554.54111503
24,90,792722.4025100286
25,10,996009.12556
25,11,868863.2446900001
25,12,868863.2446900001
25,13,865985.474975
25,14,818285.3192400006
25,15,769121.3487300011
25,16,713074.3576150007
25,17,731754.0057550009
25,18,684304.2931250021
25,19,538937.4331450019
25,20,521878.63281500194
25,21,492270.0025500016
25,22,572255.9501350021
25,23,422556.0632900022
25,24,437447.9144700028
25,25,373359.7140600022
