Date,Open,Close,sign,hold,balance,netAsset,profit
2006-01-04,926.56,941.43,0.0,0.0,1000000.0,1000000.0,0.0
2006-02-22,1039.65,1037.89,1.0,961.0,396.7981749998871,999500.448175,0.0
2006-06-28,1361.79,1362.89,-1.0,0.0,1308422.64808,1308422.64808,308422.64807999996
2006-07-18,1370.9,1373.42,1.0,953.0,1301.7142299998086,1307769.41423,0.0
2007-02-26,2679.26,2707.68,-1.0,0.0,2553359.82684,2553359.82684,1244937.1787600003
2007-03-07,2532.98,2589.44,1.0,1007.0,1373.6114100003615,2552084.47141,0.0
2007-12-12,5108.58,5077.39,-1.0,0.0,5143141.50138,5143141.50138,2589781.67454
2007-12-20,4968.03,5037.19,1.0,1034.0,3630.009870001115,5140573.029870001,0.0
2008-05-07,3986.13,3821.32,-1.0,0.0,4123227.6006600014,4123227.6006600014,-1019913.9007199989
2008-05-22,3732.64,3711.44,1.0,1104.0,332.62338000163436,4121167.1833800017,0.0
2009-09-11,3152.81,3238.13,-1.0,0.0,3479294.5122600016,3479294.5122600016,-643933.0883999998
2009-09-25,3057.11,3058.53,1.0,1137.0,1622.4752250015736,3477556.545225002,0.0
2011-02-14,3123.25,3219.14,-1.0,0.0,3550982.157600002,3550982.157600002,71687.64534000028
2011-03-17,3216.29,3197.1,1.0,1103.0,1640.503665002063,3549208.373665002,0.0
2012-08-13,2394.5,2351.93,-1.0,0.0,2641453.4369150023,2641453.4369150023,-909528.7206849996
2012-08-20,2294.9,2301.79,1.0,1150.0,998.8694150024094,2640133.8694150024,0.0
2012-12-12,2257.73,2267.77,-1.0,0.0,2596090.1746650026,2596090.1746650026,-45363.26224999968
2013-02-26,2587.38,2567.6,1.0,1002.0,2239.1372850025073,2594793.8972850027,0.0
2014-09-10,2435.59,2432.43,-1.0,0.0,2441480.086695003,2441480.086695003,-154610.08796999976
2014-09-19,2409.31,2425.21,1.0,1012.0,2039.2558350032195,2440260.975835003,0.0
2014-11-05,2516.87,2503.45,-1.0,0.0,2547838.1596150035,2547838.1596150035,106358.07292000065
2014-11-24,2614.16,2649.26,1.0,974.0,373.2236950038932,2546565.0636950037,0.0
2015-05-27,5216.17,5181.43,-1.0,0.0,5078382.528905004,5078382.528905004,2530544.3692900008
2015-06-24,4811.59,4880.13,1.0,1054.0,4430.96097500436,5075846.820975005,0.0
2018-09-26,3388.56,3417.24,-1.0,0.0,3574187.4298550044,3574187.4298550044,-1504195.0990499998
2018-10-15,3173.85,3126.45,1.0,1125.0,1820.8892300045118,3572402.1392300045,0.0
2019-07-30,3861.57,3870.32,-1.0,0.0,4343915.006105005,4343915.006105005,769727.5762500004
2019-08-07,3654.63,3621.43,1.0,1188.0,43.71588500496,4341744.155885005,0.0
2019-08-22,3793.86,3793.51,-1.0,0.0,4504895.843045005,4504895.843045005,160980.83693999983
2019-09-20,3933.46,3935.65,1.0,1144.0,2767.663925005123,4502645.903925005,0.0
2020-02-19,4049.59,4051.31,-1.0,0.0,4633182.258445005,4633182.258445005,128286.41540000029
2020-03-03,4125.14,4091.36,1.0,1122.0,2460.974905004725,4630868.054905005,0.0
2020-10-15,4810.78,4798.74,-1.0,0.0,5397457.287325005,5397457.287325005,764275.0288800001
2020-10-28,4703.0,4737.27,1.0,1147.0,419.1168250050396,5394760.116825005,0.0
2020-11-10,4995.41,4953.88,-1.0,0.0,5727289.519190005,5727289.519190005,329832.231865
2020-11-20,4928.22,4943.29,1.0,1161.0,2765.26748000551,5724428.687480005,0.0
2021-12-31,4937.46,4940.37,0.0,1161.0,2765.26748000551,5738534.837480006,0.0
