sellJ,buyJ,netAsset
30,10,840643.5796800089
30,11,814997.6845100094
30,12,972265.5842150112
30,13,788345.0711200114
30,14,723054.5987050084
30,15,739039.7693500115
30,16,781420.9021050131
30,17,847957.9256750132
30,18,875781.2151800143
30,19,920640.5756050145
30,20,833290.8286200137
30,21,894734.1307800155
30,22,893995.8152250155
30,23,916462.0669800165
30,24,828089.9740950154
30,25,774155.6043100149
30,26,845959.7611250144
30,27,850637.8417600156
30,28,864927.371930017
30,29,924439.6850900193
30,30,924439.6850900193
30,31,924439.6850900193
30,32,949367.3888350201
30,33,1056173.9644600211
30,34,1072298.8397100216
30,35,1059142.8992300231
30,36,1043648.5224300205
30,37,973261.11499002
30,38,994087.1288350197
30,39,1011187.2076650194
30,40,1003456.9797150211
30,41,1001430.452780021
30,42,1022981.4655500223
30,43,1081896.2948850223
30,44,1111560.2957900236
30,45,1064520.9857200226
30,46,1087532.7209200223
30,47,1182050.008555027
30,48,1199063.6364850262
30,49,1271114.4129750268
30,50,1231324.0526700257
30,51,1222661.6439650268
30,52,1094690.1714550226
30,53,1078011.0232700233
30,54,1102276.979935024
30,55,1084559.9373900245
30,56,1061794.6831750262
30,57,1065271.078395026
30,58,1038765.4856350265
30,59,1106706.6793750278
30,60,1093782.8991950285
30,61,1077215.0390300262
30,62,1138102.9230900286
30,63,1128019.24310003
30,64,1182168.1100800317
30,65,1147093.255965031
30,66,1260780.0181600344
30,67,1363351.6875000354
30,68,1334245.2393700355
30,69,1359821.1542450367
30,70,1419999.4649000377
30,71,1438812.6808400403
30,72,1293702.5650900363
30,73,1303010.0054000376
30,74,1384302.313120039
30,75,1389330.653775039
30,76,1395590.3352150419
30,77,1466366.5107700431
30,78,1406275.298670047
30,79,1314191.181760045
30,80,1293405.9920800421
30,81,1503415.1916250417
30,82,1488879.3357900458
30,83,1537798.4257450516
30,84,1624944.862135051
30,85,1560208.6058100571
30,86,1564100.5023000576
30,87,1544413.0646950523
30,88,1611703.9478800616
30,89,1550414.2182800584
30,90,1514893.8599400602
31,10,840643.5796800089
31,11,814997.6845100094
31,12,972265.5842150112
31,13,788345.0711200114
31,14,723054.5987050084
31,15,739039.7693500115
31,16,781420.9021050131
31,17,847957.9256750132
31,18,875781.2151800143
31,19,920640.5756050145
31,20,839078.1308250149
31,21,901270.0183900166
31,22,901017.6931150166
31,23,923018.2362600163
31,24,834086.0024550158
31,25,780607.2587550152
31,26,852315.6759750149
31,27,856255.6203300155
31,28,871405.2853050173
31,29,930890.2947450182
31,30,930890.2947450182
31,31,930890.2947450182
31,32,956746.2110600208
31,33,1063846.6804150203
31,34,1079984.4194400222
31,35,1066920.067720022
31,36,1051502.0207950207
31,37,981181.3286550206
31,38,1001007.1127450207
31,39,1018513.7620700207
31,40,987579.8811350222
31,41,985047.2935550212
31,42,1006435.2197850232
31,43,1064211.3004450216
31,44,1092774.5842200238
31,45,1053467.9464350243
31,46,1076073.6059650248
31,47,1169871.0087300262
31,48,1186750.3005200247
31,49,1257546.7911350268
31,50,1218393.7532450268
31,51,1210234.9814500266
31,52,1082956.9841700227
31,53,1066770.7813600223
31,54,1090919.8526400244
31,55,1072889.0874550273
31,56,1050591.833145027
31,57,1054317.3611200282
31,58,1028054.8903900278
31,59,1098610.2042650266
31,60,1086789.637635027
31,61,1070685.9906400277
31,62,1130058.7237650284
31,63,1120575.643465027
