Date,Open,Close,sign,hold,balance,netAsset,profit
2006-01-04,926.56,941.43,0.0,0.0,1000000.0,1000000.0,0.0
2006-02-22,1039.65,1037.89,1.0,961.0,396.7981749998871,999500.448175,0.0
2006-06-28,1361.79,1362.89,-1.0,0.0,1308422.64808,1308422.64808,308422.64807999996
2006-07-18,1370.9,1373.42,1.0,953.0,1301.7142299998086,1307769.41423,0.0
2007-02-26,2679.26,2707.68,-1.0,0.0,2553359.82684,2553359.82684,1244937.1787600003
2007-03-07,2532.98,2589.44,1.0,1007.0,1373.6114100003615,2552084.47141,0.0
2007-06-15,4043.11,4099.38,-1.0,0.0,4070749.675525001,4070749.675525001,1517389.8486850006
2007-06-27,3946.88,4040.48,1.0,1030.0,3430.632325001061,4068717.032325001,0.0
2007-12-12,5108.58,5077.39,-1.0,0.0,5262637.113625002,5262637.113625002,1191887.4381000013
2007-12-20,4968.03,5037.19,1.0,1058.0,3833.285755002871,5260009.025755002,0.0
2008-01-02,5349.76,5385.1,-1.0,0.0,5661049.3427150035,5661049.3427150035,398412.22909000143
2008-01-24,5034.53,5027.21,1.0,1123.0,4445.26412000414,5658222.454120004,0.0
2008-05-07,3986.13,3821.32,-1.0,0.0,4478631.042125004,4478631.042125004,-1182418.3005899992
2008-05-22,3732.64,3711.44,1.0,1199.0,957.964445005171,4476393.324445005,0.0
2009-05-08,2751.5,2789.22,-1.0,0.0,3298356.9401950054,3298356.9401950054,-1180274.101929999
2009-05-26,2757.31,2719.76,1.0,1195.0,1723.997470005881,3296709.4474700056,0.0
2009-09-11,3152.81,3238.13,-1.0,0.0,3767448.143495006,3767448.143495006,469091.20330000063
2009-09-25,3057.11,3058.53,1.0,1231.0,2264.08229000587,3765566.492290006,0.0
2009-10-16,3250.1,3241.71,-1.0,0.0,4001136.745740006,4001136.745740006,233688.6022450002
2009-11-03,3402.53,3435.43,1.0,1175.0,1165.0093650058843,3999137.7593650063,0.0
2010-02-23,3225.39,3198.63,-1.0,0.0,3789103.3427400063,3789103.3427400063,-212033.40299999993
2010-03-17,3214.22,3273.92,1.0,1178.0,859.0071600070223,3787210.1671600067,0.0
2010-09-09,2986.87,2926.46,-1.0,0.0,3517632.600730007,3517632.600730007,-271470.74200999923
2010-09-27,2869.93,2905.03,1.0,1225.0,210.51860500732437,3515874.7686050073,0.0
2010-10-15,3204.72,3327.68,-1.0,0.0,3924029.627605007,3924029.627605007,406397.026875
2010-11-19,3168.17,3178.85,1.0,1237.0,3043.8244600072503,3922070.1144600073,0.0
2012-01-13,2438.41,2394.33,-1.0,0.0,3017848.837875007,3017848.837875007,-906180.7897299998
2012-03-09,2644.1,2664.3,1.0,1140.0,2067.7008750075474,3016341.7008750075,0.0
2012-04-17,2572.36,2541.88,-1.0,0.0,2933091.855675008,2933091.855675008,-84756.98219999904
2012-05-16,2610.16,2574.65,1.0,1123.0,416.5708350087516,2931626.2508350085,0.0
2012-08-09,2388.43,2411.7,-1.0,0.0,2681282.3573900084,2681282.3573900084,-251809.49828499975
2012-08-20,2294.9,2301.79,1.0,1167.0,1794.9832400083542,2679943.2832400086,0.0
2012-10-12,2311.28,2304.53,-1.0,0.0,2697710.111360009,2697710.111360009,16427.753970000427
2012-10-31,2241.43,2254.82,1.0,1202.0,2164.151930009015,2696363.011930009,0.0
2012-12-12,2257.73,2267.77,-1.0,0.0,2714598.716200009,2714598.716200009,16888.60484000016
2013-02-26,2587.38,2567.6,1.0,1048.0,1668.6890800087713,2713242.929080009,0.0
2013-03-26,2601.96,2575.05,-1.0,0.0,2727159.342040009,2727159.342040009,12560.625839999877
2013-04-09,2477.29,2489.43,1.0,1100.0,777.8325400091708,2725796.832540009,0.0
2013-11-22,2415.29,2397.96,-1.0,0.0,2656268.423040009,2656268.423040009,-70890.91899999976
2013-12-19,2366.2,2332.41,1.0,1122.0,64.58484000945464,2654940.9848400094,0.0
2014-07-07,2178.55,2176.29,-1.0,0.0,2443175.51829001,2443175.51829001,-213092.9047499993
2014-07-15,2170.09,2174.98,1.0,1125.0,603.5926650101319,2441954.84266501,0.0
2014-07-29,2326.04,2331.37,-1.0,0.0,2616090.19516501,2616090.19516501,172914.67687500035
2014-09-01,2340.92,2355.32,1.0,1116.0,2317.2418050100096,2614783.96180501,0.0
2014-09-10,2435.59,2432.43,-1.0,0.0,2719076.6225850102,2719076.6225850102,102986.42742000008
