sellJ,buyJ,netAsset
30,10,862797.8426200083
30,11,836369.6245300081
30,12,915782.5513050103
30,13,894213.8649750104
30,14,794759.2873400103
30,15,782813.8585450106
30,16,840839.9021450104
30,17,911734.5264900116
30,18,941823.1872350144
30,19,970650.4630350136
30,20,840299.3038650132
30,21,901593.5255350146
30,22,901212.6525750147
30,23,923501.3853300137
30,24,897209.9086350132
30,25,867430.091700014
30,26,963272.1780400156
30,27,968158.3402050164
30,28,1005235.7370850189
30,29,1073960.8069500164
30,30,1073960.8069500164
30,31,1073960.8069500164
30,32,1103502.7991300188
30,33,1226798.5010450203
30,34,1225742.8194500196
30,35,1211200.87468502
30,36,1191905.5608650206
30,37,1073636.5526100188
30,38,1108702.3688500184
30,39,1153907.9573950167
30,40,1115242.7081050188
30,41,1174214.9550600196
30,42,1200213.3997250206
30,43,1268506.8470100216
30,44,1328785.576505024
30,45,1272266.5178200214
30,46,1212716.404345022
30,47,1320269.2199300246
30,48,1320269.2199300246
30,49,1306406.3287350235
30,50,1278214.1391500281
30,51,1295206.7871650264
30,52,1139023.000565023
30,53,1106756.209385022
30,54,1139081.4371500218
30,55,1133065.8190350255
30,56,1115985.120935026
30,57,1084325.100065025
30,58,1090543.377945025
30,59,1061865.0351450238
30,60,1087974.448615025
30,61,1108679.7110750263
30,62,1110428.0584750269
30,63,1197279.7461250266
30,64,1160191.7562000263
30,65,1177088.660710025
30,66,1334841.352465031
30,67,1338404.691360032
30,68,1309525.7772150312
30,69,1205426.6105000325
30,70,1281747.371230031
30,71,1296787.9355450335
30,72,1262244.5753650358
30,73,1280707.8594800346
30,74,1360919.3630600388
30,75,1360919.3630600388
30,76,1368793.6222100356
30,77,1373397.9029850387
30,78,1344823.2639100386
30,79,1249889.2397150374
30,80,1231962.9264750376
30,81,1415843.2550400365
30,82,1404234.1903400377
30,83,1462935.4248300397
30,84,1574484.284565042
30,85,1523025.2687700437
30,86,1523025.2687700437
30,87,1513901.628060045
30,88,1616255.8695950483
30,89,1521038.7022900486
30,90,1553874.9652450513
31,10,862797.8426200083
31,11,836369.6245300081
31,12,915782.5513050103
31,13,894213.8649750104
31,14,794759.2873400103
31,15,782813.8585450106
31,16,840839.9021450104
31,17,911734.5264900116
31,18,941823.1872350144
31,19,970650.4630350136
31,20,846415.7926850119
31,21,908788.5623050136
31,22,908405.6634250138
31,23,930125.3061450141
31,24,904005.1396100138
31,25,873974.9339500142
31,26,970516.3760450169
31,27,975551.2026700157
31,28,1012691.9325500194
31,29,1082605.3382850161
31,30,1082605.3382850161
31,31,1082605.3382850161
31,32,1111639.2059650186
31,33,1235556.6582050186
31,34,1235053.7467300189
31,35,1219293.8968500192
31,36,1201122.349055021
31,37,1082303.144230019
31,38,1117355.249850018
31,39,1162353.5299150192
31,40,1124686.6162600173
31,41,1183971.8260950202
31,42,1209634.2375650208
31,43,1278800.6306250226
31,44,1339570.1234350235
31,45,1290375.2116900242
31,46,1230770.9552650237
31,47,1339352.666935026
31,48,1339352.666935026
31,49,1325894.3949900258
31,50,1296923.7898800273
31,51,1313946.1505300268
31,52,1155669.8825800226
31,53,1122028.6080350196
31,54,1155977.0129150222
31,55,1149284.000615025
31,56,1132002.680410025
31,57,1099357.0126150267
31,58,1106007.889910027
31,59,1080756.0684550223
31,60,1107416.2270800266
31,61,1127628.3276100268
31,62,1130877.656960027
31,63,1217943.9988650277
31,64,1181240.713045026
31,65,1198973.902150028
31,66,1358495.0001850314
31,67,1362631.5773950305
31,68,1333035.8865050303
31,69,1226966.308280031
31,70,1304496.5500800323
31,71,1319380.1691750344
31,72,1283825.3682100344
31,73,1303756.0937000366
31,74,1385752.067830037
31,75,1385752.067830037
31,76,1392892.7226000375
31,77,1397337.180125037
31,78,1369217.1207250392
31,79,1272315.6409050387
31,80,1253958.636785037
31,81,1441759.8539400352
31,82,1429544.2021900371
31,83,1488935.6639050418
31,84,1602657.5836000438
31,85,1549093.1864850419
31,86,1549093.1864850419
31,87,1541579.2198650443
31,88,1645388.391955047
31,89,1548309.0392850477
31,90,1580899.7583850515
32,10,892267.956955009
32,11,864306.7624050085
32,12,944974.5621450095
32,13,923516.8803700111
32,14,821501.7928450109
32,15,809005.48213501
32,16,857646.3157300117
32,17,929586.1097750127
32,18,928175.4505750127
32,19,956920.0523850152
32,20,833936.7802850117
32,21,895940.2936000136
32,22,895563.4724800137
32,23,917744.1406400134
32,24,891412.1883800135
32,25,861197.7381600138
32,26,956204.5773200137
32,27,961024.1517500158
32,28,998125.6881450205
32,29,1066817.0542000174
32,30,1066817.0542000174
32,31,1066817.0542000174
32,32,1095619.9248100182
32,33,1218486.713740018
32,34,1217869.2286950184
32,35,1201607.322775018
32,36,1184448.4359850218
32,37,1067075.0467850207
32,38,1101144.7518950214
32,39,1146031.3223700225
32,40,1108722.654465021
32,41,1167369.9889550237
32,42,1191942.88901502
32,43,1260983.7465000215
32,44,1320371.1877500233
32,45,1272331.628630021
32,46,1213104.4777150212
32,47,1319428.0963200226
32,48,1319428.0963200226
32,49,1307698.971705022
32,50,1278292.9047950236
32,51,1294931.690250025
32,52,1139189.5450750238
32,53,1106568.4829350216
32,54,1139440.7635050246
32,55,1133196.581525022
32,56,1116115.8834250225
32,57,1084317.8947650238
32,58,1090536.1726450238
32,59,1064937.1490950226
32,60,1091933.1275300249
32,61,1112174.6912750239
32,62,1114078.6608800231
32,63,1200348.5710200255
32,64,1165223.8500650278
32,65,1182367.7608300252
32,66,1338354.1135350335
32,67,1342715.6482300297
32,68,1313769.4519450308
32,69,1210540.035020029
32,70,1285874.25687503
32,71,1301180.1576200332
32,72,1266364.1251650346
32,73,1285870.957310031
32,74,1365035.1074300336
32,75,1365035.1074300336
32,76,1373402.3759500335
32,77,1377506.4336600364
32,78,1349833.8656550373
32,79,1253303.0991600377
32,80,1235383.9708450378
32,81,1420819.4591300364
32,82,1410070.2936450385
32,83,1469378.95500004
32,84,1580484.3509300402
32,85,1527601.0072700453
32,86,1527601.0072700453
32,87,1518746.8959250445
32,88,1622405.4166250434
32,89,1526244.1573850485
32,90,1559378.4755500457
33,10,892267.956955009
33,11,864306.7624050085
33,12,944974.5621450095
33,13,923516.8803700111
33,14,821501.7928450109
33,15,809005.48213501
33,16,857646.3157300117
33,17,929586.1097750127
33,18,928175.4505750127
33,19,956920.0523850152
33,20,833936.7802850117
33,21,895940.2936000136
33,22,895563.4724800137
33,23,917744.1406400134
33,24,891412.1883800135
33,25,861197.7381600138
33,26,956204.5773200137
33,27,961024.1517500158
33,28,998125.6881450205
33,29,1066817.0542000174
33,30,1066817.0542000174
33,31,1066817.0542000174
33,32,1095619.9248100182
33,33,1218486.713740018
33,34,1217869.2286950184
33,35,1201607.322775018
33,36,1184448.4359850218
33,37,1067075.0467850207
33,38,1101144.7518950214
33,39,1146031.3223700225
33,40,1108722.654465021
33,41,1167369.9889550237
33,42,1191942.88901502
33,43,1260983.7465000215
33,44,1320371.1877500233
33,45,1272331.628630021
33,46,1213104.4777150212
33,47,1319428.0963200226
33,48,1319428.0963200226
33,49,1307698.971705022
33,50,1278292.9047950236
33,51,1294931.690250025
33,52,1139189.5450750238
33,53,1106568.4829350216
33,54,1139440.7635050246
33,55,1133196.581525022
33,56,1116115.8834250225
33,57,1084317.8947650238
33,58,1090536.1726450238
33,59,1064937.1490950226
33,60,1091933.1275300249
33,61,1112174.6912750239
33,62,1114078.6608800231
33,63,1200348.5710200255
33,64,1165223.8500650278
33,65,1182367.7608300252
33,66,1338354.1135350335
33,67,1342715.6482300297
33,68,1313769.4519450308
33,69,1210540.035020029
33,70,1285874.25687503
33,71,1301180.1576200332
33,72,1266364.1251650346
33,73,1285870.957310031
33,74,1365035.1074300336
33,75,1365035.1074300336
