,Open,Close,sign,hold,balance,netAsset,profit
2014-01-02,2323.43,2321.98,1.0,430.0,425.5625500001479,999500.46255,0.0
2014-12-31,3462.39,3533.71,0.0,430.0,425.5625500001479,1519920.8625500002,0.0
2015-01-05,3566.09,3641.54,0.0,430.0,425.5625500001479,1566287.76255,0.0
2015-12-31,3760.9,3731.0,0.0,430.0,425.5625500001479,1604755.5625500001,0.0
2016-01-04,3725.86,3469.07,0.0,430.0,425.5625500001479,1492125.6625500002,0.0
2016-12-30,3302.6,3310.08,0.0,430.0,425.5625500001479,1423759.96255,0.0
2017-01-03,3313.95,3342.23,0.0,430.0,425.5625500001479,1437584.46255,0.0
2017-01-12,3332.69,3317.62,-1.0,0.0,1432765.7342,1432765.7342,1432340.17165
2017-01-19,3330.95,3329.29,1.0,429.0,3073.6954250002746,1432051.245425,0.0
2017-02-07,3371.77,3365.68,-1.0,0.0,1448839.7807600005,1448839.7807600005,16074.046560000395
2017-02-10,3398.32,3413.49,1.0,426.0,431.6186000003945,1448115.9386000005,0.0
2017-02-20,3421.64,3471.39,-1.0,0.0,1457321.4492800003,1457321.4492800003,8481.668519999832
2017-03-09,3442.9,3426.94,1.0,423.0,246.57593000051565,1456593.2759300005,0.0
2017-04-17,3475.74,3479.94,-1.0,0.0,1469749.4769200005,1469749.4769200005,12428.027640000219
2017-04-28,3439.57,3439.75,1.0,427.0,318.73872500052676,1469015.1287250007,0.0
2017-06-05,3480.17,3468.75,-1.0,0.0,1485608.3124300006,1485608.3124300006,15858.83551000012
2017-06-22,3583.56,3590.34,1.0,414.0,1272.6755100006703,1484866.5155100008,0.0
2017-07-05,3611.9,3659.68,-1.0,0.0,1495851.6122100009,1495851.6122100009,10243.299780000234
2017-07-14,3682.62,3703.09,1.0,405.0,3644.7816600010265,1495105.881660001,0.0
2017-07-18,3648.49,3667.18,-1.0,0.0,1480544.412435001,1480544.412435001,-15307.19977499987
2017-07-20,3725.14,3747.88,1.0,397.0,924.3921450013295,1479804.9721450012,0.0
2017-07-27,3700.86,3712.19,-1.0,0.0,1469431.1914350016,1469431.1914350016,-11113.220999999437
2017-08-01,3738.74,3770.38,1.0,392.0,3112.3183950018138,1468698.3983950017,0.0
2017-08-04,3724.72,3707.58,-1.0,0.0,1462472.513275002,1462472.513275002,-6958.678159999661
2017-08-17,3707.07,3721.28,1.0,394.0,1156.6404850019608,1461742.220485002,0.0
2017-09-01,3825.34,3830.54,-1.0,0.0,1507587.008505002,1507587.008505002,45114.49523
2017-09-21,3843.26,3837.82,1.0,392.0,275.80954500171356,1506833.7295450019,0.0
2017-10-24,3926.23,3959.4,-1.0,0.0,1538588.4284650018,1538588.4284650018,31001.419959999854
2017-12-07,4003.58,3971.06,1.0,384.0,445.0211050019134,1537819.741105002,0.0
2017-12-29,4022.88,4030.86,0.0,384.0,445.0211050019134,1548295.261105002,0.0
2018-01-02,4045.21,4087.4,0.0,384.0,445.0211050019134,1570006.621105002,0.0
2018-12-28,2994.8,3010.65,0.0,384.0,445.0211050019134,1156534.621105002,0.0
2019-01-02,3017.07,2969.54,0.0,384.0,445.0211050019134,1140748.3811050018,0.0
2019-12-31,4077.75,4096.58,0.0,384.0,445.0211050019134,1573531.741105002,0.0
2020-01-02,4121.35,4152.24,0.0,384.0,445.0211050019134,1594905.1811050018,0.0
2020-07-08,4692.86,4774.0,-1.0,0.0,1801602.2319850018,1801602.2319850018,1801157.21088
2020-12-31,5122.48,5211.29,0.0,0.0,1801602.2319850018,1801602.2319850018,0.0
2021-01-04,5212.93,5267.72,0.0,0.0,1801602.2319850018,1801602.2319850018,0.0
2021-12-31,4937.46,4940.37,0.0,0.0,1801602.2319850018,1801602.2319850018,0.0
