,Close,netAsset,closeFR,netAssetFR
2014-01-02,2321.98,998876.9625500002,-0.003454891138740781,-0.0011230374499998288
2014-01-03,2290.78,985460.9625500003,-0.016845276670257463,-0.014539037449999712
2014-01-06,2238.64,963040.7625500001,-0.03922267095273465,-0.0369592374499999
2014-01-07,2238.0,962765.5625500001,-0.03949734552774007,-0.03723443744999985
2014-01-08,2241.91,964446.8625500001,-0.03781925554606608,-0.035553137449999925
2014-01-09,2222.22,955980.16255,-0.046269790517718824,-0.044019837449999995
2014-01-10,2204.85,948511.0625500001,-0.053724630154976666,-0.051488937449999855
2014-01-13,2193.68,943707.96255,-0.05851855984686907,-0.05629203744999994
2014-01-14,2212.85,951951.0625500001,-0.05029119796740827,-0.04804893744999985
2014-01-15,2208.94,950269.7625500002,-0.05196928794908226,-0.049730237449999784
2014-01-16,2211.84,951516.7625500002,-0.05072466878108867,-0.04848323744999978
2014-01-17,2178.49,937176.2625500001,-0.0650377892130146,-0.0628237374499999
2014-01-20,2165.99,931801.2625500001,-0.07040252700609022,-0.0681987374499999
2014-01-21,2187.41,941011.8625500001,-0.0612095123238758,-0.05898813744999992
2014-01-22,2243.8,965259.5625500003,-0.037008107191752904,-0.03474043744999974
2014-01-23,2231.89,960138.2625500001,-0.04211962936099549,-0.0398617374499999
2014-01-24,2245.68,966067.96255,-0.03620125062767447,-0.033932037449999945
2014-01-27,2215.92,953271.1625500001,-0.04897361836542882,-0.04672883744999987
2014-01-28,2219.86,954965.3625500002,-0.04728265301305136,-0.045034637449999804
2014-01-29,2227.78,958370.9625500003,-0.043883555147358616,-0.04162903744999971
2014-01-30,2202.45,947479.06255,-0.054754659811247226,-0.05252093744999997
2014-02-07,2212.48,951791.9625500002,-0.05044999420608326,-0.04820803744999983
2014-02-10,2267.53,975463.4625500003,-0.026823688965378126,-0.02453653744999971
2014-02-11,2285.56,983216.3625500001,-0.019085591172645952,-0.016783637449999923
2014-02-12,2291.25,985663.0625500001,-0.016643562529237904,-0.014336937449999853
2014-02-13,2279.55,980632.0625500003,-0.021664957103556613,-0.019367937449999737
2014-02-14,2295.57,987520.6625500002,-0.014789509147950899,-0.01247933744999976
2014-02-17,2311.65,994435.0625500001,-0.007888310450938445,-0.005564937449999852
2014-02-18,2282.44,981874.7625500002,-0.02042462972579758,-0.018125237449999783
2014-02-19,2308.66,993149.3625500001,-0.009171555731042237,-0.006850637449999922
2014-02-20,2287.44,984024.7625500002,-0.018278734608567333,-0.015975237449999784
2014-02-21,2264.29,974070.2625500001,-0.02821422900134343,-0.0259297374499999
2014-02-24,2214.51,952664.8625500002,-0.04957876078848769,-0.04733513744999981
2014-02-25,2157.91,928326.8625500001,-0.07387029351553427,-0.07167313744999992
2014-02-26,2163.4,930687.5625500001,-0.07151410067681536,-0.06931243744999985
2014-02-27,2154.11,926692.8625500002,-0.07550117380462915,-0.07330713744999981
2014-02-28,2178.97,937382.66255,-0.06483178328176048,-0.06261733744999999
2014-03-03,2190.37,942284.6625500001,-0.059939142414475476,-0.057715337449999876
2014-03-04,2184.27,939661.6625500001,-0.06255713445749635,-0.060338337449999876
2014-03-05,2163.98,930936.9625500002,-0.07126517684321668,-0.06906303744999982
2014-03-06,2173.63,935086.4625500002,-0.06712359926696226,-0.06491353744999982
2014-03-07,2168.36,932820.3625500002,-0.06938537272052293,-0.0671796374499998
2014-03-10,2097.79,902475.2625500001,-0.09967253640511076,-0.0975247374499999
2014-03-11,2108.66,907149.3625500001,-0.09500736042025223,-0.09285063744999993
2014-03-12,2114.13,909501.4625500002,-0.09265975116200224,-0.09049853744999983
2014-03-13,2140.33,920767.4625500002,-0.08141526074771581,-0.07923253744999983
2014-03-14,2122.84,913246.7625500002,-0.08892160186778712,-0.08675323744999978
2014-03-17,2143.04,921932.7625500001,-0.08025218559417699,-0.0780672374499999
2014-03-18,2138.13,919821.4625500002,-0.08235945459929704,-0.08017853744999982
2014-03-19,2120.87,912399.6625500001,-0.08976708454397596,-0.08760033744999987
2014-03-20,2086.97,897822.66255,-0.1043162534387971,-0.10217733744999999
2014-03-21,2158.8,928709.5625500003,-0.07348832418466715,-0.07129043744999973
2014-03-24,2176.55,936342.0625500003,-0.06587039651849977,-0.06365793744999973
2014-03-25,2174.44,935434.7625500002,-0.06677596425797099,-0.06456523744999978
2014-03-26,2171.05,933977.0625500003,-0.06823088114745304,-0.06602293744999974
2014-03-27,2155.71,927380.8625500002,-0.0748144873671155,-0.0726191374499998
2014-03-28,2151.96,925768.3625500002,-0.0764239087050382,-0.0742316374499998
2014-03-31,2146.3,923334.5625500003,-0.07885306197774278,-0.07666543744999973
2014-04-01,2163.11,930562.8625500002,-0.0716385625936147,-0.06943713744999981
2014-04-02,2180.73,938139.4625500002,-0.06407642820049535,-0.06186053744999983
2014-04-03,2165.01,931379.8625500002,-0.07082312244906716,-0.0686201374499998
2014-04-04,2185.47,940177.66255,-0.06204211962936116,-0.05982233744999999
2014-04-08,2237.32,962473.1625500002,-0.039789187263683315,-0.03752683744999976
2014-04-09,2238.62,963032.1625500001,-0.039231254533203565,-0.036967837449999874
2014-04-10,2273.76,978142.3625500002,-0.024149903649309225,-0.021857637449999804
2014-04-11,2270.67,976813.6625500001,-0.025476066831757585,-0.023186337449999875
