,Open,Close,sign,hold,balance,netAsset,profit
2014-01-02,2323.43,2321.98,0.0,0.0,1000000.0,1000000.0,0.0
2014-01-14,2192.84,2212.85,1.0,455.0,1758.9288999999408,999501.1289,0.0
2014-07-07,2178.55,2176.29,-1.0,0.0,992503.5587750002,992503.5587750002,-7496.441224999842
2014-07-15,2170.09,2174.98,1.0,457.0,276.5632100000512,992007.6932100002,0.0
2014-07-29,2326.04,2331.37,-1.0,0.0,1062745.3430700002,1062745.3430700002,70241.78429500002
2014-09-01,2340.92,2355.32,1.0,453.0,1778.3646900001913,1062215.1246900002,0.0
2014-09-10,2435.59,2432.43,-1.0,0.0,1104548.9735550003,1104548.9735550003,41803.63048500009
2014-09-19,2409.31,2425.21,1.0,458.0,533.2615650002845,1103997.2415650003,0.0
2014-11-05,2516.87,2503.45,-1.0,0.0,1152683.3583350002,1152683.3583350002,48134.384779999964
2014-11-24,2614.16,2649.26,1.0,440.0,1877.8431350004394,1152108.2431350003,0.0
2014-12-31,3462.39,3533.71,0.0,440.0,1877.8431350004394,1556710.2431350003,0.0
2015-01-05,3566.09,3641.54,0.0,440.0,1877.8431350004394,1604155.4431350005,0.0
2015-05-27,5216.17,5181.43,-1.0,0.0,2295845.0857350007,2295845.0857350007,2293967.2426000005
2015-06-02,5091.27,5161.87,1.0,450.0,3628.0499850008637,2294699.549985001,0.0
2015-12-31,3760.9,3731.0,0.0,450.0,3628.0499850008637,1682578.0499850009,0.0
2016-01-04,3725.86,3469.07,0.0,450.0,3628.0499850008637,1564709.5499850009,0.0
2016-02-19,3047.94,3051.58,-1.0,0.0,1374515.263485001,1374515.263485001,1370887.2135
2016-05-12,3059.38,3090.14,1.0,449.0,166.81267500086688,1373828.432675001,0.0
2016-05-25,3079.75,3059.23,-1.0,0.0,1382283.158800001,1382283.158800001,7767.895315000089
2016-09-20,3264.67,3257.4,1.0,423.0,637.2710950011387,1381592.681095001,0.0
2016-10-18,3272.68,3321.33,-1.0,0.0,1384288.7392750012,1384288.7392750012,2005.580475000199
2016-12-08,3481.81,3470.14,1.0,397.0,1319.0299900013488,1383597.5999900014,0.0
2016-12-30,3302.6,3310.08,0.0,397.0,1319.0299900013488,1315420.7899900014,0.0
2017-01-03,3313.95,3342.23,0.0,397.0,1319.0299900013488,1328184.3399900014,0.0
2017-12-29,4022.88,4030.86,0.0,397.0,1319.0299900013488,1601570.4499900015,0.0
2018-01-02,4045.21,4087.4,0.0,397.0,1319.0299900013488,1624016.8299900014,0.0
2018-01-11,4197.11,4205.59,-1.0,0.0,1666738.5736550014,1666738.5736550014,1665419.543665
2018-01-19,4281.94,4285.4,1.0,389.0,231.0763250014279,1665905.7363250013,0.0
2018-01-22,4276.48,4336.6,-1.0,0.0,1662950.0209650013,1662950.0209650013,-3788.5526900000405
2018-02-05,4204.46,4274.15,1.0,395.0,1357.9401150015183,1662119.6401150015,0.0
2018-03-01,3994.87,4049.09,-1.0,0.0,1578542.6032900014,1578542.6032900014,-84407.41767499992
2018-03-07,4063.5,4036.65,1.0,388.0,1116.2842900014948,1577754.2842900015,0.0
2018-03-14,4076.06,4073.34,-1.0,0.0,1581836.8086500017,1581836.8086500017,3294.2053600002546
2018-03-16,4096.89,4056.42,1.0,385.0,3745.5073250015266,1581048.1573250017,0.0
2018-04-13,3920.74,3871.14,-1.0,0.0,1512475.6648750014,1512475.6648750014,-69361.14377500024
2018-04-19,3774.78,3811.84,1.0,400.0,1808.7088750014082,1511720.7088750014,0.0
2018-05-14,3886.87,3909.29,-1.0,0.0,1555779.3348750016,1555779.3348750016,43303.67000000016
2018-05-21,3925.54,3921.24,1.0,396.0,488.2379550016485,1555002.0779550017,0.0
2018-05-23,3898.27,3854.58,-1.0,0.0,1543431.3004950017,1543431.3004950017,-12348.034379999852
2018-05-29,3824.19,3804.01,1.0,403.0,1512.156210001791,1542660.7262100019,0.0
2018-06-08,3819.45,3779.62,-1.0,0.0,1539980.8870350018,1539980.8870350018,-3450.4134599999525
2018-06-13,3814.62,3788.34,1.0,403.0,1920.3811050020158,1539212.241105002,0.0
