,Open,Close,sign,hold,balance,netAsset,profit
2014-01-02,2323.43,2321.98,0.0,0.0,1000000.0,1000000.0,0.0
2014-01-14,2192.84,2212.85,1.0,455.0,1758.9288999999408,999501.1289,0.0
2014-07-07,2178.55,2176.29,-1.0,0.0,992503.5587750002,992503.5587750002,-7496.441224999842
2014-09-01,2340.92,2355.32,1.0,423.0,1799.2941950001987,992008.4541950002,0.0
2014-09-10,2435.59,2432.43,-1.0,0.0,1031538.7369100003,1031538.7369100003,39035.17813500017
2014-09-19,2409.31,2425.21,1.0,427.0,2248.9792250003666,1031024.3492250004,0.0
2014-11-05,2516.87,2503.45,-1.0,0.0,1076415.1174800005,1076415.1174800005,44876.380570000154
2014-12-31,3462.39,3533.71,0.0,0.0,1076415.1174800005,1076415.1174800005,0.0
2015-01-05,3566.09,3641.54,0.0,0.0,1076415.1174800005,1076415.1174800005,0.0
2015-01-16,3616.25,3635.15,1.0,297.0,1851.8543550004251,1075878.1043550004,0.0
2015-03-20,3852.49,3892.57,-1.0,0.0,1145469.2895900004,1145469.2895900004,69054.17210999993
2015-05-11,4582.09,4690.53,1.0,249.0,3958.4093850003555,1144898.8193850005,0.0
2015-05-27,5216.17,5181.43,-1.0,0.0,1302135.3262200004,1302135.3262200004,156666.03663
2015-06-24,4811.59,4880.13,1.0,270.0,2356.461570000509,1301485.7615700006,0.0
2015-12-31,3760.9,3731.0,0.0,270.0,2356.461570000509,1009726.4615700005,0.0
2016-01-04,3725.86,3469.07,0.0,270.0,2356.461570000509,939005.3615700005,0.0
2016-02-19,3047.94,3051.58,-1.0,0.0,824888.7896700006,824888.7896700006,822532.3281
2016-03-02,2933.92,3051.33,1.0,281.0,45.05391000059899,824476.5739100006,0.0
2016-03-10,3056.21,3013.15,-1.0,0.0,858410.6664050006,858410.6664050006,33521.876735000056
2016-03-31,3229.2,3218.09,1.0,265.0,2244.7974050006596,857982.7974050007,0.0
2016-04-08,3189.85,3185.73,-1.0,0.0,847132.3922800007,847132.3922800007,-11278.27412499988
2016-04-27,3181.93,3165.92,1.0,266.0,315.8155900007114,846709.1955900007,0.0
2016-05-25,3079.75,3059.23,-1.0,0.0,819119.7088400008,819119.7088400008,-28012.683439999935
2016-05-27,3059.73,3062.5,1.0,267.0,1763.324885000824,818711.2348850009,0.0
2016-06-07,3182.44,3177.05,-1.0,0.0,851049.9491450009,851049.9491450009,31930.2403050001
2016-06-16,3104.36,3094.67,1.0,274.0,30.011825000983663,850624.651825001,0.0
2016-07-04,3136.39,3204.7,-1.0,0.0,858971.186395001,858971.186395001,7921.237250000122
2016-07-22,3251.24,3225.16,1.0,264.0,214.66271500103176,858542.022715001,0.0
2016-08-12,3231.81,3294.23,-1.0,0.0,852985.9037950011,852985.9037950011,-5985.282599999919
2016-08-31,3310.57,3327.79,1.0,257.0,1744.0055500011658,852560.4955500012,0.0
2016-09-09,3339.37,3318.04,-1.0,0.0,859532.9865050012,859532.9865050012,6547.082710000104
2016-09-20,3264.67,3257.4,1.0,263.0,495.4724000012502,859103.6824000012,0.0
2016-10-18,3272.68,3321.33,-1.0,0.0,860779.9549800013,860779.9549800013,1246.968475000118
2016-12-08,3481.81,3470.14,1.0,247.0,342.88144500146154,860349.9514450014,0.0
2016-12-30,3302.6,3310.08,0.0,247.0,342.88144500146154,817932.6414450015,0.0
2017-01-03,3313.95,3342.23,0.0,247.0,342.88144500146154,825873.6914450015,0.0
2017-12-29,4022.88,4030.86,0.0,247.0,342.88144500146154,995965.3014450015,0.0
2018-01-02,4045.21,4087.4,0.0,247.0,342.88144500146154,1009930.6814450015,0.0
2018-01-11,4197.11,4205.59,-1.0,0.0,1036510.7083600014,1036510.7083600014,1036167.826915
2018-02-05,4204.46,4274.15,1.0,246.0,1696.3997800014913,1035993.5597800015,0.0
2018-03-01,3994.87,4049.09,-1.0,0.0,983943.0507700016,983943.0507700016,-52567.65758999984
2018-03-07,4063.5,4036.65,1.0,242.0,84.36727000167593,983451.3672700017,0.0
