Date,Open,Close,sign,hold,balance,netAsset,profit
2014/1/2,2323.43,2321.98,0,0,1000000,1000000,0
2014/4/11,2269.56,2270.67,1,440,894.2968,999500.6968,0
2014/4/16,2223.47,2232.53,-1,0,978731.9334,978731.9334,-21268.0666
2014/7/23,2191.39,2197.83,1,446,883.31343,978243.2534,0
2014/8/26,2339.6,2324.09,-1,0,1043823.183,1043823.183,65091.24923
2014/9/2,2359.86,2386.46,1,442,243.53357,1043301.654,0
2014/9/17,2395.36,2401.33,-1,0,1058463.279,1058463.279,14640.09638
2014/9/22,2419.33,2378.92,1,437,687.445405,1057934.655,0
2014/9/23,2379.52,2399.46,-1,0,1040017.76,1040017.76,-18445.51872
2014/9/25,2453.42,2436.97,1,423,1702.201955,1039498.862,0
2014/10/17,2443.22,2441.73,-1,0,1034667.521,1034667.521,-5350.23936
2014/10/21,2453.41,2433.39,1,421,1265.46812,1034151.078,0
2014/10/22,2434.89,2418.64,-1,0,1025841.614,1025841.614,-8825.90715
2014/10/30,2450.36,2468.93,1,418,1079.008535,1025329.489,0
2014/11/20,2528.78,2537.1,-1,0,1057580.534,1057580.534,31738.91974
2014/11/24,2614.16,2649.26,1,404,931.833195,1057052.473,0
2014/12/31,3462.39,3533.71,0,404,931.833195,1428550.673,0
2015/1/5,3566.09,3641.54,0,404,931.833195,1472113.993,0
2015/1/15,3501.72,3604.12,-1,0,1414919.366,1414919.366,1413987.533
2015/1/16,3616.25,3635.15,1,391,258.63888,1414212.389,0
2015/1/20,3336.79,3396.22,-1,0,1304291.186,1304291.186,-110628.1793
2015/1/22,3551.05,3567.61,1,367,404.21876,1303639.569,0
2015/1/30,3496.88,3434.39,-1,0,1283117.501,1283117.501,-21173.68515
2015/2/12,3435.36,3442.87,1,373,1087.52664,1282476.807,0
2015/3/6,3501.18,3478.52,-1,0,1306374.697,1306374.697,23257.19529
2015/3/10,3523.64,3520.61,1,370,1976.02317,1305722.823,0
2015/5/6,4626.23,4553.33,-1,0,1712825.271,1712825.271,406450.574
2015/5/12,4692.12,4747.42,1,364,4039.62478,1711971.305,0
2015/5/18,4582.06,4575.14,-1,0,1671075.53,1671075.53,-41749.74076
2015/5/20,4751.57,4754.92,1,351,2440.559325,1670241.629,0
2015/6/1,4862.76,5076.18,-1,0,1708415.905,1708415.905,37340.37509
2015/6/2,5091.27,5161.87,1,335,1987.66722,1707563.117,0
2015/6/17,5072.31,5138.83,-1,0,1700361.905,1700361.905,-8053.99965
2015/7/24,4255.2,4176.28,1,399,1688.192895,1699512.993,0
2015/7/27,4097.8,3818.73,-1,0,1635892.882,1635892.882,-64469.0235
2015/11/9,3796.38,3840.35,1,430,2633.260095,1635076.66,0
2015/11/19,3725.62,3774.97,-1,0,1603848.852,1603848.852,-32044.03
2015/11/20,3778.88,3774.38,1,424,802.609235,1603047.729,0
2015/11/30,3554.89,3566.41,-1,0,1507322.333,1507322.333,-96526.51924
2015/12/4,3719.73,3677.59,1,405,78.43723,1506569.087,0
2015/12/7,3681.58,3687.61,-1,0,1490372.817,1490372.817,-16949.51527
2015/12/18,3754.96,3767.91,1,396,2665.1752,1489629.335,0
2015/12/29,3723.05,3761.87,-1,0,1476255.811,1476255.811,-14117.00598
2015/12/31,3760.9,3731,0,0,1476255.811,1476255.811,0
2016/1/4,3725.86,3469.07,0,0,1476255.811,1476255.811,0
2016/7/7,3206.55,3209.95,1,460,505.3048,1475518.305,0
2016/7/11,3199.04,3203.33,-1,0,1471327.926,1471327.926,-4927.8857
2016/7/13,3274.02,3282.87,1,449,557.92811,1470592.908,0
2016/8/1,3196.43,3176.81,-1,0,1435037.4,1435037.4,-36290.52603
2016/8/9,3232.6,3256.98,1,443,2279.578675,1434321.379,0
2016/9/13,3265.34,3260.33,-1,0,1448101.926,1448101.926,13064.52629
2016/10/12,3299.14,3300.01,1,438,2356.094205,1447379.414,0
2016/12/13,3394.21,3405.04,-1,0,1488276.742,1488276.742,40174.81635
2016/12/30,3302.6,3310.08,0,0,1488276.742,1488276.742,0
2017/1/3,3313.95,3342.23,0,0,1488276.742,1488276.742,0
2017/1/24,3363.14,3364.45,1,442,1025.608275,1487533.488,0
2017/4/19,3452.99,3445.88,-1,0,1526484.077,1526484.077,38207.33527
2017/5/24,3409.72,3424.17,1,447,1577.165065,1525722.005,0
2017/8/14,3651.38,3694.68,-1,0,1632927.942,1632927.942,106443.8642
2017/8/18,3707.19,3724.67,1,440,948.759835,1632112.36,0
2017/11/30,4034.01,4006.1,-1,0,1775025.678,1775025.678,142097.736
2017/12/22,4064.91,4054.6,1,436,1838.767255,1774139.527,0
2017/12/28,3993,4018.9,-1,0,1741916.293,1741916.293,-33109.38438
2017/12/29,4022.88,4030.86,0,0,1741916.293,1741916.293,0
2018/1/2,4045.21,4087.4,0,0,1741916.293,1741916.293,0
2018/1/3,4091.46,4111.39,1,425,2176.358005,1741046.858,0
2018/2/7,4205.74,4050.5,-1,0,1788722.138,1788722.138,46805.845
2018/3/13,4124.33,4091.25,1,433,1994.33081,1787829.221,0
2018/3/19,4054.62,4074.25,-1,0,1756766.966,1756766.966,-31955.17267
2018/12/28,2994.8,3010.65,0,0,1756766.966,1756766.966,0
2019/1/2,3017.07,2969.54,0,0,1756766.966,1756766.966,0
2019/2/11,3239.81,3306.47,1,541,3153.386975,1755890.597,0
2019/4/29,3896.58,3900.33,-1,0,2110149.142,2110149.142,353382.1765
2019/6/14,3690.48,3654.88,1,571,1831.430045,2109095.51,0
2019/6/17,3654.44,3654.82,-1,0,2087473.327,2087473.327,-22675.81466
2019/6/20,3718.94,3828.52,1,561,104.824755,2086430.165,0
2019/7/19,3787.51,3807.96,-1,0,2123835.538,2123835.538,36362.21078
2019/7/25,3821.39,3851.07,1,555,1903.652475,2122775.102,0
2019/8/5,3724.41,3675.69,-1,0,2067917.679,2067917.679,-55917.8595
2019/8/21,3778.31,3781.76,1,547,148.740915,2066884.311,0
2019/9/27,3843.46,3852.65,-1,0,2101470.175,2101470.175,33552.49591
2019/10/14,3944.86,3953.24,1,532,1755.321845,2100420.842,0
2019/10/24,3877.92,3870.67,-1,0,2063777.235,2063777.235,-37692.93948
2019/10/29,3929.71,3910.23,1,524,3579.611105,2062747.651,0
2019/11/14,3905.93,3905.86,-1,0,2049263.577,2049263.577,-14513.65768
2019/11/20,3940.13,3907.86,1,519,3313.64371,2048241.114,0
2019/11/21,3894.54,3889.6,-1,0,2023569.271,2023569.271,-25694.30686
2019/12/10,3886.44,3900.38,1,520,1609.99618,2022558.796,0
2019/12/31,4077.75,4096.58,0,520,1609.99618,2131831.596,0
2020/1/2,4121.35,4152.24,0,520,1609.99618,2160774.796,0
2020/2/3,3639.91,3688.36,-1,0,1893416.82,1893416.82,1891806.823
2020/2/18,4069.83,4057.51,1,464,4071.49902,1892472.619,0
2020/3/2,3968.84,4069.67,-1,0,1844692.488,1844692.488,-48724.33144
2020/3/3,4125.14,4091.36,1,446,3960.14192,1843772.582,0
2020/3/12,3976.11,3950.91,-1,0,1776418.529,1776418.529,-68273.95875
2020/5/6,3867.26,3936.25,1,459,458.65322,1775530.993,0
2020/5/25,3828.32,3829.32,-1,0,1756778.934,1756778.934,-19639.59561
2020/6/2,3969.95,3983.57,1,442,1183.67483,1755901.575,0
2020/9/9,4634.25,4584.59,-1,0,2048498.006,2048498.006,291719.0718
2020/10/13,4812.9,4839.2,1,425,1992.76433,2047475.264,0
2020/10/28,4703,4737.27,-1,0,1999768.377,1999768.377,-48729.62875
2020/10/30,4776.47,4695.33,1,418,2205.6346,1998770.095,0
2020/11/2,4702.75,4720.83,-1,0,1966972.26,1966972.26,-32796.11698
2020/11/4,4781.45,4813.66,1,411,813.721875,1965989.672,0
2020/12/14,4903.63,4934.83,-1,0,2015197.956,2015197.956,48225.69606
2020/12/18,5014.32,4999.97,1,401,3450.26475,2014192.585,0
2020/12/31,5122.48,5211.29,0,401,3450.26475,2093177.555,0
2021/1/4,5212.93,5267.72,0,401,3450.26475,2115805.985,0
2021/2/26,5343.9,5336.76,-1,0,2145282.713,2145282.713,2141832.448
2021/4/7,5141.66,5103.74,1,417,138.45669,2144210.677,0
2021/4/8,5078.26,5112.21,-1,0,2116714.059,2116714.059,-28568.65332
2021/4/22,5114.28,5089.24,1,413,3460.32066,2115657.961,0
2021/4/27,5076.64,5090.52,-1,0,2099064.315,2099064.315,-17649.74498
2021/4/28,5073.97,5119.24,1,413,2466.929695,2098016.54,0
2021/5/7,5073.46,4996.05,-1,0,2096758.24,2096758.24,-2306.074295
2021/5/18,5190.93,5187.6,1,403,3767.47781,2095712.268,0
2021/6/16,5163.25,5080.49,-1,0,2083516.833,2083516.833,-13241.40727
2021/6/29,5248.52,5190.54,1,396,4063.705975,2082477.626,0
2021/7/5,5073.78,5085.79,-1,0,2012275.978,2012275.978,-71240.8554
2021/12/9,5000.69,5078.69,1,402,993.458845,2011270.839,0
2021/12/21,4876.51,4913.49,-1,0,1960370.3,1960370.3,-51905.6772
2021/12/31,4937.46,4940.37,0,0,1960370.3,1960370.3,0
