,Open,Close,sign,hold,balance,netAsset,profit
2014-01-02,2323.43,2321.98,0.0,0.0,1000000.0,1000000.0,0.0
2014-02-17,2308.79,2311.65,1.0,432.0,2104.0213600000134,999501.30136,0.0
2014-03-03,2173.91,2190.37,-1.0,0.0,940763.5767999999,940763.5767999999,-59236.42320000008
2014-04-08,2179.92,2237.32,1.0,431.0,748.2840399999404,940293.80404,0.0
2014-05-05,2152.59,2156.47,-1.0,0.0,928050.690895,928050.690895,-12712.885904999916
2014-06-16,2176.44,2191.86,1.0,426.0,423.6691750000464,927587.1091750001,0.0
2014-06-30,2152.31,2165.12,-1.0,0.0,916849.2871450001,916849.2871450001,-11201.40374999994
2014-07-03,2169.0,2180.19,1.0,422.0,1073.6281450000824,916391.6281450001,0.0
2014-10-27,2377.54,2368.83,-1.0,0.0,1003893.8472050001,1003893.8472050001,87044.56006000005
2014-11-05,2516.87,2503.45,1.0,398.0,1678.7300750002032,1003392.9900750002,0.0
2014-12-31,3462.39,3533.71,0.0,398.0,1678.7300750002032,1408095.3100750004,0.0
2015-01-05,3566.09,3641.54,0.0,398.0,1678.7300750002032,1451011.6500750002,0.0
2015-01-29,3474.91,3481.8,-1.0,0.0,1384001.402985,1384001.402985,1382322.6729099997
2015-03-05,3513.25,3496.34,1.0,393.0,2603.7993600000627,1383311.04936,0.0
2015-05-20,4751.57,4754.92,-1.0,0.0,1869037.125855,1869037.125855,485035.72286999994
2015-05-27,5216.17,5181.43,1.0,358.0,714.5714249999728,1868103.431425,0.0
2015-06-23,4641.42,4786.09,-1.0,0.0,1661512.117245,1661512.117245,-207525.0086099999
2017-01-03,3313.95,3342.23,0.0,0.0,1661512.117245,1661512.117245,0.0
2017-01-06,3366.85,3347.67,1.0,493.0,825.1387200001627,1660682.1887200002,0.0
2017-01-13,3317.96,3319.91,-1.0,0.0,1635761.5415800002,1635761.5415800002,-25750.575664999895
2017-01-19,3330.95,3329.29,1.0,490.0,2779.958830000367,1634945.4588300004,0.0
2017-03-06,3427.25,3446.48,-1.0,0.0,1681292.7825800003,1681292.7825800003,45531.241000000155
2017-03-08,3452.2,3448.73,1.0,486.0,2684.6979800004046,1680453.8979800004,0.0
2017-03-10,3423.98,3427.89,-1.0,0.0,1665906.9508400005,1665906.9508400005,-15385.83173999982
2017-03-15,3452.21,3463.64,1.0,482.0,1109.748230000725,1665074.9682300007,0.0
2017-03-21,3449.77,3466.35,-1.0,0.0,1663067.4936600006,1663067.4936600006,-2839.4571799999103
2017-03-22,3450.75,3450.05,1.0,481.0,2426.838285000762,1662237.5882850008,0.0
2017-03-31,3434.82,3456.05,-1.0,0.0,1653749.184075001,1653749.184075001,-9318.30958499969
2017-04-06,3507.99,3514.05,1.0,471.0,659.7624300012831,1652923.052430001,0.0
2017-04-19,3452.99,3445.88,-1.0,0.0,1626204.8732850011,1626204.8732850011,-27544.310789999785
2017-05-18,3387.67,3398.11,1.0,479.0,2699.5963200014085,1625393.5263200013,0.0
2017-05-19,3395.23,3403.85,-1.0,0.0,1628201.6087350014,1628201.6087350014,1996.7354500002693
2017-05-23,3405.03,3424.19,1.0,477.0,3190.199080001563,1627389.5090800016,0.0
2017-08-14,3651.38,3694.68,-1.0,0.0,1744027.6049500017,1744027.6049500017,115825.99621500028
2017-08-21,3731.84,3740.99,1.0,467.0,386.94031000183895,1743156.2203100019,0.0
2017-09-26,3810.33,3820.78,-1.0,0.0,1778921.3382550017,1778921.3382550017,34893.733305
2017-10-10,3883.0,3889.86,1.0,457.0,3503.072755001718,1778034.0727550017,0.0
2017-11-28,4034.21,4055.82,-1.0,0.0,1846215.2257700018,1846215.2257700018,67293.88751500007
2017-12-21,4023.08,4067.85,1.0,458.0,2723.300450002076,1845293.940450002,0.0
2017-12-28,3993.0,4018.9,-1.0,0.0,1830602.9034500022,1830602.9034500022,-15612.32231999957
2017-12-29,4022.88,4030.86,0.0,0.0,1830602.9034500022,1830602.9034500022,0.0
2018-01-02,4045.21,4087.4,0.0,0.0,1830602.9034500022,1830602.9034500022,0.0
2018-01-05,4133.34,4138.75,1.0,442.0,2753.1553100021556,1829689.4353100022,0.0
2018-02-09,3896.17,3840.65,-1.0,0.0,1723999.2417400023,1723999.2417400023,-106603.6617099999
2018-05-16,3909.82,3892.84,1.0,440.0,2818.281340002315,1723139.0813400024,0.0
2018-05-29,3824.19,3804.01,-1.0,0.0,1684620.5595400026,1684620.5595400026,-39378.68219999969
2019-01-02,3017.07,2969.54,0.0,0.0,1684620.5595400026,1684620.5595400026,0.0
2019-01-16,3126.13,3128.65,1.0,538.0,1921.6905700026546,1683779.6305700026,0.0
2019-04-30,3887.18,3913.21,-1.0,0.0,2092178.8791500027,2092178.8791500027,407558.3196100001
2019-06-17,3654.44,3654.82,1.0,572.0,794.029310002923,2091133.7093100029,0.0
2019-07-16,3819.25,3806.85,-1.0,0.0,2184312.723810003,2184312.723810003,92133.84466000041
2019-07-31,3856.75,3835.36,1.0,566.0,300.76356000313535,2183221.263560003,0.0
2019-08-07,3654.63,3621.43,-1.0,0.0,2067787.0832700033,2067787.0832700033,-116525.64053999982
2019-08-26,3756.36,3765.91,1.0,550.0,756.0842700034846,2066754.0842700035,0.0
2019-09-27,3843.46,3852.65,-1.0,0.0,2113602.1327700038,2113602.1327700038,45815.04950000043
2019-10-18,3935.42,3869.38,1.0,536.0,3162.3202100037597,2112547.440210004,0.0
2019-11-19,3904.1,3947.04,-1.0,0.0,2094713.6214100036,2094713.6214100036,-18888.51136000012
2019-12-13,3928.0,3968.22,1.0,533.0,42.8094100037124,2093666.8094100037,0.0
2019-12-31,4077.75,4096.58,0.0,533.0,42.8094100037124,2183519.9494100036,0.0
2020-01-02,4121.35,4152.24,0.0,533.0,42.8094100037124,2213186.729410004,0.0
2020-02-03,3639.91,3688.36,-1.0,0.0,1939144.8033950038,1939144.8033950038,1939101.993985
2020-02-21,4134.87,4149.49,1.0,468.0,3058.083815003978,1938177.243815004,0.0
2020-03-17,3739.78,3709.68,-1.0,0.0,1752400.015295004,1752400.015295004,-186744.78809999977
2020-05-12,3961.34,3960.24,1.0,442.0,612.2791550040711,1751524.559155004,0.0
2020-09-23,4639.66,4652.33,-1.0,0.0,2050316.6342950042,2050316.6342950042,297916.6190000002
2020-10-19,4823.49,4755.49,1.0,424.0,4134.294415004319,2049294.0544150043,0.0
2020-12-31,5122.48,5211.29,0.0,424.0,4134.294415004319,2213721.2544150045,0.0
2021-01-04,5212.93,5267.72,0.0,424.0,4134.294415004319,2237647.574415005,0.0
2021-03-11,5024.56,5128.22,-1.0,0.0,2133482.527695005,2133482.527695005,2129348.2332800003
2021-05-26,5326.12,5320.59,1.0,400.0,1969.303695004899,2132417.303695005,0.0
2021-07-13,5128.61,5142.1,-1.0,0.0,2052387.5816950048,2052387.5816950048,-81094.946
2021-10-22,4934.87,4959.73,1.0,415.0,3392.5461700048763,2051363.596170005,0.0
2021-11-08,4841.15,4848.18,-1.0,0.0,2011465.2575450048,2011465.2575450048,-40922.32415
2021-11-26,4886.95,4860.13,1.0,411.0,1924.539320005104,2010460.989320005,0.0
2021-11-29,4820.01,4851.42,-1.0,0.0,1981958.1372650054,1981958.1372650054,-29507.12027999945
2021-12-10,5046.27,5055.12,1.0,392.0,2831.2283450053073,1980969.0683450054,0.0
2021-12-31,4937.46,4940.37,0.0,392.0,2831.2283450053073,1939456.2683450053,0.0
