Date,Open,Close,sign,hold,balance,netAsset,profit
2006-01-04,926.56,941.43,0.0,0.0,1000000.0,1000000.0,0.0
2006-01-05,943.85,959.13,1.0,1058.0,907.4033500000369,999500.7033500001,0.0
2008-03-11,4393.28,4441.18,-1.0,0.0,4646673.59823,4646673.59823,3646673.5982299997
2009-04-02,2558.77,2576.4,1.0,1815.0,183.96445500012487,4644351.514455,0.0
2009-04-09,2477.42,2517.67,-1.0,0.0,4494453.005805,4494453.005805,-152220.59242499992
2009-04-10,2540.11,2595.53,1.0,1768.0,1293.0685649998486,4492207.548565,0.0
2010-03-16,3183.77,3203.97,-1.0,0.0,5627383.975885,5627383.975885,1132930.9700800003
2010-03-17,3214.22,3273.92,1.0,1749.0,2902.3604950010777,5624573.140495,0.0
2010-04-20,3176.41,3173.37,-1.0,0.0,5555665.679950002,5555665.679950002,-71718.29593499843
2010-10-12,3121.64,3172.73,1.0,1778.0,2614.6219900017604,5552890.541990002,0.0
2010-11-18,3134.94,3147.96,-1.0,0.0,5573750.9803300025,5573750.9803300025,18085.300380000845
2010-11-19,3168.17,3178.85,1.0,1758.0,1323.2989000026137,5570966.158900003,0.0
2010-11-24,3088.99,3177.04,-1.0,0.0,5429052.496690003,5429052.496690003,-144698.4836399993
2010-11-25,3197.97,3223.48,1.0,1696.0,2583.4981300029904,5426340.618130003,0.0
2010-12-29,3049.93,3061.83,-1.0,0.0,5172678.437490002,5172678.437490002,-256374.05920000095
2011-01-04,3155.56,3189.68,1.0,1638.0,1286.7538500018418,5170094.033850002,0.0
2011-01-18,2965.42,2977.65,-1.0,0.0,4856216.034870002,4856216.034870002,-316462.40261999983
2011-02-01,3083.49,3077.28,1.0,1574.0,376.068240002729,4853789.3282400025,0.0
2011-02-10,3034.08,3104.16,-1.0,0.0,4773630.1672800025,4773630.1672800025,-82585.86758999992
2011-02-11,3100.27,3120.96,1.0,1538.0,3030.7996500032023,4771246.059650003,0.0
2011-05-24,3013.72,3026.22,-1.0,0.0,4635814.608970003,4635814.608970003,-137815.5583099993
2011-07-05,3122.9,3122.5,1.0,1483.0,2238.2786200037226,4633498.978620004,0.0
2011-07-08,3105.49,3109.18,-1.0,0.0,4605377.227785004,4605377.227785004,-30437.3811849989
2011-07-11,3097.87,3113.21,1.0,1485.0,2740.109310003929,4603077.059310004,0.0
2011-07-13,3060.42,3106.25,-1.0,0.0,4545191.447460004,4545191.447460004,-60185.780325000174
2011-07-15,3105.5,3128.89,1.0,1462.0,2680.326960003935,4542921.326960004,0.0
2011-07-20,3113.71,3091.57,-1.0,0.0,4552648.224950004,4552648.224950004,7456.7774900002405
2015-11-10,3806.67,3833.24,1.0,1195.0,1403.089625004679,4550373.739625005,0.0
2015-11-11,3828.45,3833.65,-1.0,0.0,4574113.340750005,4574113.340750005,21465.115800000727
2018-03-30,3893.75,3898.5,1.0,1174.0,565.2095000054687,4571827.7095000055,0.0
2018-04-10,3860.72,3927.17,-1.0,0.0,4530784.246860005,4530784.246860005,-43329.093890000135
2018-04-11,3934.17,3938.34,1.0,1151.0,290.4620250053704,4528520.132025005,0.0
2018-04-17,3812.87,3748.64,-1.0,0.0,4386709.525340006,4386709.525340006,-144074.7215199992
2018-05-11,3902.15,3872.84,1.0,1123.0,2404.018115005456,4384518.468115006,0.0
2018-05-14,3886.87,3909.29,-1.0,0.0,4365176.550610006,4365176.550610006,-21532.9747299999
2018-05-15,3920.14,3924.1,1.0,1112.0,3801.2727700062096,4362996.952770006,0.0
2018-05-17,3895.49,3864.05,-1.0,0.0,4333420.2603300065,4333420.2603300065,-31756.290279999375
2018-05-21,3925.54,3921.24,1.0,1103.0,1384.705020006746,4331255.325020007,0.0
2018-05-24,3853.29,3827.22,-1.0,0.0,4249438.485585007,4249438.485585007,-83981.7747449996
2019-02-25,3575.85,3729.48,1.0,1187.0,2782.2686100071296,4247316.218610007,0.0
2020-02-04,3652.0,3785.64,-1.0,0.0,4335538.806610008,4335538.806610008,86100.32102500089
2020-02-07,3879.55,3899.87,1.0,1116.0,3796.2177100079134,4333374.017710008,0.0
2020-03-17,3739.78,3709.68,-1.0,0.0,4175303.9004700086,4175303.9004700086,-160234.90613999916
2020-04-30,3880.41,3912.58,1.0,1075.0,1777.43009500904,4173218.180095009,0.0
2020-05-25,3828.32,3829.32,-1.0,0.0,4115163.7080950094,4115163.7080950094,-60140.19237499917
2020-06-02,3969.95,3983.57,1.0,1036.0,239.073995009996,4113107.2739950097,0.0
2021-07-27,4924.28,4751.31,-1.0,0.0,5099242.37695501,5099242.37695501,984078.6688600006
2021-12-31,4937.46,4940.37,0.0,0.0,5099242.37695501,5099242.37695501,0.0
