Date,Open,Close,sign,hold,balance,netAsset,profit
2006-01-04,926.56,941.43,0.0,0.0,1000000.0,1000000.0,0.0
2006-01-05,943.85,959.13,1.0,1058.0,907.4033500000369,999500.7033500001,0.0
2008-03-11,4393.28,4441.18,-1.0,0.0,4646673.59823,4646673.59823,3646673.5982299997
2009-04-02,2558.77,2576.4,1.0,1815.0,183.96445500012487,4644351.514455,0.0
2009-04-09,2477.42,2517.67,-1.0,0.0,4494453.005805,4494453.005805,-152220.59242499992
2009-04-10,2540.11,2595.53,1.0,1768.0,1293.0685649998486,4492207.548565,0.0
2010-03-16,3183.77,3203.97,-1.0,0.0,5627383.975885,5627383.975885,1132930.9700800003
2010-03-17,3214.22,3273.92,1.0,1749.0,2902.3604950010777,5624573.140495,0.0
2010-04-20,3176.41,3173.37,-1.0,0.0,5555665.679950002,5555665.679950002,-71718.29593499843
2010-10-12,3121.64,3172.73,1.0,1778.0,2614.6219900017604,5552890.541990002,0.0
2010-11-18,3134.94,3147.96,-1.0,0.0,5573750.9803300025,5573750.9803300025,18085.300380000845
2010-11-19,3168.17,3178.85,1.0,1758.0,1323.2989000026137,5570966.158900003,0.0
2010-11-24,3088.99,3177.04,-1.0,0.0,5429052.496690003,5429052.496690003,-144698.4836399993
2010-11-25,3197.97,3223.48,1.0,1696.0,2583.4981300029904,5426340.618130003,0.0
2010-12-29,3049.93,3061.83,-1.0,0.0,5172678.437490002,5172678.437490002,-256374.05920000095
2011-01-04,3155.56,3189.68,1.0,1638.0,1286.7538500018418,5170094.033850002,0.0
2011-01-18,2965.42,2977.65,-1.0,0.0,4856216.034870002,4856216.034870002,-316462.40261999983
2011-02-01,3083.49,3077.28,1.0,1574.0,376.068240002729,4853789.3282400025,0.0
2011-02-10,3034.08,3104.16,-1.0,0.0,4773630.1672800025,4773630.1672800025,-82585.86758999992
2011-02-11,3100.27,3120.96,1.0,1538.0,3030.7996500032023,4771246.059650003,0.0
2011-05-24,3013.72,3026.22,-1.0,0.0,4635814.608970003,4635814.608970003,-137815.5583099993
2011-07-05,3122.9,3122.5,1.0,1483.0,2238.2786200037226,4633498.978620004,0.0
2011-07-08,3105.49,3109.18,-1.0,0.0,4605377.227785004,4605377.227785004,-30437.3811849989
2011-07-11,3097.87,3113.21,1.0,1485.0,2740.109310003929,4603077.059310004,0.0
2011-07-13,3060.42,3106.25,-1.0,0.0,4545191.447460004,4545191.447460004,-60185.780325000174
2011-07-15,3105.5,3128.89,1.0,1462.0,2680.326960003935,4542921.326960004,0.0
2011-07-20,3113.71,3091.57,-1.0,0.0,4552648.224950004,4552648.224950004,7456.7774900002405
2012-05-07,2699.45,2717.78,1.0,1685.0,1800.6883250046521,4550373.938325005,0.0
2012-05-10,2657.87,2657.21,-1.0,0.0,4478072.382850005,4478072.382850005,-74575.84209999908
2012-12-26,2445.99,2457.62,1.0,1829.0,2119.814995005727,4475835.524995006,0.0
2013-04-16,2419.51,2459.59,-1.0,0.0,4425190.963100006,4425190.963100006,-52881.41974999942
2013-04-17,2457.88,2458.47,1.0,1799.0,1253.9800400063396,4422980.100040006,0.0
2013-06-14,2404.42,2416.77,-1.0,0.0,4324642.784250007,4324642.784250007,-100548.17884999886
2013-09-10,2446.45,2474.89,1.0,1766.0,2051.8689000075683,4322482.568900007,0.0
2013-09-27,2382.22,2394.97,-1.0,0.0,4206948.888640007,4206948.888640007,-117693.89561
