Date,Open,Close,sign,hold,balance,netAsset,profit
2006-01-04,926.56,941.43,1.0,1078.0,668.904160000151,999500.5841600001,0.0
2008-01-23,4787.17,4975.11,-1.0,0.0,5158657.8795300005,5158657.8795300005,4158657.8795300005
2009-02-05,2164.55,2150.97,1.0,2382.0,121.80048000067472,5156079.900480001,0.0
2009-12-23,3303.73,3336.48,-1.0,0.0,7865671.918050001,7865671.918050001,2707014.038520001
2009-12-31,3561.37,3575.68,1.0,2207.0,1798.3562550023198,7861741.946255002,0.0
2010-04-20,3176.41,3173.37,-1.0,0.0,7008630.057820003,7008630.057820003,-857041.8602299988
2010-10-11,3069.19,3132.9,1.0,2282.0,1236.5320300031453,7005128.112030003,0.0
2011-04-28,3224.41,3161.78,-1.0,0.0,7355661.100220004,7355661.100220004,347031.04240000155
2012-04-16,2564.23,2574.04,1.0,2867.0,337.86651500407606,7351985.276515004,0.0
2012-06-08,2558.84,2524.33,-1.0,0.0,7332864.049375005,7332864.049375005,-22797.05084499903
2012-12-17,2359.2,2366.7,1.0,3106.0,1525.0117750065401,7329200.211775006,0.0
2013-06-13,2448.72,2399.94,-1.0,0.0,7603446.469615006,7603446.469615006,270582.4202400008
2013-09-10,2446.45,2474.89,1.0,3106.0,973.432765007019,7599647.132765006,0.0
2013-09-27,2382.22,2394.97,-1.0,0.0,7396449.165105007,7396449.165105007,-206997.30450999923
2013-11-19,2427.93,2412.16,1.0,3044.0,2134.9356450075284,7392753.855645007,0.0
2013-12-17,2369.26,2356.38,-1.0,0.0,7210556.361925009,7210556.361925009,-185892.80317999795
2014-07-23,2191.39,2197.83,1.0,3288.0,1663.3967650095,7206953.716765009,0.0
2015-11-04,3477.16,3628.54,-1.0,0.0,11428849.02572501,11428849.02572501,4218292.663800002
2016-07-06,3197.63,3216.8,1.0,3572.0,1203.6985450107604,11423138.058545012,0.0
2018-02-12,3846.27,3890.1,-1.0,0.0,13733210.70032501,13733210.70032501,2304361.6745999996
2018-03-07,4063.5,4036.65,1.0,3377.0,3909.9805750101805,13726349.48057501,0.0
2018-05-28,3816.27,3833.26,-1.0,0.0,12885009.99868001,12885009.99868001,-848200.7016449999
2019-02-11,3239.81,3306.47,1.0,3975.0,326.1263050120324,12878570.876305012,0.0
2019-08-06,3609.11,3636.33,-1.0,0.0,14339365.270180013,14339365.270180013,1454355.2715000026
2019-08-20,3786.03,3787.73,1.0,3785.0,2076.6584050133824,14332200.208405014,0.0
2020-02-04,3652.0,3785.64,-1.0,0.0,13817985.248405013,13817985.248405013,-521380.0217749998
2020-02-18,4069.83,4057.51,1.0,3393.0,2147.591810014099,13811080.781810014,0.0
2020-03-16,3899.86,3727.84,-1.0,0.0,13227756.459320016,13227756.459320016,-590228.789084997
2020-05-07,3937.59,3924.89,1.0,3357.0,2657.584505015984,13221147.214505017,0.0
2020-05-22,3907.58,3824.06,-1.0,0.0,13113844.771475017,13113844.771475017,-113911.68784499913
2020-06-03,4001.17,3983.65,1.0,3275.0,3461.1056000180542,13107292.855600018,0.0
2021-06-16,5163.25,5080.49,-1.0,0.0,16904650.03372502,16904650.03372502,3790805.2622500025
2021-06-29,5248.52,5190.54,1.0,3219.0,1216.6607850193977,16896202.540785022,0.0
2021-07-05,5073.78,5085.79,-1.0,0.0,16325548.23187502,16325548.23187502,-579101.8018500004
2021-12-09,5000.69,5078.69,1.0,3263.0,138.1361400205642,16317389.60614002,0.0
2021-12-21,4876.51,4913.49,-1.0,0.0,15904234.240075022,15904234.240075022,-421313.99179999717
2021-12-31,4937.46,4940.37,0.0,0.0,15904234.240075022,15904234.240075022,0.0
