Date,Open,Close,sign,hold,balance,netAsset,profit
2006-01-04,801.41,812.6,1.0,1247.0,142.05086500011384,999500.320865,0.0
2007-11-13,4145.53,4071.3,-1.0,0.0,5167033.22291,5167033.22291,4167033.22291
2007-12-28,4269.06,4226.76,1.0,1209.0,3159.0361400004476,5164452.5761400005,0.0
2008-01-23,3712.85,3822.82,-1.0,0.0,4489750.268315,4489750.268315,-677282.9545949996
2008-12-10,1546.99,1607.49,1.0,2900.0,1236.132815000601,4487507.132815001,0.0
2008-12-25,1431.18,1415.83,-1.0,0.0,4149582.921815001,4149582.921815001,-340167.3464999995
2009-01-21,1513.19,1536.76,1.0,2740.0,1369.2515150010586,4147509.851515001,0.0
2009-08-19,2348.97,2230.72,-1.0,0.0,6434328.962615001,6434328.962615001,2284746.0408
2009-10-20,2435.53,2455.18,1.0,2640.0,1314.8630150016397,6431114.063015002,0.0
2010-04-20,2214.31,2204.81,-1.0,0.0,5844170.373815001,5844170.373815001,-590158.5888
2010-07-28,1937.86,1983.63,1.0,3014.0,539.9787950012833,5841250.018795001,0.0
2010-11-19,2048.43,2039.44,-1.0,0.0,6171421.014785001,6171421.014785001,327250.64097000007
2011-02-16,2038.4,2051.49,1.0,3026.0,138.51558500062674,6168336.915585001,0.0
2015-06-24,3009.77,3045.24,-1.0,0.0,9103148.753575,9103148.753575,2931727.73879
2015-10-23,2334.54,2343.96,1.0,3897.0,897.5223850030452,9098599.902385002,0.0
2016-01-05,2230.08,2288.11,-1.0,0.0,8687173.971505003,8687173.971505003,-415974.78206999786
2016-03-17,2135.06,2131.48,1.0,4066.0,1679.4345250036567,8682833.394525003,0.0
2016-12-22,2293.35,2292.04,-1.0,0.0,9321778.153975004,9321778.153975004,634604.1824700013
2017-01-18,2330.14,2342.78,1.0,3998.0,1220.4841150064021,9317120.204115005,0.0
2018-02-13,2834.39,2852.72,-1.0,0.0,11327445.758505005,11327445.758505005,2005667.604530001
2018-09-25,2545.21,2547.79,1.0,4448.0,691.1314650066197,11321785.211465007,0.0
2019-05-10,2731.58,2793.76,-1.0,0.0,12144683.937545007,12144683.937545007,817238.1790400017
2019-06-20,2847.32,2942.63,1.0,4263.0,489.7149650081992,12138614.874965008,0.0
2021-06-18,3475.55,3454.59,-1.0,0.0,14809351.23014001,14809351.23014001,2664667.292595003
2021-10-12,3266.02,3259.38,1.0,4532.0,347.7888200096786,14801950.42882001,0.0
2021-11-05,3197.61,3201.55,-1.0,0.0,14484670.524560012,14484670.524560012,-324680.705579998
2021-12-09,3312.33,3360.18,1.0,4370.0,2550.9835100136697,14477433.083510013,0.0
2021-12-31,3269.61,3274.32,0.0,4370.0,2550.9835100136697,14311329.383510014,-14482119.541049998
