,Open,Close,sign,hold,balance,netAsset,profit
2014-01-02,2323.43,2321.98,0.0,0.0,1000000.0,1000000.0,0.0
2014-02-19,2280.93,2308.66,1.0,438.0,453.1363300001249,999500.4763300001,0.0
2014-12-31,3462.39,3533.71,0.0,438.0,453.1363300001249,1548218.11633,-999546.8636699999
2015-01-05,3566.09,3641.54,0.0,438.0,453.1363300001249,1595447.6563300001,0.0
2015-02-25,3529.55,3478.73,1.0,,0.0,0.0,0.0
2015-06-29,4446.84,4191.55,-1.0,0.0,1947195.1983700003,1947195.1983700003,1946742.0620400002
2015-10-26,3614.7,3589.26,1.0,538.0,1514.2440700004809,1946222.8440700003,0.0
2015-12-31,3760.9,3731.0,0.0,538.0,1514.2440700004809,2008792.2440700005,-1945680.9542999999
2016-01-04,3725.86,3469.07,0.0,538.0,1514.2440700004809,1867873.9040700006,0.0
2016-01-06,3482.41,3539.81,-1.0,0.0,1874114.0557800005,1874114.0557800005,1872599.81171
2016-03-22,3231.61,3225.79,1.0,579.0,2076.3146850003395,1873178.5046850005,0.0
2016-05-03,3159.82,3213.54,-1.0,0.0,1830697.3267950006,1830697.3267950006,-43416.728984999936
2016-06-07,3182.44,3177.05,1.0,574.0,3063.406515000621,1829783.9665150007,0.0
2016-09-22,3281.47,3291.12,-1.0,0.0,1885685.4046250004,1885685.4046250004,54988.07782999985
2016-10-13,3299.16,3302.65,1.0,571.0,923.1344450006727,1884743.4944450005,0.0
2016-12-19,3342.35,3328.98,-1.0,0.0,1908450.7435200007,1908450.7435200007,22765.338895000285
2016-12-30,3302.6,3310.08,0.0,0.0,1908450.7435200007,1908450.7435200007,22765.338895000285
2017-01-03,3313.95,3342.23,0.0,0.0,1908450.7435200007,1908450.7435200007,0.0
2017-02-07,3371.77,3365.68,1.0,565.0,2448.1684950008057,1907498.2184950009,0.0
2017-12-29,4022.88,4030.86,0.0,565.0,2448.1684950008057,2279884.0684950007,-1906002.575025
2018-01-02,4045.21,4087.4,0.0,565.0,2448.1684950008057,2311829.168495001,0.0
2018-02-09,3896.17,3840.65,-1.0,0.0,2202683.5504700006,2202683.5504700006,2200235.381975
2018-05-23,3898.27,3854.58,1.0,564.0,2959.9583300007507,2201584.2383300005,0.0
2018-12-28,2994.8,3010.65,0.0,564.0,2959.9583300007507,1700966.5583300008,-2199723.59214
2019-01-02,3017.07,2969.54,0.0,564.0,2959.9583300007507,1677780.5183300008,0.0
2019-01-22,3181.95,3143.32,1.0,,0.0,0.0,0.0
2019-05-09,3637.35,3599.7,-1.0,0.0,2053399.6256300008,2053399.6256300008,2050439.6673
2019-06-24,3836.31,3841.27,1.0,534.0,3785.790860000998,2052375.330860001,0.0
2019-08-06,3609.11,3636.33,-1.0,0.0,1930086.898490001,1930086.898490001,-123312.72713999986
2019-08-26,3756.36,3765.91,1.0,513.0,2110.712150000967,1929123.3921500011,0.0
2019-12-31,4077.75,4096.58,0.0,513.0,2110.712150000967,2103656.252150001,-1927976.18634
2020-01-02,4121.35,4152.24,0.0,513.0,2110.712150000967,2132209.832150001,0.0
2020-02-04,3652.0,3785.64,-1.0,0.0,1874649.974150001,1874649.974150001,1872539.262
2020-02-21,4134.87,4149.49,1.0,453.0,617.3160950012971,1873713.4260950012,0.0
2020-12-31,5122.48,5211.29,0.0,453.0,617.3160950012971,2361331.686095001,-1874032.6580549998
2021-01-04,5212.93,5267.72,0.0,453.0,617.3160950012971,2386894.476095001,0.0
2021-09-14,4989.83,4917.16,1.0,,0.0,0.0,0.0
2021-12-31,4937.46,4940.37,0.0,453.0,617.3160950012971,2238604.9260950014,0.0
