,Open,Close,sign,hold,balance,netAsset,profit
2014-01-02,1570.05,1561.1,0.0,0.0,1000000.0,1000000.0,0.0
2014-04-10,1532.22,1570.4,1.0,652.0,493.0562800000189,999500.4962800001,0.0
2014-05-07,1481.94,1476.18,-1.0,0.0,966234.8238400001,966234.8238400001,-33765.176159999915
2014-06-17,1512.46,1501.94,1.0,638.0,802.8691000001272,965752.3491000001,0.0
2014-06-24,1471.73,1480.13,-1.0,0.0,939297.1272300002,939297.1272300002,-26937.696609999868
2014-07-24,1508.98,1541.9,1.0,622.0,242.2744500002591,938827.8344500003,0.0
2014-10-29,1591.28,1608.4,-1.0,0.0,989523.5463700003,989523.5463700003,50226.41914000013
2014-11-03,1662.75,1651.05,1.0,594.0,1356.2096200004453,989029.7096200004,0.0
2014-12-31,2529.57,2581.57,0.0,594.0,1356.2096200004453,1534808.7896200004,-988167.3367499999
2015-01-05,2612.85,2649.64,0.0,594.0,1356.2096200004453,1575242.3696200005,0.0
2015-02-27,2476.49,2474.6,1.0,,0.0,0.0,0.0
2015-11-04,2277.2,2370.5,-1.0,0.0,1353336.6812200001,1353336.6812200001,1351980.4715999998
2015-11-10,2504.25,2522.68,1.0,540.0,365.53372000018135,1352660.5337200002,0.0
2015-12-02,2341.43,2458.41,-1.0,0.0,1264105.5476200003,1264105.5476200003,-89231.13359999983
2015-12-22,2499.66,2496.05,1.0,505.0,1146.0834700006526,1263474.3834700005,0.0
2015-12-31,2426.81,2420.8,0.0,505.0,1146.0834700006526,1223650.0834700007,-1262959.4641499997
2016-01-04,2417.02,2270.46,0.0,505.0,1146.0834700006526,1147728.3834700007,0.0
2016-06-02,2138.21,2137.65,1.0,,0.0,0.0,0.0
2016-12-30,2276.81,2286.9,0.0,505.0,1146.0834700006526,1156030.5834700007,0.0
2017-01-03,2285.27,2307.89,0.0,505.0,1146.0834700006526,1166630.5334700006,0.0
2017-01-06,2323.01,2308.94,1.0,,0.0,0.0,0.0
2017-03-03,2347.91,2347.15,-1.0,0.0,1186247.7861950006,1186247.7861950006,1185101.702725
2017-03-28,2368.15,2356.31,1.0,500.0,1580.7486950007733,1185655.7486950008,0.0
2017-04-17,2348.75,2357.52,-1.0,0.0,1175368.5611950008,1175368.5611950008,-10879.22499999986
2017-05-15,2380.27,2381.75,1.0,493.0,1308.714640000835,1174781.824640001,0.0
2017-08-14,2572.3,2591.45,-1.0,0.0,1268818.542690001,1268818.542690001,93449.98149500019
2017-08-25,2645.45,2706.24,1.0,479.0,1014.4074150011875,1268184.957415001,0.0
2017-09-21,2664.05,2675.55,-1.0,0.0,1276456.3174400015,1276456.3174400015,7637.774750000564
2017-10-12,2706.42,2718.35,1.0,471.0,1095.1355300014839,1275818.9555300015,0.0
2017-12-04,2829.81,2861.36,-1.0,0.0,1333269.2252750015,1333269.2252750015,56812.90783499996
2017-12-27,2886.7,2839.63,1.0,461.0,1835.1409250015859,1332603.8409250015,0.0
2017-12-28,2842.73,2859.05,-1.0,0.0,1311678.4216600016,1311678.4216600016,-21590.803614999866
2017-12-29,2861.92,2860.44,0.0,0.0,1311678.4216600016,1311678.4216600016,-21590.803614999866
2018-01-02,2867.53,2908.73,0.0,0.0,1311678.4216600016,1311678.4216600016,0.0
2018-12-28,2279.7,2293.1,0.0,0.0,1311678.4216600016,1311678.4216600016,0.0
2019-01-02,2298.18,2262.79,0.0,0.0,1311678.4216600016,1311678.4216600016,0.0
2019-01-22,2430.43,2401.23,1.0,539.0,1021.6507750016171,1311023.4207750016,0.0
2019-05-10,2731.58,2793.76,-1.0,0.0,1472607.1099650015,1472607.1099650015,160928.68830499984
2019-05-30,2748.43,2742.96,1.0,535.0,1461.85494000162,1471871.9049400014,0.0
2019-08-06,2736.68,2760.68,-1.0,0.0,1464853.5930400016,1464853.5930400016,-7753.516924999887
2019-08-20,2869.16,2875.65,1.0,510.0,850.3572400019038,1464121.9572400018,0.0
2019-11-25,2926.15,2951.25,-1.0,0.0,1492440.688990002,1492440.688990002,27587.095950000454
2019-12-11,2947.54,2949.65,1.0,506.0,239.721370002022,1491694.961370002,0.0
2019-12-31,3057.3,3063.22,0.0,506.0,239.721370002022,1550229.0413700019,-1492200.96762
2020-01-02,3073.93,3090.83,0.0,506.0,239.721370002022,1564199.701370002,0.0
2020-12-31,3581.45,3640.64,0.0,506.0,239.721370002022,1842403.5613700019,0.0
2021-01-04,3632.69,3643.36,0.0,506.0,239.721370002022,1843779.8813700022,0.0
2021-12-31,3269.61,3274.32,0.0,506.0,239.721370002022,1657045.6413700022,0.0
