,Open,Close,sign,hold,balance,netAsset,profit,t
2014-01-02,1570.05,1561.1,0.0,0.0,1000000.0,1000000.0,0.0,1000000.0
2014-01-03,1553.45,1536.07,,0.0,1000000.0,1000000.0,0.0,
2014-01-06,1534.5,1512.93,,0.0,1000000.0,1000000.0,0.0,
2014-01-07,1500.98,1510.65,,0.0,1000000.0,1000000.0,0.0,
2014-01-08,1512.09,1515.33,,0.0,1000000.0,1000000.0,0.0,
2014-01-09,1511.98,1503.88,,0.0,1000000.0,1000000.0,0.0,
2014-01-10,1500.01,1498.27,,0.0,1000000.0,1000000.0,0.0,
2014-01-13,1500.86,1494.61,,0.0,1000000.0,1000000.0,0.0,
2014-01-14,1493.89,1499.29,,0.0,1000000.0,1000000.0,0.0,
2014-01-15,1496.83,1488.51,,0.0,1000000.0,1000000.0,0.0,
2014-01-16,1489.05,1493.09,,0.0,1000000.0,1000000.0,0.0,
2014-01-17,1487.8,1475.67,,0.0,1000000.0,1000000.0,0.0,
2014-01-20,1472.39,1464.84,,0.0,1000000.0,1000000.0,0.0,
2014-01-21,1467.15,1478.88,,0.0,1000000.0,1000000.0,0.0,
2014-01-22,1480.84,1514.12,,0.0,1000000.0,1000000.0,0.0,
2014-01-23,1511.79,1499.03,,0.0,1000000.0,1000000.0,0.0,
2014-01-24,1493.69,1502.06,,0.0,1000000.0,1000000.0,0.0,
2014-01-27,1491.83,1478.87,,0.0,1000000.0,1000000.0,0.0,
2014-01-28,1483.41,1487.8,,0.0,1000000.0,1000000.0,0.0,
2014-01-29,1493.21,1494.49,,0.0,1000000.0,1000000.0,0.0,
2014-01-30,1489.51,1477.35,,0.0,1000000.0,1000000.0,0.0,
2014-02-07,1467.36,1475.34,,0.0,1000000.0,1000000.0,0.0,
2014-02-10,1480.59,1505.83,,0.0,1000000.0,1000000.0,0.0,
2014-02-11,1505.66,1528.32,,0.0,1000000.0,1000000.0,0.0,
2014-02-12,1528.88,1527.0,,0.0,1000000.0,1000000.0,0.0,
2014-02-13,1525.52,1528.02,,0.0,1000000.0,1000000.0,0.0,
2014-02-14,1527.21,1534.24,,0.0,1000000.0,1000000.0,0.0,
2014-02-17,1545.18,1538.1,,0.0,1000000.0,1000000.0,0.0,
2014-02-18,1535.89,1508.54,,0.0,1000000.0,1000000.0,0.0,
2014-02-19,1507.49,1533.4,,0.0,1000000.0,1000000.0,0.0,
2014-02-20,1537.94,1520.14,,0.0,1000000.0,1000000.0,0.0,
2014-02-21,1517.92,1505.33,,0.0,1000000.0,1000000.0,0.0,
2014-02-24,1492.29,1468.06,,0.0,1000000.0,1000000.0,0.0,
2014-02-25,1469.26,1440.89,,0.0,1000000.0,1000000.0,0.0,
2014-02-26,1434.86,1444.2,,0.0,1000000.0,1000000.0,0.0,
2014-02-27,1449.14,1452.46,,0.0,1000000.0,1000000.0,0.0,
2014-02-28,1447.77,1464.32,,0.0,1000000.0,1000000.0,0.0,
2014-03-03,1459.86,1462.69,,0.0,1000000.0,1000000.0,0.0,
2014-03-04,1458.68,1464.28,,0.0,1000000.0,1000000.0,0.0,
2014-03-05,1466.01,1448.33,,0.0,1000000.0,1000000.0,0.0,
2014-03-06,1446.57,1459.51,,0.0,1000000.0,1000000.0,0.0,
2014-03-07,1456.09,1455.58,,0.0,1000000.0,1000000.0,0.0,
2014-03-10,1442.98,1408.87,,0.0,1000000.0,1000000.0,0.0,
2014-03-11,1406.07,1412.73,,0.0,1000000.0,1000000.0,0.0,
2014-03-12,1408.05,1418.7,,0.0,1000000.0,1000000.0,0.0,
2014-03-13,1425.84,1437.39,,0.0,1000000.0,1000000.0,0.0,
2014-03-14,1429.78,1426.4,,0.0,1000000.0,1000000.0,0.0,
2014-03-17,1435.27,1434.16,,0.0,1000000.0,1000000.0,0.0,
2014-03-18,1437.54,1427.63,,0.0,1000000.0,1000000.0,0.0,
2014-03-19,1422.34,1418.71,,0.0,1000000.0,1000000.0,0.0,
2014-03-20,1415.67,1406.92,,0.0,1000000.0,1000000.0,0.0,
2014-03-21,1402.81,1464.08,,0.0,1000000.0,1000000.0,0.0,
2014-03-24,1468.81,1477.53,,0.0,1000000.0,1000000.0,0.0,
2014-03-25,1473.18,1470.12,,0.0,1000000.0,1000000.0,0.0,
2014-03-26,1476.25,1467.08,,0.0,1000000.0,1000000.0,0.0,
2014-03-27,1464.17,1464.53,,0.0,1000000.0,1000000.0,0.0,
2014-03-28,1465.03,1472.05,,0.0,1000000.0,1000000.0,0.0,
2014-03-31,1473.15,1465.78,,0.0,1000000.0,1000000.0,0.0,
2014-04-01,1463.71,1473.14,,0.0,1000000.0,1000000.0,0.0,
2014-04-02,1475.94,1491.3,,0.0,1000000.0,1000000.0,0.0,
2014-04-03,1498.11,1477.49,,0.0,1000000.0,1000000.0,0.0,
2014-04-04,1471.49,1490.33,,0.0,1000000.0,1000000.0,0.0,
2014-04-08,1488.65,1534.75,,0.0,1000000.0,1000000.0,0.0,
2014-04-09,1535.21,1530.88,,0.0,1000000.0,1000000.0,0.0,
2014-04-10,1532.22,1570.4,1.0,652.0,493.0562800000189,999500.4962800001,0.0,999500.4962800001
2014-04-11,1568.24,1565.31,1.0,652.0,493.0562800000189,1021075.17628,0.0,1021075.17628
2014-04-14,1562.19,1557.7,1.0,652.0,493.0562800000189,1016113.45628,0.0,
2014-04-15,1550.43,1523.22,1.0,652.0,493.0562800000189,993632.4962800001,0.0,
2014-04-16,1519.24,1527.05,,652.0,493.0562800000189,996129.65628,0.0,
2014-04-17,1533.07,1520.56,,652.0,493.0562800000189,991898.17628,0.0,
2014-04-18,1513.68,1521.28,,652.0,493.0562800000189,992367.61628,0.0,
2014-04-21,1510.18,1493.76,,652.0,493.0562800000189,974424.57628,0.0,
2014-04-22,1492.08,1509.55,,652.0,493.0562800000189,984719.65628,0.0,
2014-04-23,1504.54,1507.04,,652.0,493.0562800000189,983083.13628,0.0,
2014-04-24,1506.59,1510.29,,652.0,493.0562800000189,985202.13628,0.0,
2014-04-25,1516.69,1501.05,,652.0,493.0562800000189,979177.65628,0.0,
2014-04-28,1499.69,1483.78,,652.0,493.0562800000189,967917.61628,0.0,
2014-04-29,1484.01,1496.01,-1.0,0.0,967583.7890200001,967583.7890200001,-32416.210979999858,967583.7890200001
2014-04-30,1499.12,1494.81,,0.0,967583.7890200001,967583.7890200001,0.0,
2014-05-05,1490.1,1487.53,,0.0,967583.7890200001,967583.7890200001,0.0,
2014-05-06,1484.01,1485.25,,0.0,967583.7890200001,967583.7890200001,0.0,
2014-05-07,1481.94,1476.18,-1.0,0.0,967583.7890200001,967583.7890200001,0.0,
2014-05-08,1474.73,1478.72,-1.0,0.0,967583.7890200001,967583.7890200001,0.0,
2014-05-09,1482.32,1480.74,-1.0,0.0,967583.7890200001,967583.7890200001,0.0,
2014-05-12,1492.63,1508.39,-1.0,0.0,967583.7890200001,967583.7890200001,0.0,
2014-05-13,1507.0,1503.52,-1.0,0.0,967583.7890200001,967583.7890200001,0.0,
2014-05-14,1504.42,1500.82,-1.0,0.0,967583.7890200001,967583.7890200001,0.0,
2014-05-15,1499.22,1488.77,-1.0,0.0,967583.7890200001,967583.7890200001,0.0,
2014-05-16,1489.5,1487.74,-1.0,0.0,967583.7890200001,967583.7890200001,0.0,
2014-05-19,1482.04,1459.21,-1.0,0.0,967583.7890200001,967583.7890200001,0.0,
2014-05-20,1466.05,1460.82,-1.0,0.0,967583.7890200001,967583.7890200001,0.0,
2014-05-21,1454.49,1474.14,-1.0,0.0,967583.7890200001,967583.7890200001,0.0,
2014-05-22,1472.34,1471.55,-1.0,0.0,967583.7890200001,967583.7890200001,0.0,
2014-05-23,1472.41,1484.38,-1.0,0.0,967583.7890200001,967583.7890200001,0.0,
2014-05-26,1493.34,1486.05,-1.0,0.0,967583.7890200001,967583.7890200001,0.0,
2014-05-27,1484.82,1479.73,,0.0,967583.7890200001,967583.7890200001,0.0,
2014-05-28,1479.5,1491.76,,0.0,967583.7890200001,967583.7890200001,0.0,
2014-05-29,1492.66,1484.31,,0.0,967583.7890200001,967583.7890200001,0.0,
2014-05-30,1485.1,1482.1,,0.0,967583.7890200001,967583.7890200001,0.0,
2014-06-03,1482.44,1477.52,,0.0,967583.7890200001,967583.7890200001,0.0,
2014-06-04,1478.2,1466.39,,0.0,967583.7890200001,967583.7890200001,0.0,
2014-06-05,1465.54,1484.24,-1.0,0.0,967583.7890200001,967583.7890200001,0.0,
2014-06-06,1484.52,1472.27,,0.0,967583.7890200001,967583.7890200001,0.0,
2014-06-09,1466.64,1475.35,-1.0,0.0,967583.7890200001,967583.7890200001,0.0,
2014-06-10,1479.87,1493.53,,0.0,967583.7890200001,967583.7890200001,0.0,
2014-06-11,1489.37,1488.76,,0.0,967583.7890200001,967583.7890200001,0.0,
2014-06-12,1486.89,1483.86,,0.0,967583.7890200001,967583.7890200001,0.0,
2014-06-13,1483.58,1502.96,,0.0,967583.7890200001,967583.7890200001,0.0,
2014-06-16,1503.66,1518.7,,0.0,967583.7890200001,967583.7890200001,0.0,
2014-06-17,1512.46,1501.94,1.0,639.0,638.6180500001647,967100.5580500002,0.0,967100.5580500002
2014-06-18,1501.19,1495.43,1.0,639.0,638.6180500001647,956218.3880500002,0.0,
2014-06-19,1496.66,1478.04,1.0,639.0,638.6180500001647,945106.1780500001,0.0,
2014-06-20,1475.94,1484.48,1.0,639.0,638.6180500001647,949221.3380500001,0.0,
2014-06-23,1483.66,1475.76,,639.0,638.6180500001647,943649.2580500002,0.0,
