,Open,Close,sign,hold,balance,netAsset,profit
2014-01-02,2323.43,2321.98,0.0,0.0,1000000.0,1000000.0,0.0
2014-02-18,2310.31,2282.44,1.0,432.0,1447.0530400001444,999500.9730400001,0.0
2014-02-27,2170.81,2154.11,-1.0,0.0,938768.0780800001,938768.0780800001,-61231.92191999988
2014-04-11,2269.56,2270.67,1.0,413.0,971.1339400002034,938299.4139400002,0.0
2014-04-30,2158.76,2158.66,-1.0,0.0,892093.2300000003,892093.2300000003,-46674.84807999979
2014-06-18,2169.25,2160.24,1.0,411.0,85.69912500039209,891647.4491250004,0.0
2014-06-26,2135.16,2149.08,-1.0,0.0,877197.6837450003,877197.6837450003,-14895.546255000052
2014-07-03,2169.0,2180.19,1.0,404.0,483.5457450003596,876759.5457450004,0.0
2014-10-29,2423.81,2451.38,-1.0,0.0,979213.1761250003,979213.1761250003,102015.49238000007
2014-11-03,2515.82,2512.55,1.0,389.0,69.86913500027731,978723.8491350004,0.0
2014-12-31,3462.39,3533.71,0.0,389.0,69.86913500027731,1374683.0591350002,0.0
2015-01-05,3566.09,3641.54,0.0,389.0,69.86913500027731,1416628.9291350003,0.0
2015-07-02,4287.73,4108.0,-1.0,0.0,1667162.87565,1667162.87565,1667093.0065149998
2015-11-10,3806.67,3833.24,1.0,437.0,2816.3282550000586,1666331.118255,0.0
2015-12-31,3760.9,3731.0,0.0,437.0,2816.3282550000586,1633263.328255,0.0
2016-01-04,3725.86,3469.07,-1.0,0.0,1630203.0478450002,1630203.0478450002,1627386.71959
2016-06-30,3152.83,3153.92,1.0,516.0,2529.3377050003037,1629389.6177050003,0.0
2016-07-28,3204.46,3221.14,-1.0,0.0,1655203.9470250006,1655203.9470250006,25000.899180000415
2016-08-09,3232.6,3256.98,1.0,511.0,2519.4177250007633,1654378.0177250006,0.0
2016-09-02,3298.72,3314.11,-1.0,0.0,1687322.5147650007,1687322.5147650007,32118.567740000086
2016-09-07,3344.07,3340.82,1.0,504.0,1068.5291250008158,1686479.8091250008,0.0
2016-09-12,3271.87,3262.6,-1.0,0.0,1649266.497885001,1649266.497885001,-38056.01687999978
2016-10-11,3296.87,3306.56,1.0,500.0,7.2803850010968745,1648442.280385001,0.0
2016-12-07,3458.37,3475.75,-1.0,0.0,1728327.6878850013,1728327.6878850013,79061.19000000041
2016-12-08,3481.81,3470.14,1.0,496.0,486.4390050014481,1727464.1990050015,0.0
2016-12-09,3464.87,3493.7,-1.0,0.0,1718202.6712450015,1718202.6712450015,-10125.016639999812
2016-12-12,3489.27,3409.18,1.0,492.0,623.4708250015974,1717344.3108250017,0.0
2016-12-13,3394.21,3405.04,-1.0,0.0,1669739.8151650017,1669739.8151650017,-48462.85607999982
2016-12-30,3302.6,3310.08,0.0,0.0,1669739.8151650017,1669739.8151650017,0.0
2017-01-03,3313.95,3342.23,0.0,0.0,1669739.8151650017,1669739.8151650017,0.0
2017-02-03,3390.93,3364.49,1.0,492.0,568.0863850018941,1668905.6463850017,0.0
