,Open,Close,sign,hold,balance,netAsset,profit
2014-01-02,2323.43,2321.98,0.0,0.0,1000000.0,1000000.0,0.0
2014-07-23,2191.39,2197.83,1.0,456.0,226.5230800000718,999500.36308,0.0
2014-12-31,3462.39,3533.71,0.0,456.0,226.5230800000718,1611598.28308,0.0
2015-01-05,3566.09,3641.54,0.0,456.0,226.5230800000718,1660768.76308,0.0
2015-11-04,3477.16,3628.54,-1.0,0.0,1585018.6906000003,1585018.6906000003,1584792.1675200001
2015-12-18,3754.96,3767.91,1.0,421.0,3390.1115200005006,1584228.2715200004,0.0
2015-12-31,3760.9,3731.0,0.0,421.0,3390.1115200005006,1574141.1115200005,0.0
2016-01-04,3725.86,3469.07,0.0,421.0,3390.1115200005006,1463868.5815200005,0.0
2016-01-05,3382.18,3478.78,-1.0,0.0,1426575.9426300006,1426575.9426300006,1423185.8311100001
2017-01-03,3313.95,3342.23,0.0,0.0,1426575.9426300006,1426575.9426300006,0.0
2017-01-05,3368.34,3367.79,1.0,423.0,1055.718720000703,1425863.5387200008,0.0
2017-05-05,3393.48,3382.55,-1.0,0.0,1435780.037700001,1435780.037700001,9204.095070000272
2017-05-17,3423.19,3409.97,1.0,419.0,746.2693950009998,1435062.879395001,0.0
2017-12-29,4022.88,4030.86,0.0,419.0,746.2693950009998,1689676.609395001,0.0
2018-01-02,4045.21,4087.4,0.0,419.0,746.2693950009998,1713366.869395001,0.0
2018-02-09,3896.17,3840.65,-1.0,0.0,1632425.251780001,1632425.251780001,1631678.982385
2018-03-07,4063.5,4036.65,1.0,401.0,2147.0200300011784,1631610.5200300012,0.0
2018-03-26,3862.69,3879.89,-1.0,0.0,1550311.2406850012,1550311.2406850012,-82114.01109499973
2019-01-02,3017.07,2969.54,0.0,0.0,1550311.2406850012,1550311.2406850012,0.0
2019-05-30,3648.85,3641.18,1.0,424.0,2425.28448500135,1549537.6844850013,0.0
2019-08-05,3724.41,3675.69,-1.0,0.0,1580785.5495650014,1580785.5495650014,30474.308880000142
2019-08-20,3786.03,3787.73,1.0,417.0,1221.652310001431,1579996.1623100014,0.0
2019-12-02,3835.51,3836.06,-1.0,0.0,1599829.6184750018,1599829.6184750018,19044.06891000038
2019-12-09,3909.53,3895.45,1.0,409.0,32.34959000186063,1599030.1195900019,0.0
2019-12-31,4077.75,4096.58,0.0,409.0,32.34959000186063,1675533.5695900018,0.0
2020-01-02,4121.35,4152.24,0.0,409.0,32.34959000186063,1698298.5095900018,0.0
2020-02-04,3652.0,3785.64,-1.0,0.0,1492953.5155900018,1492953.5155900018,1492921.166
2020-02-18,4069.83,4057.51,1.0,366.0,2650.9567000018433,1492208.7367000019,0.0
2020-03-13,3771.01,3895.31,-1.0,0.0,1382150.5218700022,1382150.5218700022,-110802.99371999968
2020-10-13,4812.9,4839.2,1.0,287.0,157.57072000252083,1381459.8707200023,0.0
2020-12-31,5122.48,5211.29,0.0,287.0,157.57072000252083,1495797.8007200025,0.0
2021-01-04,5212.93,5267.72,0.0,287.0,157.57072000252083,1511993.2107200027,0.0
2021-06-16,5163.25,5080.49,-1.0,0.0,1481269.3943450027,1481269.3943450027,1481111.8236250002
2021-06-29,5248.52,5190.54,1.0,282.0,446.7130250027403,1480529.3530250029,0.0
2021-12-31,4937.46,4940.37,0.0,282.0,446.7130250027403,1393631.0530250028,0.0
