,Open,Close,sign,hold,balance,netAsset,profit
2014-01-02,2323.43,2321.98,0.0,0.0,1000000.0,1000000.0,0.0
2014-02-18,2310.31,2282.44,1.0,432.0,1447.0530400001444,999500.9730400001,0.0
2014-02-27,2170.81,2154.11,-1.0,0.0,938768.0780800001,938768.0780800001,-61231.92191999988
2014-04-11,2269.56,2270.67,1.0,413.0,971.1339400002034,938299.4139400002,0.0
2014-04-30,2158.76,2158.66,-1.0,0.0,892093.2300000003,892093.2300000003,-46674.84807999979
2014-06-18,2169.25,2160.24,1.0,411.0,85.69912500039209,891647.4491250004,0.0
2014-06-26,2135.16,2149.08,-1.0,0.0,877197.6837450003,877197.6837450003,-14895.546255000052
2014-07-03,2169.0,2180.19,1.0,404.0,483.5457450003596,876759.5457450004,0.0
2014-10-29,2423.81,2451.38,-1.0,0.0,979213.1761250003,979213.1761250003,102015.49238000007
2014-11-03,2515.82,2512.55,1.0,389.0,69.86913500027731,978723.8491350004,0.0
2014-12-31,3462.39,3533.71,0.0,389.0,69.86913500027731,1374683.0591350002,0.0
2015-01-05,3566.09,3641.54,0.0,389.0,69.86913500027731,1416628.9291350003,0.0
2015-07-02,4287.73,4108.0,-1.0,0.0,1667162.87565,1667162.87565,1667093.0065149998
2015-11-10,3806.67,3833.24,1.0,437.0,2816.3282550000586,1666331.118255,0.0
2015-12-31,3760.9,3731.0,0.0,437.0,2816.3282550000586,1633263.328255,0.0
2016-01-04,3725.86,3469.07,0.0,437.0,2816.3282550000586,1518799.9182550001,0.0
2016-01-05,3382.18,3478.78,-1.0,0.0,1480089.981925,1480089.981925,1477273.65367
2016-03-10,3056.21,3013.15,1.0,484.0,144.7391049999278,1479350.379105,0.0
2016-04-28,3169.33,3160.58,-1.0,0.0,1533333.481245,1533333.481245,53243.499319999944
2016-05-06,3213.14,3130.35,1.0,476.0,3114.113925000187,1532568.753925,0.0
2016-05-09,3115.43,3065.62,-1.0,0.0,1485317.3215850003,1485317.3215850003,-48016.159659999656
2016-06-07,3182.44,3177.05,1.0,466.0,1558.7730650003068,1484575.8130650003,0.0
2016-06-17,3096.09,3110.36,-1.0,0.0,1443615.3240950005,1443615.3240950005,-41701.99748999975
2016-06-29,3142.48,3151.39,1.0,459.0,495.804935000604,1442894.1249350007,0.0
2016-09-20,3264.67,3257.4,-1.0,0.0,1498230.0931700007,1498230.0931700007,54614.76907500019
2016-10-19,3323.3,3316.24,1.0,450.0,1997.350670000771,1497482.3506700008,0.0
2016-12-16,3335.36,3346.03,-1.0,0.0,1502158.8946700008,1502158.8946700008,3928.8015000000596
2016-12-30,3302.6,3310.08,0.0,0.0,1502158.8946700008,1502158.8946700008,0.0
2017-01-03,3313.95,3342.23,0.0,0.0,1502158.8946700008,1502158.8946700008,0.0
2017-02-03,3390.93,3364.49,1.0,442.0,2618.439140001079,1501409.499140001,0.0
2017-02-06,3368.11,3373.21,-1.0,0.0,1490578.7068300012,1490578.7068300012,-11580.187839999562
