,Open,Close,sign,hold,balance,netAsset,profit
2014-01-02,1570.05,1561.1,0.0,0.0,1000000.0,1000000.0,0.0
2014-02-14,1527.21,1534.24,1.0,654.0,705.262330000056,999500.60233,0.0
2014-02-25,1469.26,1440.89,-1.0,0.0,961120.8543100002,961120.8543100002,-38879.1456899998
2014-04-02,1475.94,1491.3,1.0,650.0,1280.1738100002985,960641.1738100003,0.0
2014-05-09,1482.32,1480.74,-1.0,0.0,964306.4198100003,964306.4198100003,3185.5655000001425
2014-05-13,1507.0,1503.52,1.0,639.0,851.9333100003423,963824.9333100003,0.0
2014-05-19,1482.04,1459.21,-1.0,0.0,947401.9815300003,947401.9815300003,-16904.438280000002
2014-06-16,1503.66,1518.7,1.0,629.0,1126.94046000042,946929.0804600004,0.0
2014-06-23,1483.66,1475.76,-1.0,0.0,933882.4693900004,933882.4693900004,-13519.51213999989
2014-06-30,1475.72,1482.41,0.0,0.0,933882.4693900004,933882.4693900004,0.0
2014-07-01,1486.79,1481.66,0.0,0.0,933882.4693900004,933882.4693900004,0.0
2014-07-04,1489.82,1492.46,1.0,626.0,788.8357300005155,933416.1557300005,0.0
2014-07-11,1462.35,1468.54,-1.0,0.0,915762.2201800005,915762.2201800005,-18120.24920999992
2014-07-17,1479.12,1473.67,1.0,618.0,1209.012100000633,915305.1721000005,0.0
2014-07-18,1466.58,1478.76,-1.0,0.0,907102.2788800006,907102.2788800006,-8659.941299999948
2014-07-23,1495.25,1506.76,1.0,606.0,527.7181300006341,906649.2181300006,0.0
2014-09-19,1609.86,1619.58,-1.0,0.0,975615.0905500005,975615.0905500005,68512.81166999997
2014-09-22,1613.81,1583.89,1.0,604.0,386.4799300006125,975127.7199300006,0.0
2014-09-23,1584.29,1595.64,-1.0,0.0,956819.1843500007,956819.1843500007,-18795.906199999852
2014-09-26,1613.91,1616.09,1.0,592.0,906.7469900007127,956341.4669900008,0.0
2014-10-15,1599.9,1612.77,-1.0,0.0,947573.9765900008,947573.9765900008,-9245.207759999903
2014-10-20,1613.8,1612.4,1.0,586.0,1414.3331900009653,947101.1331900009,0.0
2014-10-22,1602.45,1597.13,-1.0,0.0,939980.5153400011,939980.5153400011,-7593.461249999702
2014-11-03,1662.75,1651.05,1.0,565.0,57.03846500115469,939510.7884650012,0.0
2014-12-31,2529.57,2581.57,0.0,565.0,57.03846500115469,1458644.0884650012,0.0
2015-01-05,2612.85,2649.64,0.0,565.0,57.03846500115469,1497103.638465001,0.0
2015-02-03,2362.41,2405.76,-1.0,0.0,1334151.3076400012,1334151.3076400012,1334094.269175
2015-03-16,2512.35,2550.86,1.0,530.0,1940.034890001174,1333485.5348900012,0.0
2015-06-18,3183.23,3068.49,-1.0,0.0,1688208.3789400011,1688208.3789400011,354057.07129999995
2015-06-30,2678.63,2870.03,0.0,0.0,1688208.3789400011,1688208.3789400011,0.0
2015-07-01,2823.94,2736.85,0.0,0.0,1688208.3789400011,1688208.3789400011,0.0
2015-07-24,2794.05,2741.04,1.0,603.0,2553.822865001159,1687365.9728650013,0.0
2015-07-31,2452.05,2461.24,-1.0,0.0,1480400.6797900014,1480400.6797900014,-207807.69914999977
2015-09-21,2185.08,2214.45,1.0,677.0,361.870210001478,1479661.0302100014,0.0
2015-10-08,2231.02,2191.34,-1.0,0.0,1510007.2099400016,1510007.2099400016,29606.53015000024
2015-10-13,2268.76,2270.95,1.0,665.0,527.447240001522,1509252.8472400017,0.0
2015-10-14,2263.59,2253.91,-1.0,0.0,1505062.1535650017,1505062.1535650017,-4945.056374999927
2015-10-16,2310.35,2323.78,1.0,651.0,272.2846400018316,1504310.1346400017,0.0
2015-12-02,2341.43,2458.41,-1.0,0.0,1523781.079175002,1523781.079175002,18718.925610000268
2015-12-23,2497.37,2503.06,1.0,609.0,2122.300010002218,1523020.630010002,0.0
2015-12-31,2426.81,2420.8,0.0,609.0,2122.300010002218,1476389.5000100024,0.0
2016-01-04,2417.02,2270.46,0.0,609.0,2122.300010002218,1384832.4400100023,0.0
2016-01-11,2182.85,2120.23,-1.0,0.0,1330813.2721850022,1330813.2721850022,1328690.972175
2016-03-01,1944.56,1973.19,1.0,684.0,69.19266500230879,1330148.2326650023,0.0
2016-05-05,2149.47,2152.88,-1.0,0.0,1469571.5539250022,1469571.5539250022,138758.28174
2016-06-06,2148.96,2136.32,1.0,683.0,1098.004085002467,1468837.6840850024,0.0
2016-06-28,2089.35,2102.05,-1.0,0.0,1427410.5410600025,1427410.5410600025,-42161.012864999706
2016-06-30,2123.87,2122.63,0.0,0.0,1427410.5410600025,1427410.5410600025,0.0
2016-07-01,2124.4,2127.09,0.0,0.0,1427410.5410600025,1427410.5410600025,0.0
2016-07-07,2161.36,2166.88,1.0,660.0,199.69226000248455,1426697.2922600026,0.0
2016-08-03,2140.15,2145.79,-1.0,0.0,1411992.4427600026,1411992.4427600026,-15418.098299999954
2016-08-17,2260.93,2253.74,1.0,624.0,466.7126000027638,1411287.0326000026,0.0
2016-09-09,2236.39,2229.31,-1.0,0.0,1395276.3189200028,1395276.3189200028,-16716.123839999782
2016-10-20,2222.63,2223.42,1.0,627.0,990.5144150028937,1394579.524415003,0.0
2016-12-20,2293.4,2279.68,-1.0,0.0,1438233.333515003,1438233.333515003,42957.014595000306
2016-12-30,2276.81,2286.9,0.0,0.0,1438233.333515003,1438233.333515003,0.0
